drug,activity_chembl_id,molecule_chembl_id,assay_chembl_id,target_chembl_id,target_pref_name,target_organism,bao_label,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,src_id,document_chembl_id
AFATINIB,,CHEMBL1173655,CHEMBL1009318,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,IC50,=,6.0,nM,8.22,,,1,CHEMBL1139297
AFATINIB,,CHEMBL1173655,CHEMBL1009319,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,single protein format,IC50,=,2.0,nM,8.7,,,1,CHEMBL1139297
AFATINIB,,CHEMBL1173655,CHEMBL1176122,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,assay format,IC50,=,11.0,nM,7.96,,,1,CHEMBL1177739
AFATINIB,,CHEMBL1173655,CHEMBL1176123,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,protein format,IC50,=,15.0,nM,7.82,,,1,CHEMBL1177739
AFATINIB,,CHEMBL1173655,CHEMBL1908491,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,2200.0,nM,5.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908492,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,6000.0,nM,5.22,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908493,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,2600.0,nM,5.58,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908494,CHEMBL2349,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Homo sapiens,single protein format,Kd,=,470.0,nM,6.33,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908501,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,single protein format,Kd,=,5.0,nM,8.3,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908509,CHEMBL1163129,Serine/threonine-protein kinase SBK1,Homo sapiens,single protein format,Kd,=,4800.0,nM,5.32,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908512,CHEMBL3009,Receptor tyrosine-protein kinase erbB-4,Homo sapiens,single protein format,Kd,=,6.3,nM,8.2,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908445,CHEMBL4526,Ephrin type-A receptor 6,Homo sapiens,single protein format,Kd,=,340.0,nM,6.47,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908520,CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase 1,Homo sapiens,single protein format,Kd,=,1800.0,nM,5.75,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908534,CHEMBL3357,Interleukin-1 receptor-associated kinase 1,Homo sapiens,single protein format,Kd,=,240.0,nM,6.62,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908537,CHEMBL4895,Tyrosine-protein kinase receptor UFO,Homo sapiens,single protein format,Kd,=,5300.0,nM,5.28,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908538,CHEMBL2250,Tyrosine-protein kinase Blk,Homo sapiens,single protein format,Kd,=,220.0,nM,6.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908544,CHEMBL4937,Casein kinase I isoform epsilon,Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908548,CHEMBL5838,Receptor tyrosine-protein kinase erbB-3,Homo sapiens,single protein format,Kd,=,4500.0,nM,5.35,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908552,CHEMBL4223,Tyrosine-protein kinase FRK,Homo sapiens,single protein format,Kd,=,1400.0,nM,5.85,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908554,CHEMBL3234,Tyrosine-protein kinase HCK,Homo sapiens,single protein format,Kd,=,2200.0,nM,5.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908588,CHEMBL2637,Mitogen-activated protein kinase 10,Homo sapiens,single protein format,Kd,=,2000.0,nM,5.7,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908608,CHEMBL4367,Tyrosine-protein kinase TXK,Homo sapiens,single protein format,Kd,=,3100.0,nM,5.51,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908615,CHEMBL4376,Dual specificity tyrosine-phosphorylation-regulated kinase 2,Homo sapiens,single protein format,Kd,=,1800.0,nM,5.75,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908622,CHEMBL5014,Receptor-interacting serine/threonine-protein kinase 2,Homo sapiens,single protein format,Kd,=,2700.0,nM,5.57,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908632,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,single protein format,Kd,=,1800.0,nM,5.75,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908633,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,single protein format,Kd,=,1400.0,nM,5.85,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908636,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,single protein format,Kd,=,6200.0,nM,5.21,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908654,CHEMBL5836,Ephrin type-B receptor 6,Homo sapiens,single protein format,Kd,=,3100.0,nM,5.51,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908661,CHEMBL5543,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Homo sapiens,single protein format,Kd,=,2800.0,nM,5.55,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908665,CHEMBL4525,Serine/threonine-protein kinase 17A,Homo sapiens,single protein format,Kd,=,2300.0,nM,5.64,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908675,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,420.0,nM,6.38,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908676,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,2900.0,nM,5.54,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908677,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,750.0,nM,6.12,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908678,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,580.0,nM,6.24,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908679,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,230.0,nM,6.64,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908680,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,500.0,nM,6.3,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908681,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,500.0,nM,6.3,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908682,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,1200.0,nM,5.92,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908683,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,790.0,nM,6.1,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908684,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,380.0,nM,6.42,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908685,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,2600.0,nM,5.58,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908686,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,870.0,nM,6.06,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908687,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,830.0,nM,6.08,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908688,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908689,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,single protein format,Kd,=,570.0,nM,6.24,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908693,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.25,nM,9.6,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908694,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.11,nM,9.96,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908695,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.1,nM,10.0,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908696,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.19,nM,9.72,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908697,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.14,nM,9.85,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908698,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.12,nM,9.92,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908699,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.12,nM,9.92,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908700,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.2,nM,9.7,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908701,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,1.1,nM,8.96,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908702,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.23,nM,9.64,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908703,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.14,nM,9.85,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908704,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,Kd,=,0.61,nM,9.21,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908709,CHEMBL4355,Cyclin-G-associated kinase,Homo sapiens,single protein format,Kd,=,79.0,nM,7.1,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908710,CHEMBL258,Tyrosine-protein kinase Lck,Homo sapiens,single protein format,Kd,=,570.0,nM,6.24,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908713,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens,single protein format,Kd,=,2800.0,nM,5.55,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908727,CHEMBL3981,Serine/threonine-protein kinase 10,Homo sapiens,single protein format,Kd,=,4300.0,nM,5.37,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908732,CHEMBL4004,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908762,CHEMBL5579,Citron Rho-interacting kinase,Homo sapiens,single protein format,Kd,=,2900.0,nM,5.54,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908779,CHEMBL4924,Ribosomal protein S6 kinase alpha-6,Homo sapiens,single protein format,Kd,=,3100.0,nM,5.51,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908783,CHEMBL4202,STE20-like serine/threonine-protein kinase,Homo sapiens,single protein format,Kd,=,3700.0,nM,5.43,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908805,CHEMBL4204,MAP kinase-interacting serine/threonine-protein kinase 2,Homo sapiens,single protein format,Kd,=,1600.0,nM,5.8,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908409,CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Homo sapiens,single protein format,Kd,=,970.0,nM,6.01,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908411,CHEMBL260,Mitogen-activated protein kinase 14,Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908414,CHEMBL4179,Mitogen-activated protein kinase 9,Homo sapiens,single protein format,Kd,=,2100.0,nM,5.68,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908417,CHEMBL1075167,Homeodomain-interacting protein kinase 4,Homo sapiens,single protein format,Kd,=,360.0,nM,6.44,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908418,CHEMBL4948,Dual specificity mitogen-activated protein kinase kinase 5,Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL2217239,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,single protein format,IC50,=,14.0,nM,7.85,,,1,CHEMBL2216750
AFATINIB,,CHEMBL1173655,CHEMBL2217237,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,IC50,=,0.5,nM,9.3,,,1,CHEMBL2216750
AFATINIB,,CHEMBL1173655,CHEMBL2363186,CHEMBL1075435,DOK,Homo sapiens,cell-based format,IC50,=,31.94,nM,7.5,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363187,CHEMBL2366079,DSH1,Homo sapiens,cell-based format,IC50,=,33.14,nM,7.48,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363189,CHEMBL2366246,DU-4475,Homo sapiens,cell-based format,IC50,=,1401.21,nM,5.85,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363191,CHEMBL612519,Daoy,Homo sapiens,cell-based format,IC50,=,24126.0,nM,4.62,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363188,CHEMBL613508,DU-145,Homo sapiens,cell-based format,IC50,=,448.33,nM,6.35,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363207,CHEMBL614487,EKVX,Homo sapiens,cell-based format,IC50,=,1010.64,nM,6.0,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363208,CHEMBL2366281,EM-2,Homo sapiens,cell-based format,IC50,=,14857.65,nM,4.83,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363209,CHEMBL1075443,EPLC-272H,Homo sapiens,cell-based format,IC50,=,4415.33,nM,5.36,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363212,CHEMBL2366118,ES4,Homo sapiens,cell-based format,IC50,=,978.36,nM,6.01,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363213,CHEMBL2366312,ES5,Homo sapiens,cell-based format,IC50,=,4837.23,nM,5.32,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363210,CHEMBL2366146,ES1,Homo sapiens,cell-based format,IC50,=,19921.33,nM,4.7,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363211,CHEMBL2366135,ES3,Homo sapiens,cell-based format,IC50,=,16913.4,nM,4.77,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363193,CHEMBL1075432,Detroit 562,Homo sapiens,cell-based format,IC50,=,1701.52,nM,5.77,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363194,CHEMBL1075436,DoTc2-4510,Homo sapiens,cell-based format,IC50,=,322.19,nM,6.49,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363197,CHEMBL2366240,EC-GI-10,Homo sapiens,cell-based format,IC50,=,59.12,nM,7.23,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363198,CHEMBL2366117,ECC10,Homo sapiens,cell-based format,IC50,=,1553.69,nM,5.81,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363202,CHEMBL1075439,EFM-19,Homo sapiens,cell-based format,IC50,=,37796.71,nM,4.42,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363203,CHEMBL1075440,EFO-21,Homo sapiens,cell-based format,IC50,=,11104.5,nM,4.96,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363204,CHEMBL1075441,EFO-27,Homo sapiens,cell-based format,IC50,=,51.82,nM,7.29,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363205,CHEMBL1075442,EGI-1,Homo sapiens,cell-based format,IC50,=,28592.77,nM,4.54,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363731,CHEMBL614516,A498,Homo sapiens,cell-based format,IC50,=,406.74,nM,6.39,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363732,CHEMBL392,A549,Homo sapiens,cell-based format,IC50,=,6125.53,nM,5.21,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363768,CHEMBL614530,BXPC-3,Homo sapiens,cell-based format,IC50,=,10097.25,nM,5.0,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363769,CHEMBL2366313,C-33-A,Homo sapiens,cell-based format,IC50,=,812.97,nM,6.09,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363138,CHEMBL1075428,COLO-741,Homo sapiens,cell-based format,IC50,=,20659.97,nM,4.68,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363139,CHEMBL1075429,COLO-792,Homo sapiens,cell-based format,IC50,=,25273.21,nM,4.6,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363176,CHEMBL2366186,DEL,Homo sapiens,cell-based format,IC50,=,10394.56,nM,4.98,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363178,CHEMBL2366264,DJM-1,Homo sapiens,cell-based format,IC50,=,6920.12,nM,5.16,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363733,CHEMBL614517,A673,Homo sapiens,cell-based format,IC50,=,41515.67,nM,4.38,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363734,CHEMBL614567,A704,Homo sapiens,cell-based format,IC50,=,18475.29,nM,4.73,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363735,CHEMBL1075391,ABC-1,Homo sapiens,cell-based format,IC50,=,34369.28,nM,4.46,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363771,CHEMBL2366283,C2BBe1,Homo sapiens,cell-based format,IC50,=,14763.96,nM,4.83,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363772,CHEMBL1075401,C32,Homo sapiens,cell-based format,IC50,=,9330.64,nM,5.03,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363140,CHEMBL2366224,COLO-800,Homo sapiens,cell-based format,IC50,=,7414.46,nM,5.13,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363141,CHEMBL1075430,COLO-824,Homo sapiens,cell-based format,IC50,=,15157.89,nM,4.82,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363179,CHEMBL1075433,DK-MG,Homo sapiens,cell-based format,IC50,=,30545.61,nM,4.51,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363180,CHEMBL614642,DMS-114,Homo sapiens,cell-based format,IC50,=,40837.39,nM,4.39,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363736,CHEMBL614519,ACHN,Homo sapiens,cell-based format,IC50,=,319.94,nM,6.5,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363737,CHEMBL2366195,ACN,Homo sapiens,cell-based format,IC50,=,550.94,nM,6.26,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363773,CHEMBL1075402,C3A,Homo sapiens,cell-based format,IC50,=,30292.65,nM,4.52,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363774,CHEMBL614533,C8166,Homo sapiens,cell-based format,IC50,=,33885.36,nM,4.47,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363142,CHEMBL2366275,COLO-829,Homo sapiens,cell-based format,IC50,=,8809.76,nM,5.05,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363143,CHEMBL1075431,COR-L105,Homo sapiens,cell-based format,IC50,=,210.84,nM,6.68,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363184,CHEMBL614286,DMS-79,Homo sapiens,cell-based format,IC50,=,40588.87,nM,4.39,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363185,CHEMBL2366181,DOHH-2,Homo sapiens,cell-based format,IC50,=,20546.34,nM,4.69,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363738,CHEMBL613860,AGS,Homo sapiens,cell-based format,IC50,=,836.48,nM,6.08,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363739,CHEMBL2366294,ALL-PO,Homo sapiens,cell-based format,IC50,=,11251.16,nM,4.95,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363776,CHEMBL614067,CAKI-1,Homo sapiens,cell-based format,IC50,=,1782.11,nM,5.75,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363777,CHEMBL1075405,CAL-120,Homo sapiens,cell-based format,IC50,=,15144.66,nM,4.82,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363144,CHEMBL613854,COR-L23,Homo sapiens,cell-based format,IC50,=,24176.69,nM,4.62,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363182,CHEMBL614034,DMS-273,Homo sapiens,cell-based format,IC50,=,32532.19,nM,4.49,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363740,CHEMBL2366192,AM-38,Homo sapiens,cell-based format,IC50,=,52949.2,nM,4.28,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363741,CHEMBL1075392,AN3-CA,Homo sapiens,cell-based format,IC50,=,28439.47,nM,4.55,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363778,CHEMBL1075406,CAL-12T,Homo sapiens,cell-based format,IC50,=,1889.45,nM,5.72,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363780,CHEMBL1075408,CAL-27,Homo sapiens,cell-based format,IC50,=,176.36,nM,6.75,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363146,CHEMBL2366329,COR-L88,Homo sapiens,cell-based format,IC50,=,641.13,nM,6.19,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363147,CHEMBL2366076,CP50-MEL-B,Homo sapiens,cell-based format,IC50,=,17034.3,nM,4.77,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363148,CHEMBL2366363,CP66-MEL,Homo sapiens,cell-based format,IC50,=,15468.8,nM,4.81,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363743,CHEMBL2366277,ATN-1,Homo sapiens,cell-based format,IC50,=,33141.56,nM,4.48,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363781,CHEMBL1075409,CAL-33,Homo sapiens,cell-based format,IC50,=,201.84,nM,6.7,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363782,CHEMBL1075410,CAL-39,Homo sapiens,cell-based format,IC50,=,117.92,nM,6.93,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363152,CHEMBL2366344,CTB-1,Homo sapiens,cell-based format,IC50,=,4848.8,nM,5.31,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363708,CHEMBL612657,CWR22R,Homo sapiens,cell-based format,IC50,=,34175.36,nM,4.47,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363709,CHEMBL1075382,23132-87,Homo sapiens,cell-based format,IC50,=,319.23,nM,6.5,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363710,CHEMBL612565,5637,Homo sapiens,cell-based format,IC50,=,1015.1,nM,5.99,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363744,CHEMBL1075393,AU565,Homo sapiens,cell-based format,IC50,=,85.04,nM,7.07,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363745,CHEMBL612588,ASPC1,Homo sapiens,cell-based format,IC50,=,19647.12,nM,4.71,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363746,CHEMBL2366269,BALL-1,Homo sapiens,cell-based format,IC50,=,9219.07,nM,5.04,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363783,CHEMBL1075411,CAL-51,Homo sapiens,cell-based format,IC50,=,31566.71,nM,4.5,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363784,CHEMBL1075412,CAL-54,Homo sapiens,cell-based format,IC50,=,616.21,nM,6.21,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363153,CHEMBL2366360,CTV-1,Homo sapiens,cell-based format,IC50,=,643.92,nM,6.19,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363711,CHEMBL1075383,639-V,Homo sapiens,cell-based format,IC50,=,31524.28,nM,4.5,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363712,CHEMBL1075384,647-V,Homo sapiens,cell-based format,IC50,=,3984.52,nM,5.4,,,5,CHEMBL1201861
AFATINIB,,CHEMBL1173655,CHEMBL2363747,CHEMBL2366271,BB30-HNC,Homo sapiens,cell-based format,IC50,=,165.76,nM,6.78,,,5,CHEMBL1201861
