drug,activity_chembl_id,molecule_chembl_id,assay_chembl_id,target_chembl_id,target_pref_name,target_organism,bao_label,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,src_id,document_chembl_id
OLAPARIB,,CHEMBL521686,CHEMBL4767400,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,assay format,IC50,=,2960.0,nM,5.53,,,1,CHEMBL4765243
OLAPARIB,,CHEMBL521686,CHEMBL4773041,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,32360.0,nM,4.49,,,1,CHEMBL4765403
OLAPARIB,,CHEMBL521686,CHEMBL4817098,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.26,nM,8.9,,,1,CHEMBL4813994
OLAPARIB,,CHEMBL521686,CHEMBL4823042,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.1,nM,8.96,,,1,CHEMBL4819147
OLAPARIB,,CHEMBL521686,CHEMBL4823044,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,5860.0,nM,5.23,,,1,CHEMBL4819147
OLAPARIB,,CHEMBL521686,CHEMBL4823045,CHEMBL1075458,HCC1937,Homo sapiens,cell-based format,IC50,=,13000.0,nM,4.89,,,1,CHEMBL4819147
OLAPARIB,,CHEMBL521686,CHEMBL4843990,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,5.1,nM,8.29,,,1,CHEMBL4842357
OLAPARIB,,CHEMBL521686,CHEMBL4843991,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,1.2,nM,8.92,,,1,CHEMBL4842357
OLAPARIB,,CHEMBL521686,CHEMBL4844015,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,Kd,=,0.31,nM,9.51,,,1,CHEMBL4842357
OLAPARIB,,CHEMBL521686,CHEMBL4844016,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,Kd,=,0.27,nM,9.57,,,1,CHEMBL4842357
OLAPARIB,,CHEMBL521686,CHEMBL5039984,CHEMBL612255,NCI-H1299,Homo sapiens,cell-based format,IC50,=,35930.0,nM,4.45,,,1,CHEMBL5038593
OLAPARIB,,CHEMBL521686,CHEMBL5039986,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,assay format,Kd,=,5310.0,nM,5.28,,,1,CHEMBL5038593
OLAPARIB,,CHEMBL521686,CHEMBL5054878,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,2.09,nM,8.68,,,1,CHEMBL5053536
OLAPARIB,,CHEMBL521686,CHEMBL5054879,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,2.26,nM,8.65,,,1,CHEMBL5053536
OLAPARIB,,CHEMBL521686,CHEMBL5055117,CHEMBL613506,CFPAC-1,Homo sapiens,cell-based format,IC50,=,13700.0,nM,4.86,,,1,CHEMBL5053549
OLAPARIB,,CHEMBL521686,CHEMBL5055118,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,8420.0,nM,5.08,,,1,CHEMBL5053549
OLAPARIB,,CHEMBL521686,CHEMBL5055119,CHEMBL1075592,SW1990,Homo sapiens,cell-based format,IC50,=,5730.0,nM,5.24,,,1,CHEMBL5053549
OLAPARIB,,CHEMBL521686,CHEMBL5055122,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,0.6,nM,9.22,,,1,CHEMBL5053549
OLAPARIB,,CHEMBL521686,CHEMBL5055128,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,8480.0,nM,5.07,,,1,CHEMBL5053549
OLAPARIB,,CHEMBL521686,CHEMBL5104351,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,assay format,IC50,=,2.47,nM,8.61,,,1,CHEMBL5104091
OLAPARIB,,CHEMBL521686,CHEMBL5104378,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,34.15,nM,7.47,,,1,CHEMBL5104091
OLAPARIB,,CHEMBL521686,CHEMBL5116320,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,subcellular format,IC50,=,0.63,nM,9.2,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5116322,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,690.0,nM,6.16,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5116323,CHEMBL5058622,ES-2,Homo sapiens,cell-based format,IC50,=,2050.0,nM,5.69,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5116324,CHEMBL613508,DU-145,Homo sapiens,cell-based format,IC50,=,11440.0,nM,4.94,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5116325,CHEMBL392,A549,Homo sapiens,cell-based format,IC50,=,5890.0,nM,5.23,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5116327,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,1670.0,nM,5.78,,,1,CHEMBL5113426
OLAPARIB,,CHEMBL521686,CHEMBL5117342,CHEMBL4296465,MDA-MB-436,Homo sapiens,cell-based format,IC50,=,20.0,nM,7.7,,,1,CHEMBL5113469
OLAPARIB,,CHEMBL521686,CHEMBL5117343,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,53.0,nM,7.28,,,1,CHEMBL5113469
OLAPARIB,,CHEMBL521686,CHEMBL5117344,CHEMBL614335,MDA-MB-468,Homo sapiens,cell-based format,IC50,=,4190.0,nM,5.38,,,1,CHEMBL5113469
OLAPARIB,,CHEMBL521686,CHEMBL5117345,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,4470.0,nM,5.35,,,1,CHEMBL5113469
OLAPARIB,,CHEMBL521686,CHEMBL5117355,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,3.99,nM,8.4,,,1,CHEMBL5113469
OLAPARIB,,CHEMBL521686,CHEMBL5117387,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,11.36,nM,7.95,,,1,CHEMBL5113471
OLAPARIB,,CHEMBL521686,CHEMBL5117391,CHEMBL4296465,MDA-MB-436,Homo sapiens,cell-based format,IC50,=,100.0,nM,7.0,,,1,CHEMBL5113471
OLAPARIB,,CHEMBL521686,CHEMBL5117392,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,530.0,nM,6.28,,,1,CHEMBL5113471
OLAPARIB,,CHEMBL521686,CHEMBL5122521,CHEMBL613704,MX1,Homo sapiens,cell-based format,IC50,=,35800.0,nM,4.45,,,1,CHEMBL5120815
OLAPARIB,,CHEMBL521686,CHEMBL5123640,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,5350.0,nM,5.27,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123641,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,5560.0,nM,5.25,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123642,CHEMBL614335,MDA-MB-468,Homo sapiens,cell-based format,IC50,=,2520.0,nM,5.6,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123647,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.0,nM,9.0,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123648,CHEMBL6164,Poly [ADP-ribose] polymerase tankyrase-1,Homo sapiens,single protein format,IC50,=,1568.0,nM,5.8,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123649,CHEMBL6154,Poly [ADP-ribose] polymerase tankyrase-2,Homo sapiens,single protein format,IC50,=,4090.5,nM,5.39,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123692,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.55,nM,8.81,,,1,CHEMBL5120857
OLAPARIB,,CHEMBL521686,CHEMBL5123939,CHEMBL614335,MDA-MB-468,Homo sapiens,cell-based format,IC50,=,35570.0,nM,4.45,,,1,CHEMBL5120864
OLAPARIB,,CHEMBL521686,CHEMBL5123941,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,7090.0,nM,5.15,,,1,CHEMBL5120864
OLAPARIB,,CHEMBL521686,CHEMBL5127793,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,1.4,nM,8.85,,,1,CHEMBL5126523
OLAPARIB,,CHEMBL521686,CHEMBL5127794,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,1.0,nM,9.0,,,1,CHEMBL5126523
OLAPARIB,,CHEMBL521686,CHEMBL5134271,CHEMBL614335,MDA-MB-468,Homo sapiens,cell-based format,IC50,=,1830.0,nM,5.74,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134272,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,8480.0,nM,5.07,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134274,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,0.6,nM,9.22,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134276,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,7320.0,nM,5.13,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134277,CHEMBL614245,THP-1,Homo sapiens,cell-based format,IC50,=,32300.0,nM,4.49,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134278,CHEMBL1075592,SW1990,Homo sapiens,cell-based format,IC50,=,19400.0,nM,4.71,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134279,CHEMBL1075592,SW1990,Homo sapiens,cell-based format,IC50,=,5730.0,nM,5.24,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134280,CHEMBL1075592,SW1990,Homo sapiens,cell-based format,IC50,=,4930.0,nM,5.31,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134283,CHEMBL1075592,SW1990,Homo sapiens,cell-based format,IC50,=,3630.0,nM,5.44,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134284,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,25200.0,nM,4.6,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134285,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,8420.0,nM,5.08,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134286,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,5340.0,nM,5.27,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134287,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,2610.0,nM,5.58,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134288,CHEMBL613506,CFPAC-1,Homo sapiens,cell-based format,IC50,=,28700.0,nM,4.54,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134289,CHEMBL613506,CFPAC-1,Homo sapiens,cell-based format,IC50,=,13700.0,nM,4.86,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134290,CHEMBL613506,CFPAC-1,Homo sapiens,cell-based format,IC50,=,9870.0,nM,5.01,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5134291,CHEMBL613506,CFPAC-1,Homo sapiens,cell-based format,IC50,=,7440.0,nM,5.13,,,1,CHEMBL5131471
OLAPARIB,,CHEMBL521686,CHEMBL5138220,CHEMBL1075458,HCC1937,Homo sapiens,cell-based format,IC50,=,83100.0,nM,4.08,,,1,CHEMBL5136991
OLAPARIB,,CHEMBL521686,CHEMBL5152028,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,assay format,IC50,=,7.0,nM,8.15,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152029,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,assay format,IC50,=,6.0,nM,8.22,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152032,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,42.0,nM,7.38,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152039,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,Kd,=,0.8,nM,9.1,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152040,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,Kd,=,0.5,nM,9.3,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152041,CHEMBL5083,Protein mono-ADP-ribosyltransferase PARP3,Homo sapiens,single protein format,Kd,=,5.8,nM,8.24,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152042,CHEMBL6142,Protein mono-ADP-ribosyltransferase PARP4,Homo sapiens,single protein format,Kd,=,141.0,nM,6.85,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152048,CHEMBL2429708,Protein mono-ADP-ribosyltransferase PARP10,Homo sapiens,single protein format,Kd,=,9700.0,nM,5.01,,,1,CHEMBL5150005
OLAPARIB,,CHEMBL521686,CHEMBL5152892,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,0.73,nM,9.14,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5152893,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,0.1,nM,10.0,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5152894,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,10.62,nM,7.97,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5152895,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,2.93,nM,8.53,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5152896,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,171.8,nM,6.76,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5152897,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,23326.0,nM,4.63,,,1,CHEMBL5150037
OLAPARIB,,CHEMBL521686,CHEMBL5165098,CHEMBL4296465,MDA-MB-436,Homo sapiens,cell-based format,IC50,=,20.0,nM,7.7,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165099,CHEMBL614536,CAPAN-1,Homo sapiens,cell-based format,IC50,=,53.0,nM,7.28,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165100,CHEMBL614335,MDA-MB-468,Homo sapiens,cell-based format,IC50,=,4190.0,nM,5.38,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165101,CHEMBL400,MDA-MB-231,Homo sapiens,cell-based format,IC50,=,4470.0,nM,5.35,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165112,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,3.99,nM,8.4,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165113,CHEMBL5366,Poly [ADP-ribose] polymerase 2,Homo sapiens,single protein format,IC50,=,1.01,nM,9.0,,,1,CHEMBL5154873
OLAPARIB,,CHEMBL521686,CHEMBL5165804,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,single protein format,IC50,=,8.0,nM,8.1,,,1,CHEMBL5154882
