drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted
SB216763,SB216763,CHEMBL102714,SB-216763,Small molecule,,False,False,False,0,-1.0,,,,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,"InChI=1S/C19H12Cl2N2O2/c1-23-9-13(11-4-2-3-5-15(11)23)17-16(18(24)22-19(17)25)12-7-6-10(20)8-14(12)21/h2-9H,1H3,(H,22,24,25)",JCSGFHVFHSKIJH-UHFFFAOYSA-N,371.22,4.05,51.10,3,1,2,3,25,0,0.69
SB590885,SB590885,CHEMBL477989,SB590885,Small molecule,,False,False,False,0,-1.0,,,,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,"InChI=1S/C27H27N5O2/c1-32(2)15-16-34-22-7-3-19(4-8-22)27-29-25(18-11-13-28-14-12-18)26(30-27)21-5-9-23-20(17-21)6-10-24(23)31-33/h3-5,7-9,11-14,17,33H,6,10,15-16H2,1-2H3,(H,29,30)/b31-24+",MLSAQOINCGAULQ-QFMPWRQOSA-N,453.55,4.87,86.63,6,2,7,4,34,0,0.31
SELUMETINIB,SELUMETINIB,CHEMBL1614701,SELUMETINIB,Small molecule,4.0,True,False,False,0,1.0,2020.0,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,"InChI=1S/C17H15BrClFN4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)",CYOHGALHFOKKQC-UHFFFAOYSA-N,457.69,3.53,88.41,6,3,6,3,27,0,0.39
SERDEMETAN,SERDEMETAN,CHEMBL2137530,SERDEMETAN,Small molecule,2.0,False,False,False,0,,,,,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,"InChI=1S/C21H20N4/c1-2-4-21-20(3-1)16(15-24-21)9-14-23-17-5-7-18(8-6-17)25-19-10-12-22-13-11-19/h1-8,10-13,15,23-24H,9,14H2,(H,22,25)",CEGSUKYESLWKJP-UHFFFAOYSA-N,328.42,4.96,52.74,3,3,6,4,25,0,0.47
SGC0946,SGC0946,CHEMBL5715246,,,,False,False,False,0,-1.0,,,,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O.Cl,"InChI=1S/C28H40BrN7O4.ClH/c1-16(2)35(12-6-11-31-27(39)34-18-9-7-17(8-10-18)28(3,4)5)14-20-22(37)23(38)26(40-20)36-13-19(29)21-24(30)32-15-33-25(21)36;/h7-10,13,15-16,20,22-23,26,37-38H,6,11-12,14H2,1-5H3,(H2,30,32,33)(H2,31,34,39);1H/t20-,22-,23-,26-;/m1./s1",CREBMQZPDVWTPT-DGUBOJIQSA-N,655.04,3.61,150.79,9,5,9,3,40,1,0.23
SN-38,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,7-ETHYL-10-HYDROXYCAMPTOTHECIN,Small molecule,2.0,False,False,False,0,,,,,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,"InChI=1S/C22H20N2O5/c1-3-12-13-7-11(25)5-6-17(13)23-19-14(12)9-24-18(19)8-16-15(20(24)26)10-29-21(27)22(16,28)4-2/h5-8,25,28H,3-4,9-10H2,1-2H3/t22-/m0/s1",FJHBVJOVLFPMQE-QFIPXVFZSA-N,392.41,2.35,101.65,7,2,2,3,29,0,0.51
TALAZOPARIB,TALAZOPARIB,CHEMBL3137320,TALAZOPARIB,Small molecule,4.0,True,False,False,0,1.0,2018.0,,,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,"InChI=1S/C19H14F2N6O/c1-27-18(22-8-23-27)15-16(9-2-4-10(20)5-3-9)24-13-7-11(21)6-12-14(13)17(15)25-26-19(12)28/h2-8,15-16,24H,1H3,(H,26,28)/t15-,16-/m1/s1",HWGQMRYQVZSGDQ-HZPDHXFCSA-N,380.36,2.63,88.49,6,2,2,4,28,0,0.56
TAMOXIFEN,TAMOXIFEN,CHEMBL83,TAMOXIFEN,Small molecule,4.0,True,False,False,1,1.0,1977.0,,,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,"InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3/b26-25-",NKANXQFJJICGDU-QPLCGJKRSA-N,371.52,6.00,12.47,2,0,8,3,28,1,0.45
TANESPIMYCIN,TANESPIMYCIN,CHEMBL109480,TANESPIMYCIN,Small molecule,3.0,False,False,False,0,,,,,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,"InChI=1S/C31H43N3O8/c1-8-12-33-26-21-13-17(2)14-25(41-7)27(36)19(4)15-20(5)29(42-31(32)39)24(40-6)11-9-10-18(3)30(38)34-22(28(21)37)16-23(26)35/h8-11,15-17,19,24-25,27,29,33,36H,1,12-14H2,2-7H3,(H2,32,39)(H,34,38)/b11-9-,18-10+,20-15+/t17-,19+,24+,25+,27-,29+/m1/s1",AYUNIORJHRXIBJ-TXHRRWQRSA-N,585.70,2.54,166.28,9,4,6,0,42,1,0.27
TEMOZOLOMIDE,TEMOZOLOMIDE,CHEMBL810,TEMOZOLOMIDE,Small molecule,4.0,True,True,False,1,1.0,1999.0,,,Cn1nnc2c(C(N)=O)ncn2c1=O,"InChI=1S/C6H6N6O2/c1-11-6(14)12-2-8-3(4(7)13)5(12)9-10-11/h2H,1H3,(H2,7,13)",BPEGJWRSRHCHSN-UHFFFAOYSA-N,194.15,-2.08,108.17,7,1,1,2,14,0,0.56
TRAMETINIB,TRAMETINIB,CHEMBL2103875,TRAMETINIB,Small molecule,4.0,False,False,False,0,-1.0,2013.0,,,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,"InChI=1S/C26H23FIN5O4/c1-13-22-21(23(31(3)24(13)35)30-20-10-7-15(28)11-19(20)27)25(36)33(17-8-9-17)26(37)32(22)18-6-4-5-16(12-18)29-14(2)34/h4-7,10-12,17,30H,8-9H2,1-3H3,(H,29,34)",LIRYPHYGHXZJBZ-UHFFFAOYSA-N,615.40,3.94,107.13,8,2,5,4,37,1,0.33
VELIPARIB,VELIPARIB,CHEMBL506871,VELIPARIB,Small molecule,3.0,False,False,False,0,,,,,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,"InChI=1S/C13H16N4O/c1-13(6-3-7-15-13)12-16-9-5-2-4-8(11(14)18)10(9)17-12/h2,4-5,15H,3,6-7H2,1H3,(H2,14,18)(H,16,17)/t13-/m1/s1",JNAHVYVRKWKWKQ-CYBMUJFWSA-N,244.30,1.26,83.80,3,3,2,2,18,0,0.74
VISMODEGIB,VISMODEGIB,CHEMBL473417,VISMODEGIB,Small molecule,4.0,True,False,False,1,1.0,2012.0,,,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,"InChI=1S/C19H14Cl2N2O3S/c1-27(25,26)13-6-7-14(17(21)11-13)19(24)23-12-5-8-16(20)15(10-12)18-4-2-3-9-22-18/h2-11H,1H3,(H,23,24)",BPQMGSKTAYIVFO-UHFFFAOYSA-N,421.31,4.71,76.13,4,1,4,3,27,0,0.66
VORINOSTAT,VORINOSTAT,CHEMBL98,VORINOSTAT,Small molecule,4.0,True,False,False,0,1.0,2006.0,,,O=C(CCCCCCC(=O)Nc1ccccc1)NO,"InChI=1S/C14H20N2O3/c17-13(15-12-8-4-3-5-9-12)10-6-1-2-7-11-14(18)16-19/h3-5,8-9,19H,1-2,6-7,10-11H2,(H,15,17)(H,16,18)",WAEXFXRVDQXREF-UHFFFAOYSA-N,264.32,2.47,78.43,3,3,8,1,19,0,0.38
WEE1 INHIBITOR,Wee1 inhibitor II,CHEMBL5724727,,,,False,False,False,0,-1.0,,,,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)CCl)C(C)C,"InChI=1S/C24H33ClN4O8/c1-12(2)21(24(37)26-13(3)22(35)28-17(10-20(33)34)19(32)11-25)29-23(36)18(27-14(4)30)9-15-5-7-16(31)8-6-15/h5-8,12-13,17-18,21,31H,9-11H2,1-4H3,(H,26,37)(H,27,30)(H,28,35)(H,29,36)(H,33,34)/t13-,17-,18-,21-/m0/s1",UOUBHJRCKHLGFB-DGJUNBOTSA-N,541.00,-0.15,191.00,7,6,14,1,37,2,0.18
YK-4-279,YK-4-279,CHEMBL2011500,,Small molecule,,False,False,False,0,-1.0,,,,COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1,"InChI=1S/C17H13Cl2NO4/c1-24-10-4-2-9(3-5-10)13(21)8-17(23)14-11(18)6-7-12(19)15(14)20-16(17)22/h2-7,23H,8H2,1H3,(H,20,22)",HLXSCTYHLQHQDJ-UHFFFAOYSA-N,366.20,3.41,75.63,4,2,4,2,24,0,0.81
ZM447439,ZM447439,CHEMBL202721,,Small molecule,,False,False,False,0,-1.0,,,,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,"InChI=1S/C29H31N5O4/c1-36-26-18-24-25(19-27(26)38-15-5-12-34-13-16-37-17-14-34)30-20-31-28(24)32-22-8-10-23(11-9-22)33-29(35)21-6-3-2-4-7-21/h2-4,6-11,18-20H,5,12-17H2,1H3,(H,33,35)(H,30,31,32)",OGNYUTNQZVRGMN-UHFFFAOYSA-N,513.60,4.74,97.84,8,2,10,4,38,1,0.29
