drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted,n_mechanism_records,n_mechanism_targets,mechanism_of_action_list,action_type_list,n_activity_records,n_activity_targets,best_pchembl,median_pchembl,best_standard_type,best_standard_value,best_standard_units,best_target_chembl_id,best_target_pref_name,target_organisms_seen,ac50_best_pchembl,ac50_median_pchembl,ac50_n,ec50_best_pchembl,ec50_median_pchembl,ec50_n,ic50_best_pchembl,ic50_median_pchembl,ic50_n,kd_best_pchembl,kd_median_pchembl,kd_n,ki_best_pchembl,ki_median_pchembl,ki_n,n_targets_downloaded,target_type_list,target_pref_name_list,target_accessions_list
AFATINIB,AFATINIB,CHEMBL1173655,AFATINIB,Small molecule,4.0,True,False,False,0,1.0,2013.0,,,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,485.95,4.39,88.61,7,2,8,3,34,0,0.46,0,0,,,883,634,10.64,5.43,IC50,0.023,nM,CHEMBL614069,A-431,Homo sapiens,6.06,4.779999999999999,6.0,8.52,7.235,16.0,10.64,5.27,780.0,10.0,5.92,79.0,9.19,8.265,2.0,634,CELL-LINE | PROTEIN FAMILY | SINGLE PROTEIN,"23132-87 | 5637 | 639-V | 647-V | 697 | 769-P | 786-0 | 8-MG-BA | 8305C | 8505C | A 172 | A-375 | A-427 | A-431 | A101D | A204 | A2058 | A2780 | A3-KAW | A388 | A4-Fuk | A498 | A549 | A673 | A704 | ABC-1 | ACHN | ACN | AGS | ALL-PO | AM-38 | AN3-CA | ASPC1 | ATN-1 | AU565 | Adenosine kinase | Alpha-2B adrenergic receptor | BALL-1 | BB30-HNC | BB49-HNC | BB65-RCC | BCPAP | BE-13 | BEN | BFTC-905 | BFTC-909 | BHT-101 | BHY | BPH-1 | BT-20 | BT-474 | BT-549 | BV-173 | BXPC-3 | Becker | C-33-A | C2BBe1 | C32 | C3A | C8166 | CAKI-1 | CAL-120 | CAL-12T | CAL-27 | CAL-33 | CAL-39 | CAL-51 | CAL-54 | CAL-62 | CAL-72 | CAL-85-1 | CAMA-1 | CAPAN-1 | CAS-1 | CCRF-CEM | CFPAC-1 | CGTH-W-1 | CHL-1 | CHP-212 | CL97 | COLO-320-HSR | COLO-668 | COLO-678 | COLO-679 | COLO-680N | COLO-684 | COLO-741 | COLO-792 | COLO-800 | COLO-824 | COLO-829 | COR-L105 | COR-L23 | COR-L88 | CP50-MEL-B | CP66-MEL | CTB-1 | CTV-1 | CW-2 | CWR22R | Ca-Ski | Ca9-22 | CaR-1 | Caco-2 | Calu-3 | Calu-6 | Capan-2 | Casein kinase I isoform epsilon | ChaGo-K-1 | Cholecystokinin receptor type A | Citron Rho-interacting kinase | Cyclin-G-associated kinase | D-247MG | D-263MG | D-336MG | D-392MG | D-423MG | D-502MG | D-542MG | D-566MG | D283 Med | DB | DBTRG-05MG | DEL | DJM-1 | DK-MG | DMS-114 | DMS-273 | DMS-79 | DOHH-2 | DOK | DSH1 | DU-145 | DU-4475 | Daoy | Detroit 562 | DoTc2-4510 | Dual specificity mitogen-activated protein kinase kinase 5 | Dual specificity tyrosine-phosphorylation-regulated kinase 1A | Dual specificity tyrosine-phosphorylation-regulated kinase 1B | Dual specificity tyrosine-phosphorylation-regulated kinase 2 | EC-GI-10 | ECC10 | EFM-19 | EFO-21 | EFO-27 | EGI-1 | EKVX | EM-2 | EOL1 | EPLC-272H | ES1 | ES3 | ES4 | ES5 | ES6 | ES7 | ES8 | ESS-1 | ETK-1 | EW-1 | EW-11 | EW-13 | EW-16 | EW-18 | EW-22 | EW-24 | EW-3 | Ephrin type-A receptor 6 | Ephrin type-B receptor 6 | Epidermal growth factor receptor | Epidermal growth factor receptor and ErbB2 (HER1 and HER2) | FTC-133 | FaDu | G-361 | G-401 | G-402 | GAK | GAMG | GB-1 | GCIY | GCT | GI-1 | GI-ME-N | GMS-10 | GOTO | GP5d | GR-ST | GT3TKB | H-EMC-SS | H4 | H9 | HAL-01 | HC-1 | HCC 2998 | HCC1187 | HCC1395 | HCC1419 | HCC1569 | HCC1806 | HCC1937 | HCC1954 | HCC2218 | HCC38 | HCC70 | HCC827 | HCE-4 | HCE-T | HCT-116 | HCT-15 | HD-MY-Z | HDLM-2 | HEC-1 | HEL | HGC-27 | HH | HL-60 | HLE | HN | HO-1-N-1 | HOP-62 | HOP-92 | HOS | HPAF-II | HSC-2 | HSC-3 | HSC-4 | HT | HT-1080 | HT-1376 | HT-144 | HT-29 | HT-3 | HT1197 | HT55 | HTC-C3 | HeLa | HepG2 | Hepatocyte growth factor receptor | Homeodomain-interacting protein kinase 4 | Hs-578T | HuCCT-1 | HuO-3N1 | HuO9 | HuP-T3 | HuP-T4 | HuTu80 | Huh-7 | IA-LM | IGR-1 | IGROV-1 | IST-MEL1 | IST-MES1 | IST-SL1 | Interleukin-1 receptor-associated kinase 1 | J-RT3-T3-5 | J82 | JAR | JEG-3 | JVM-2 | JVM-3 | K5 | K562 | KALS-1 | KARPAS-299 | KARPAS-45 | KE-37 | KG-1 | KGN | KINGS-1 | KLE | KM-H2 | KM12 | KMOE-2 | KNS-42 | KNS-62 | KNS-81-FD | KOSC-2 | KP-4 | KP-N-YN | KP-N-YS | KS-1 | KU-19-19 | KU812 cell line | KURAMOCHI | KY821 | KYSE-140 | KYSE-150 cell line | KYSE-180 | KYSE-270 | KYSE-410 | KYSE-450 | KYSE-510 | KYSE-520 cell line | KYSE-70 cell line | Kasumi 1 | L-363 | L-428 | LAMA-84 | LAN-6 | LB1047-RCC | LB2241-RCC | LB2518-MEL | LB373-MEL-D | LB771-HNC | LB831-BLC | LC-2-ad | LCLC-103H cell line | LCLC-97TM1 | LK-2 | LN-405 | LNCaP-Clone-FGC | LOX IMVI | LS-1034 | LS-123 | LS-411N | LS-513 | LU-134-A | LU-135 | LU-139 | LU-99A | LXF-289 cell line | LoVo | Lu-65 | M059J | M14 | MAP kinase-activated protein kinase 2 | MAP kinase-interacting serine/threonine-protein kinase 1 | MAP kinase-interacting serine/threonine-protein kinase 2 | MC-IXC | MC116 | MCF7 | MDA-MB-157 | MDA-MB-175-VII | MDA-MB-231 | MDA-MB-361 | MDA-MB-415 | MDA-MB-453 | ME-180 | MEG-01 | MEL-HO | MEL-JUSO | MFE-280 | MFH-ino | MFM-223 | MG-63 | MHH-ES-1 | MHH-NB-11 | MHH-PREB-1 | MIA PaCa-2 | MKN-1 | MKN-28 | MKN-45 | MKN-7 | ML-2 | MLMA | MMAC-SF | MN-60 | MOLT-13 | MOLT-16 | MOLT-4 | MPP-89 | MS-1 | MSTO-211H | MV4-11 | MZ1-PC | MZ2-MEL | MZ7-mel | Macrophage-stimulating protein receptor | MeWo | Melanocortin receptor 3 | Mitogen-activated protein kinase 10 | Mitogen-activated protein kinase 11 | Mitogen-activated protein kinase 14 | Mitogen-activated protein kinase 9 | Mo | Muscarinic acetylcholine receptor M2 | Myosin light chain kinase, smooth muscle | NB10 | NB12 | NB13 | NB14 | NB17 | NB5 | NB6 | NB69 | NB7 | NBsusSR | NCI-H1048 | NCI-H1092 | NCI-H1155 | NCI-H1299 | NCI-H1304 | NCI-H1355 | NCI-H1395 | NCI-H1437 | NCI-H1563 | NCI-H1573 | NCI-H1581 | NCI-H1623 | NCI-H1648 | NCI-H1650 | NCI-H1651 | NCI-H1666 | NCI-H1693 | NCI-H1703 | NCI-H1755 | NCI-H1770 | NCI-H1792 | NCI-H1793 | NCI-H1838 | NCI-H1975 | NCI-H1993 | NCI-H2009 | NCI-H2029 | NCI-H2030 | NCI-H2052 | NCI-H2087 | NCI-H209 | NCI-H2122 | NCI-H2126 | NCI-H2170 | NCI-H2228 | NCI-H226 | NCI-H2291 | NCI-H23 | NCI-H2342 | NCI-H2347 | NCI-H2405 | NCI-H2452 | NCI-H28 | NCI-H292 | NCI-H358 | NCI-H441 | NCI-H446 | NCI-H460 | NCI-H510A | NCI-H520 | NCI-H526 | NCI-H596 | NCI-H630 | NCI-H650 | NCI-H661 | NCI-H69 | NCI-H720 | NCI-H727 | NCI-H747 | NCI-H810 | NCI-H82 | NCI-N87 | NEC8 | NH-12 | NKM-1 | NMC-G1 | NOMO-1 | NOS-1 | NTERA-2-cl-D1 | NUGC-3 | NY | OAW-28 | OAW-42 | OC-314 | OCI-AML2 | OCUB-M | OE19 | OE33 | OMC-1 | ONS-76 | OS-RC-2 | OVCAR-3 | OVCAR-4 | OVCAR-5 | OVCAR-8 | P12-Ichikawa | P30-OHK | PA-1 | PANC-03-27 | PANC-08-13 | PC-14 | PC-3 | PC-9 | PFSK-1 | PSN1 | Panc1005 | Phosphorylase b kinase gamma catalytic chain, liver/testis isoform | Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform | Proto-oncogene tyrosine-protein kinase Src | Proto-oncogene tyrosine-protein kinase receptor Ret | QIMR-WIL | RCC10RGB | RCM-1 | RD | RERF-LC-MS | RH-1 | RH-18 | RKO | RMG-I | RO82-W-1 | RPMI-2650 | RPMI-7951 | RPMI-8226 | RPMI-8866 | RS4-11 | RT-112 | RVH-421 | RXF 393 | Ramos-2G6-4C10 | Receptor tyrosine-protein kinase erbB-2 | Receptor tyrosine-protein kinase erbB-3 | Receptor tyrosine-protein kinase erbB-4 | Receptor-interacting serine/threonine-protein kinase 2 | Receptor-type tyrosine-protein kinase FLT3 | Ribosomal protein S6 kinase alpha-6 | S-117 | SAOS-2 | SAS | SBC-1 | SBC-5 | SCC-15 | SCC-25 | SCC-4 | SCC-9 | SCH | SF-126 | SF-268 | SF-295 | SF-539 | SH-4 | SHP77 | SJRH30 | SJSA-1 | SK-BR-3 | SK-HEP1 | SK-LMS-1 | SK-LU-1 | SK-MEL-1 | SK-MEL-2 | SK-MEL-24 | SK-MEL-28 | SK-MEL3 | SK-MES-1 | SK-N-AS | SK-N-DZ | SK-N-FI | SK-NEP-1 | SK-OV-3 | SK-PN-DW | SK-UT-1 | SKG-IIIa | SN12C | SNB-75 | SNU-387 | SNU-423 | SNU-449 | SNU-5 | SNU-C2B | SNU1 | STE20-like serine/threonine-protein kinase | SW 1116 | SW 954 | SW 962 | SW-620 | SW1088 | SW13 | SW1417 | SW1463 | SW1573 | SW1710 | SW1783 | SW1990 | SW48 | SW626 | SW684 | SW756 | SW780 | SW837 | SW872 | SW900 | SW948 | SW982 | Serine/threonine-protein kinase 10 | Serine/threonine-protein kinase 17A | Serine/threonine-protein kinase SBK1 | SiHa | Sodium-dependent dopamine transporter | T-24 | T47D | T84 | T98G | TCC-SUP | TE-1 | TE-10 | TE-11 | TE-12 | TE-5 | TE-6 | TE-8 | TE-9 | TGBC11TKB | TGBC1TKB | TGBC24TKB | TI-73 | TK-10 | TYK-nu | Tyrosine-protein kinase ABL1 | Tyrosine-protein kinase Blk | Tyrosine-protein kinase FRK | Tyrosine-protein kinase HCK | Tyrosine-protein kinase Lck | Tyrosine-protein kinase Lyn | Tyrosine-protein kinase TXK | Tyrosine-protein kinase receptor UFO | U-118-MG | U-251 | U-266 | U-87 MG | U2OS | UACC-257 | UACC-62 | UACC-893 | UMC-11 | UMUC3 | UO-31 | VA-ES-BJ | VM-CUB-1 | VMRC-RCZ | Voltage-gated inwardly rectifying potassium channel KCNH2 | WM-115 | YAPC | YH-13 | YKG-1 | ZR-75-30 | no-10 | no-11",O14578 | O14976 | O15197 | O43353 | O94804 | P00519 | P00533 | P04626 | P06239 | P07948 | P07949 | P08172 | P08581 | P08631 | P12931 | P15735 | P18089 | P21860 | P30530 | P32238 | P36888 | P41968 | P42681 | P42685 | P45984 | P49137 | P49674 | P51451 | P51617 | P53779 | P55263 | Q01959 | Q04912 | Q12809 | Q13163 | Q13627 | Q15303 | Q15746 | Q15759 | Q16539 | Q16816 | Q52WX2 | Q8NE63 | Q92630 | Q9BUB5 | Q9H2G2 | Q9HBH9 | Q9UEE5 | Q9UF33 | Q9UK32 | Q9Y463
AVAGACESTAT,AVAGACESTAT,CHEMBL1090771,AVAGACESTAT,Small molecule,2.0,False,False,False,0,,,,,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,"InChI=1S/C20H17ClF4N4O4S/c21-14-3-5-15(6-4-14)34(31,32)29(17(18(26)30)7-8-20(23,24)25)10-13-2-1-12(9-16(13)22)19-27-11-33-28-19/h1-6,9,11,17H,7-8,10H2,(H2,26,30)/t17-/m1/s1",XEAOPVUAMONVLA-QGZVFWFLSA-N,520.89,3.92,119.39,6,1,9,3,34,1,0.43,1,1,Gamma-secretase inhibitor,INHIBITOR,207,201,9.89,4.35,IC50,0.13,nM,CHEMBL2094135,Gamma-secretase,Homo sapiens,,,,,,,9.89,4.35,207.0,,,,,,,201,CELL-LINE | PROTEIN COMPLEX,786-0 | 8305C | A 172 | A2780 | A388 | ACN | ASPC1 | AU565 | BB30-HNC | BB49-HNC | BFTC-905 | BFTC-909 | BHT-101 | BPH-1 | BT-474 | CAKI-1 | CAL-12T | CAL-33 | CAL-54 | CAL-62 | CAPAN-1 | CAS-1 | CHP-212 | COLO-668 | COLO-829 | COR-L105 | COR-L23 | CP66-MEL | CWR22R | Ca9-22 | CaR-1 | Calu-3 | Calu-6 | D-392MG | D-423MG | D-502MG | D283 Med | DBTRG-05MG | DMS-53 | DOK | DSH1 | Detroit 562 | EGI-1 | EPLC-272H | ES1 | ES3 | ES6 | ES7 | ESS-1 | EVSA-T | EW-11 | EW-16 | G-361 | G-402 | GAK | GAMG | GCIY | GMS-10 | GOTO | Gamma-secretase | HCC1187 | HCC1569 | HCC38 | HCE-T | HCT-116 | HEC-1 | HGC-27 | HPAF-II | HSC-2 | HSC-3 | HT-1080 | HT-1376 | HT-29 | HT-3 | HT1197 | HT55 | HuO-3N1 | HuO9 | HuTu80 | Huh-7 | IGR-1 | J82 | JEG-3 | KGN | KINGS-1 | KM12 | KNS-81-FD | KOSC-2 | KYSE-150 cell line | KYSE-520 cell line | LB373-MEL-D | LB996-RCC | LCLC-97TM1 | LN-405 | LS-1034 | LS-123 | LoVo | M14 | MDA-MB-157 | MDA-MB-361 | MDA-MB-415 | MDA-MB-453 | MEL-JUSO | MES-SA | MG-63 | MHH-ES-1 | MMAC-SF | MZ2-MEL | MZ7-mel | MeWo | NB13 | NB17 | NB5 | NB7 | NCI-H1048 | NCI-H1299 | NCI-H1395 | NCI-H1623 | NCI-H1648 | NCI-H1651 | NCI-H1666 | NCI-H1755 | NCI-H1792 | NCI-H1975 | NCI-H1993 | NCI-H2030 | NCI-H2052 | NCI-H2122 | NCI-H2126 | NCI-H226 | NCI-H2291 | NCI-H23 | NCI-H2405 | NCI-H2452 | NCI-H28 | NCI-H292 | NCI-H650 | NCI-H661 | NCI-H810 | NEC8 | NH-12 | NMC-G1 | NUGC-3 | NY | OE19 | ONS-76 | OVCAR-4 | PANC-03-27 | PC-3 | PFSK-1 | RCM-1 | RD | RERF-LC-MS | RH-1 | RH-18 | RMG-I | RPMI-2650 | RT-4 | RVH-421 | RXF 393 | SAS | SBC-5 | SCC-15 | SCC-25 | SCC-4 | SCC-9 | SCH | SF-126 | SF-268 | SH-4 | SHP77 | SIMA | SK-LMS-1 | SK-LU-1 | SK-MEL-5 | SK-MEL3 | SK-MG-1 | SK-N-DZ | SK-N-FI | SK-UT-1 | SW 954 | SW1710 | SW48 | SW626 | SW684 | T-24 | T47D | T84 | TE-1 | TE-11 | TE-6 | TE-8 | TGBC24TKB | U-87 MG | UACC-257 | UACC-62 | UO-31 | VMRC-RCZ | WM-115 | no-10 | no-11,P49768 | P49810 | Q8WW43 | Q92542 | Q96BI3 | Q9NZ42
