original_drug,query_used,status,selected_cid,all_cids,error,CID,ConnectivitySMILES,SMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity
GEFITINIB,GEFITINIB,ok,123631,123631,,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,C22H24ClFN4O3,446.9,4.1,68.7,1,8,8,545.0
GEMCITABINE,GEMCITABINE,ok,60750,60750,,60750,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,C9H11F2N3O4,263.2,-1.5,108.0,3,6,2,426.0
GW441756,GW441756,ok,73755109,73755109,,73755109,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O.Cl,C17H14ClN3O,311.8,,46.9,2,2,1,461.0
JQ1,JQ1,ok,46907787,46907787,,46907787,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,C23H25ClN4O2S,457.0,4.9,97.6,0,6,5,706.0
KU-55933,KU-55933,ok,5278396,5278396,,5278396,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,C21H17NO3S2,395.5,3.9,89.4,0,6,2,643.0
LENALIDOMIDE,LENALIDOMIDE,ok,216326,216326,,216326,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,C13H13N3O3,259.26,-0.5,92.5,2,4,1,437.0
LESTAURTINIB,LESTAURTINIB,ok,126565,126565,,126565,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,C26H21N3O4,439.5,2.2,88.7,3,4,1,886.0
METHOTREXATE,METHOTREXATE,ok,126941,126941,,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C20H22N8O5,454.4,-1.8,211.0,5,12,9,704.0
MIRIN,MIRIN,ok,1206243,1206243,,1206243,C1=CC(=CC=C1C=C2C(=O)N=C(S2)N)O,C1=CC(=CC=C1/C=C\2/C(=O)N=C(S2)N)O,C10H8N2O2S,220.25,1.5,101.0,2,3,1,330.0
MK-2206,MK-2206,ok,24964624,24964624,,24964624,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,C25H21N5O,407.5,3.0,83.6,2,4,3,760.0
