drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
EHT-1864,1,stacking,ridge,1.0,-0.6458264342560631,162,41,mrna,0.6750949893515686
EHT-1864,2,stacking,ridge,1.0,0.42477328311486895,162,41,mrna,0.6013843130013329
EHT-1864,3,stacking,ridge,1.0,-0.034247538415830725,162,41,mrna,0.6249349391588757
EHT-1864,4,stacking,ridge,1.0,-0.44371197726553824,163,40,mrna,0.813312271071155
EHT-1864,5,stacking,ridge,1.0,-0.07585386724921372,163,40,mrna,0.8153262315846059
FULVESTRANT,1,stacking,ridge,1.0,-0.7776583273418582,162,41,mrna,0.35272478429579124
FULVESTRANT,2,stacking,ridge,1.0,0.21995021791610148,162,41,mrna,0.42112227980518246
FULVESTRANT,3,stacking,ridge,1.0,-0.3989885514667728,162,41,mrna,0.3514036338184866
FULVESTRANT,4,stacking,ridge,1.0,-0.030287669518870963,163,40,mrna,0.48659506159402754
FULVESTRANT,5,stacking,ridge,1.0,0.10654112793472192,163,40,mrna,0.43578908361992363
GEFITINIB,1,stacking,ridge,1.0,0.5797972651830787,162,41,mrna,0.018896611625242518
GEFITINIB,2,stacking,ridge,1.0,0.9088402067696277,162,41,mrna,-0.010928124102104588
GEFITINIB,3,stacking,ridge,1.0,0.3601309928116616,162,41,mrna,0.17768531026788612
GEFITINIB,4,stacking,ridge,1.0,0.5683387134466964,163,40,mrna,-0.09061565295715984
GEFITINIB,5,stacking,ridge,1.0,-0.3636966308864036,163,40,mrna,0.0357809713547906
GEMCITABINE,1,stacking,ridge,1.0,-0.1819163464792366,162,41,mrna,1.3409875389067003
GEMCITABINE,2,stacking,ridge,1.0,-0.10313517089984137,162,41,mrna,0.817481459500779
GEMCITABINE,3,stacking,ridge,1.0,-0.00476436867495833,162,41,mrna,1.0032048794471897
GEMCITABINE,4,stacking,ridge,1.0,0.292005649096045,163,40,mrna,0.9983659967812147
GEMCITABINE,5,stacking,ridge,1.0,-0.08728617390370408,163,40,mrna,0.7867440477172336
GW441756,1,stacking,ridge,1.0,0.08894374009622474,162,41,mrna,0.49018899307848995
GW441756,2,stacking,ridge,1.0,0.43536765455549986,162,41,mrna,0.6742437804659178
GW441756,3,stacking,ridge,1.0,-0.29078343799666584,162,41,mrna,0.47772032519247504
GW441756,4,stacking,ridge,1.0,-0.28458820600253176,163,40,mrna,0.7796159148831048
GW441756,5,stacking,ridge,1.0,-0.0008959823995327021,163,40,mrna,0.7076447394398634
JQ1,1,stacking,ridge,1.0,-0.11705756713025306,162,41,mrna,0.9313826247076634
JQ1,2,stacking,ridge,1.0,-0.09393823846849525,162,41,mrna,0.7915954808519371
JQ1,3,stacking,ridge,1.0,-0.05978369971848296,162,41,mrna,0.9393963531634467
JQ1,4,stacking,ridge,1.0,-0.09992982407641693,163,40,mrna,0.8389683935277169
JQ1,5,stacking,ridge,1.0,-0.1263613122769739,163,40,mrna,0.8259738654823555
KU-55933,1,stacking,ridge,1.0,-0.2063471160770396,162,41,mrna,0.816355218720453
KU-55933,2,stacking,ridge,1.0,-0.4893439184871786,162,41,mrna,0.7939257374307936
KU-55933,3,stacking,ridge,1.0,-0.4869584036241523,162,41,mrna,0.6062699970503586
KU-55933,4,stacking,ridge,1.0,0.02182976275817783,163,40,mrna,0.6617091081288733
KU-55933,5,stacking,ridge,1.0,0.011334563508648365,163,40,mrna,0.817690861871897
LENALIDOMIDE,1,stacking,ridge,1.0,-0.5806000472900559,162,41,mrna,0.47320633832616454
LENALIDOMIDE,2,stacking,ridge,1.0,-0.6692831966974211,162,41,mrna,0.3537590614625683
LENALIDOMIDE,3,stacking,ridge,1.0,-0.7726080281433667,162,41,mrna,0.32721679583863206
LENALIDOMIDE,4,stacking,ridge,1.0,-0.3966794490759531,163,40,mrna,0.3882621087917794
LENALIDOMIDE,5,stacking,ridge,1.0,-0.7735243048076565,163,40,mrna,0.4199041810788945
LESTAURTINIB,1,stacking,ridge,1.0,0.09559945241138268,162,41,mrna,1.032337979568573
LESTAURTINIB,2,stacking,ridge,1.0,0.07175058126757405,162,41,mrna,1.0384744617297714
LESTAURTINIB,3,stacking,ridge,1.0,0.06375168185721791,162,41,mrna,0.9507961476583504
LESTAURTINIB,4,stacking,ridge,1.0,0.07793728525643262,163,40,mrna,0.9544429902530602
LESTAURTINIB,5,stacking,ridge,1.0,0.09835039685608082,163,40,mrna,0.7316377263222598
METHOTREXATE,1,stacking,ridge,1.0,0.10307950438701463,162,41,mrna,0.8345643352493917
METHOTREXATE,2,stacking,ridge,1.0,0.05440190187733296,162,41,mrna,0.7082137173149896
METHOTREXATE,3,stacking,ridge,1.0,0.0504408112490361,162,41,mrna,1.0152669155516878
METHOTREXATE,4,stacking,ridge,1.0,0.05694657363445599,163,40,mrna,0.8492018068466095
METHOTREXATE,5,stacking,ridge,1.0,0.05021401315459095,163,40,mrna,0.7055027636270617
MIRIN,1,stacking,ridge,1.0,-0.025313303335245507,162,41,mrna,0.8059328297641728
MIRIN,2,stacking,ridge,1.0,-0.008475771372387086,162,41,mrna,0.6974357851597938
MIRIN,3,stacking,ridge,1.0,-0.6538504040156559,162,41,mrna,0.8592702978117147
MIRIN,4,stacking,ridge,1.0,-0.2692360991321143,163,40,mrna,0.7088297844783426
MIRIN,5,stacking,ridge,1.0,0.031680506881954784,163,40,mrna,0.9104679235967528
MK-2206,1,stacking,ridge,1.0,-0.4474725131833519,162,41,mrna,0.26920114551486474
MK-2206,2,stacking,ridge,1.0,-0.9278760502063861,162,41,mrna,0.3090434577017931
MK-2206,3,stacking,ridge,1.0,-0.9175588308283162,162,41,mrna,0.4542227350535995
MK-2206,4,stacking,ridge,1.0,-0.44661180993804184,163,40,mrna,0.4661021432534553
