drug,fold,blend,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean
AFATINIB,1,stacking,1.0564954984503159,0.03414464103461201,0.3101045296167248,0.20390798903100574,1.0453490140310315,0.05441751360041924
AFATINIB,2,stacking,1.115880810876519,0.12030872636883971,0.43153310104529624,0.37424407459453046,1.1250556630158117,0.10578348745600297
AFATINIB,3,stacking,1.0245435497699842,0.06555905283021823,0.35121951219512204,0.25780397931516236,1.0215170167330105,0.07107163299745423
AFATINIB,4,stacking,1.0839387333049537,0.024877379526618393,0.23208255159474675,0.18844223409412875,1.0367265404000614,0.10797260253349805
AFATINIB,5,stacking,1.2787887518383496,-0.08482685627183484,0.19493433395872423,0.0735571886143997,1.247550342356364,-0.03247363977986506
AVAGACESTAT,1,stacking,0.6343289689049543,0.3184299527919875,0.610452961672474,0.6263847795921007,0.6146486040305188,0.3600659711663523
AVAGACESTAT,2,stacking,0.5491644100132193,0.48124775852526025,0.6912891986062719,0.7016815326800842,0.5542316355770986,0.47163037625598037
AVAGACESTAT,3,stacking,0.5905425668625753,0.29633873515648335,0.6486062717770036,0.6530286535925902,0.5458958848809848,0.39871430647693684
AVAGACESTAT,4,stacking,0.5497468766989655,0.45806489693367736,0.6898686679174485,0.679458423149105,0.5394469557843042,0.4781817852573441
AVAGACESTAT,5,stacking,0.6936653461604668,0.39471848105459684,0.625140712945591,0.645016782166827,0.7075793748327454,0.37019261795564806
AXITINIB,1,stacking,0.9908892209193095,0.48881761796027245,0.7961672473867597,0.7215335834835411,0.9998823089485501,0.4794967590311463
AXITINIB,2,stacking,1.119593281347119,0.34837275527120726,0.5837979094076656,0.6100129530238294,1.0990519542855102,0.37206438997998614
AXITINIB,3,stacking,1.2514163059751011,-0.02494076295409453,0.5733449477351917,0.5570628964102735,1.0503283770120717,0.27798645516836007
AXITINIB,4,stacking,0.9860924846724834,0.49474672297904554,0.7380863039399626,0.7335091835604319,1.011719776752859,0.4681436850227272
AXITINIB,5,stacking,1.2651801673432184,0.421173285458158,0.6581613508442777,0.6926576135743931,1.287629803363226,0.4004493797504617
AZD4547,1,stacking,0.7049164581176502,0.26110206512220646,0.588850174216028,0.576668734572707,0.7011319953569334,0.26901456424870485
AZD4547,2,stacking,0.9636592078083297,0.07775634816459465,0.48588850174216036,0.45218420805271653,0.8868701020220773,0.21887821142627717
AZD4547,3,stacking,0.7421470256068872,0.4121905947405108,0.6583623693379792,0.6502179172014911,0.7769224351857253,0.35581300371221725
AZD4547,4,stacking,1.0249129727287758,0.3117110543364575,0.6684803001876173,0.5956376507830587,1.0532144110145314,0.2731740913075159
AZD4547,5,stacking,0.8836860489094206,0.14730529988911267,0.5251407129455912,0.4633879251792255,0.8483995623565043,0.21404363040496888
AZD6738,1,stacking,1.021555162838781,0.4207587509852567,0.6374564459930315,0.6805816023155352,1.049140118122244,0.38905400242175703
AZD6738,2,stacking,0.9565522839709988,0.41882022155194676,0.6503484320557492,0.6600161649847537,0.9778868778716318,0.3926062680163366
AZD6738,3,stacking,1.207031276990769,0.25195478493741474,0.610452961672474,0.6899217283564693,1.1445412105608122,0.327404943785889
AZD6738,4,stacking,1.0610710769767235,0.3684992268123236,0.6343339587242027,0.6303836536898499,1.0612273424671683,0.36831320902956655
AZD6738,5,stacking,1.1154547671467552,0.3413937700583607,0.627016885553471,0.5875222308684617,1.0661182740572888,0.3983655700386215
AZD7762,1,stacking,1.2131737810677992,0.4571891579399612,0.7895470383275264,0.7465963258945871,1.236299901906142,0.4362972525552756
