drug,blend,meta,alpha,intercept,n,w_mrna,w_cnv,w_meth,w_mirna
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,0.4234570626754886,0.23726680487220794,-0.037490536918219075,0.40048579590223565
AVAGACESTAT,stacking,ridge,1.0,-0.3169836678308444,203,0.47921110899571073,0.04187124151564979,0.2847427067562308,0.27034015528349353
AXITINIB,stacking,ridge,1.0,-0.4008654318564324,203,0.4505533600162489,0.1671293984677481,0.4741614153058506,0.10022303857097736
AZD4547,stacking,ridge,1.0,-0.380056095762654,203,0.35425318318860016,-0.026752794605695504,0.2892137499391004,0.5504760125807889
AZD6738,stacking,ridge,1.0,-0.1670592975956129,203,0.6405551905523363,0.45180858432721965,-0.24745454636297734,0.26547742051533324
AZD7762,stacking,ridge,1.0,0.05977998121164729,203,0.6618092971817026,0.1940604136532628,0.03568346890533806,0.2311621853792052
AZD8186,stacking,ridge,1.0,-0.1776452583384147,203,0.8966339731737558,0.3115154826202859,0.12612933192319165,-0.26128409215181453
BMS-536924,stacking,ridge,1.0,-0.8617750820864318,203,0.3740265440240498,0.46327386815539556,0.1317378663689064,0.4683153417804909
BOSUTINIB,stacking,ridge,1.0,-0.1906339206273755,203,0.7837267614742458,0.10419256373620879,0.18043979288700218,0.035004122883792885
CCT007093,stacking,ridge,1.0,-0.9201894887416566,203,0.4538694867627732,0.18905718341357072,0.42754800265193404,0.13686757193529822
DACTOLISIB,stacking,ridge,1.0,0.12860720267325165,203,0.7634192681053786,0.07632060358662433,0.007344298006171399,0.21743119926972135
DOCETAXEL,stacking,ridge,1.0,1.2214954918498226,203,0.3050304709807925,0.5078274303481876,0.2668475998979786,0.2558484178974916
DORAMAPIMOD,stacking,ridge,1.0,0.9363098920816695,203,0.7360338316621644,-0.40829130167164973,0.20749119001203267,0.25372389313550126
EHT-1864,stacking,ridge,1.0,-0.130761447098374,203,0.7199481851324715,0.11662341642843442,0.01343919610393905,0.19074220376599657
FULVESTRANT,stacking,ridge,1.0,-0.11211436925888973,203,0.41778818987928606,0.20639082795362487,0.060259038796947564,0.34741304286522595
GEFITINIB,stacking,ridge,1.0,0.4409096267886703,203,0.02380826178733708,-0.11330616295033497,0.45220773627952926,0.44008565985944276
GEMCITABINE,stacking,ridge,1.0,-0.025347771787103124,203,0.9812517367290211,0.044110670367849894,0.07491246320228848,-0.09734901217611171
GW441756,stacking,ridge,1.0,0.030750837288497035,203,0.6296001380627245,0.3783174605177215,-0.2853546707190139,0.26137271519842825
JQ1,stacking,ridge,1.0,-0.10043052084542248,203,0.8710647050713255,-0.020620176225195512,-0.042000138219804445,0.3021392402107928
KU-55933,stacking,ridge,1.0,-0.22443614819208868,203,0.7516870759761133,0.018660614730066662,0.33268783619726094,-0.04974269673668723
LENALIDOMIDE,stacking,ridge,1.0,-0.631476138758476,203,0.39841791330158205,0.19118666889632244,0.1361559605171079,0.4235232304644937
LESTAURTINIB,stacking,ridge,1.0,0.08289364652739206,203,0.9453112020465191,0.14710616147420186,0.20924365184313173,-0.25019927896424227
METHOTREXATE,stacking,ridge,1.0,0.05064077270512357,203,0.8246223121018259,-0.05444747729905106,0.3304644750912261,-0.034268622047871275
MIRIN,stacking,ridge,1.0,-0.15238966007720034,203,0.806483551630404,0.30665139926708723,-0.39725662095274,0.31700479070161425
MK-2206,stacking,ridge,1.0,-0.683345339908487,203,0.3419039427096784,0.45895915948516214,-0.016995148929596228,0.577949907385371
MOTESANIB,stacking,ridge,1.0,-1.1179431777919437,203,0.5206009657810129,0.2645823197934361,0.2040244068521257,0.2990645206424112
NAVITOCLAX,stacking,ridge,1.0,-0.030381617459787513,203,0.9382998146724834,0.3978073193423317,-0.005038787156602892,-0.2585983520434417
NU7441,stacking,ridge,1.0,-0.49322160443557284,203,0.4424975186683822,0.21603027161045896,0.4712731071981218,0.06647946637273645
NUTLIN-3A (-),stacking,ridge,1.0,0.2145349351483481,203,0.848619100164183,0.23150219813921283,0.20486267050503426,-0.33380530427492316
OLAPARIB,stacking,ridge,1.0,-0.39136908074983046,203,0.4707189433632717,0.3865015103823246,0.45195967599932446,-0.1960644513516816
PALBOCICLIB,stacking,ridge,1.0,-0.08493490290872696,203,1.0650183265907032,0.08253204881363255,-0.07742206928999927,-0.036107610988056836
PD0325901,stacking,ridge,1.0,-0.02207937154754791,203,0.5938713827477633,-0.046209654239700255,0.1587244941281429,0.38234856090892005
PD173074,stacking,ridge,1.0,-0.2566921016204198,203,0.7248900767007678,0.06633130896921775,0.0872612778559688,0.20946532252314556
PEVONEDISTAT,stacking,ridge,1.0,0.014567907009171044,203,0.8742190984434378,0.3181667461968165,-0.3214641925990091,0.11013928757751973
PFI-1,stacking,ridge,1.0,0.11782524423707263,203,0.9696048796886814,0.09629674572698194,0.024992480486344885,-0.12615198033835476
PICTILISIB,stacking,ridge,1.0,0.1551561010536916,203,0.6499868328792696,0.12877415064466846,0.26766014937835303,-0.18679519098545044
PLX-4720,stacking,ridge,1.0,-0.7762579055025629,203,0.7219718285235943,0.4393513517085633,-0.23243305641176726,0.26914492486548286
REFAMETINIB,stacking,ridge,1.0,-0.09730846641138235,203,0.5285317625419022,0.09341391610059675,0.15729797845999338,0.29502405832292716
RO-3306,stacking,ridge,1.0,-0.132559462743699,203,0.7971757185310715,-0.13327619923367473,-0.013245369582288856,0.3887805347776227
RUCAPARIB,stacking,ridge,1.0,-0.3344370468442741,203,0.4710367587020402,0.5516618156965348,0.09016475279427598,-0.01845879101446761
SB216763,stacking,ridge,1.0,0.1781154873722599,203,0.9641907459948645,0.059207899046162554,-0.02083202579090914,-0.036496063872809896
SB590885,stacking,ridge,1.0,-0.3156128823404427,203,0.5551351527180494,-0.06696188171392338,0.29806604081364185,0.293175646659411
SELUMETINIB,stacking,ridge,1.0,-0.34116343371626145,203,0.6344660339050961,-0.021109653993108643,0.2509521836467222,0.25107269226028495
SERDEMETAN,stacking,ridge,1.0,-0.5212122634447489,203,0.542032664588549,0.031122419485330344,0.07114133500945012,0.5257058512127747
SGC0946,stacking,ridge,1.0,-0.10713623158575913,203,0.8406422162167029,0.24679151462241328,-0.009247138018453845,-0.012551500082613607
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,0.9037445298888888,-0.02367651109245794,0.23244710884450476,-0.2527201858596685
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,0.5665284656499782,-0.1641527175562626,0.562598685427671,-0.7370157427115331
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,0.6474795660798257,0.09506953989937474,0.12724937168347436,0.16574550486125525
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,0.819536475088185,-0.03628142836977328,0.10484459484651747,-0.22202590456260643
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,0.7126483387704579,0.13149268255637436,0.3096330042592851,-0.10481552776899555
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,0.7202027612789224,-0.300195773337467,0.044056087812183134,0.3405686016210403
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,0.7482704116167366,-0.16044481811994082,0.243622862724952,0.1414057745961244
