drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
MOTESANIB,5,stacking,ridge,1.0,-0.9295837784030136,163,40,0.7893437603181507,0.15333755029339496,0.04234391977629551,0.26685540195806734,MOTESANIB|fold5
NAVITOCLAX,1,stacking,ridge,1.0,-0.0025841387162881535,162,41,1.0538360744660458,0.2820271866527957,-0.07196229639242789,-0.1838606691689558,NAVITOCLAX|fold1
NAVITOCLAX,2,stacking,ridge,1.0,0.04884803050179043,162,41,0.8881057113636484,0.49576862273823935,0.028877851373931153,-0.4137107692642145,NAVITOCLAX|fold2
NAVITOCLAX,3,stacking,ridge,1.0,-0.14658404356888388,162,41,0.9400224152459952,0.4371107647089166,-0.035367152497806524,-0.22244361071010185,NAVITOCLAX|fold3
NAVITOCLAX,4,stacking,ridge,1.0,-0.12833778590103773,163,40,0.8512257724268601,0.46577732019792734,0.04277336150032878,-0.20537011246978176,NAVITOCLAX|fold4
NAVITOCLAX,5,stacking,ridge,1.0,0.062085645156347624,163,40,0.9425078801840954,0.30095661650312167,0.054364524085627065,-0.2791778733103728,NAVITOCLAX|fold5
NU7441,1,stacking,ridge,1.0,-0.4760398608084815,162,41,0.5047087602316556,0.15867489043424626,0.4513150026368093,0.07759730370910835,NU7441|fold1
NU7441,2,stacking,ridge,1.0,-0.42493596818705726,162,41,0.420395294546867,0.19283523790585136,0.36986772382335587,0.18295569985790855,NU7441|fold2
NU7441,3,stacking,ridge,1.0,-0.4726872694132105,162,41,0.5233613411415476,0.22198532075379573,0.41699695834744377,0.018927485550809375,NU7441|fold3
NU7441,4,stacking,ridge,1.0,-0.5784796917506521,163,40,0.4431543658066633,0.26618854499460515,0.5377384707088727,-0.007008761554908108,NU7441|fold4
NU7441,5,stacking,ridge,1.0,-0.5589211456959151,163,40,0.30885480156968204,0.2514478286297203,0.5508561013376353,0.10803248196747792,NU7441|fold5
NUTLIN-3A (-),1,stacking,ridge,1.0,0.193800813578338,162,41,0.9543190058448696,0.23549826909944047,0.11202882762041026,-0.34145759379623425,NUTLIN-3A (-)|fold1
NUTLIN-3A (-),2,stacking,ridge,1.0,0.40332970828015036,162,41,0.829746131161884,0.2143026987622765,0.21380562804589026,-0.3471345020290881,NUTLIN-3A (-)|fold2
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.09351400107593788,162,41,0.7853627970017453,0.26908933187571926,0.2504032247530507,-0.29373504850089915,NUTLIN-3A (-)|fold3
NUTLIN-3A (-),4,stacking,ridge,1.0,0.0291849212619244,163,40,0.8403495001866219,0.254099028430332,0.17774604090142793,-0.27896739691117584,NUTLIN-3A (-)|fold4
NUTLIN-3A (-),5,stacking,ridge,1.0,0.42344697006203535,163,40,0.7833989325539917,0.21744413094474493,0.2951756198107037,-0.38635277369404997,NUTLIN-3A (-)|fold5
OLAPARIB,1,stacking,ridge,1.0,-0.71023560752309,162,41,0.45499722602218423,0.3655113453986606,0.36263001451875915,0.034114080677391766,OLAPARIB|fold1
OLAPARIB,2,stacking,ridge,1.0,0.018596646095064617,162,41,0.581041393815663,0.3126157915248041,0.5074747031415041,-0.4122340252418054,OLAPARIB|fold2
OLAPARIB,3,stacking,ridge,1.0,-0.33548619771104216,162,41,0.4578434381169744,0.3211746257452102,0.4292888056155386,-0.11650596127200907,OLAPARIB|fold3
OLAPARIB,4,stacking,ridge,1.0,-0.5537666470595823,163,40,0.538839541925743,0.39658055528647806,0.37096957776448414,-0.15199682431451952,OLAPARIB|fold4
OLAPARIB,5,stacking,ridge,1.0,-0.3073862549418602,163,40,0.28702446751310406,0.5628819781613895,0.5723915559593207,-0.32339687858132604,OLAPARIB|fold5
PALBOCICLIB,1,stacking,ridge,1.0,-0.2048077911685704,162,41,1.119837467048199,-0.05639784356809119,0.05355363854790401,-0.014143261882945403,PALBOCICLIB|fold1
PALBOCICLIB,2,stacking,ridge,1.0,-0.308537129315857,162,41,1.0999182602000717,0.17455549019191133,-0.11079901572139275,-0.0339137249816553,PALBOCICLIB|fold2
PALBOCICLIB,3,stacking,ridge,1.0,-0.01581875264783994,162,41,1.0191340251262608,0.09008433325679112,-0.12547951958000192,0.010824726888013007,PALBOCICLIB|fold3
PALBOCICLIB,4,stacking,ridge,1.0,0.038200584034015606,163,40,1.0550034980503296,0.14659206237213113,-0.16810155454268647,-0.05356567578754644,PALBOCICLIB|fold4
PALBOCICLIB,5,stacking,ridge,1.0,0.0071319967579408505,163,40,1.0036938480080781,0.08700071746481614,-0.03342921015646168,-0.0627941054391132,PALBOCICLIB|fold5
PD0325901,1,stacking,ridge,1.0,0.0506947954412883,162,41,0.6121463214511025,-0.08501560474464977,0.08244989025832263,0.3592156018410271,PD0325901|fold1
PD0325901,2,stacking,ridge,1.0,-0.14894328950188707,162,41,0.7191230189022974,-0.10278943852296851,0.23295414253021784,0.2656850669519258,PD0325901|fold2
PD0325901,3,stacking,ridge,1.0,0.042047084459102435,162,41,0.49835096380817473,0.04191808434238365,0.21441257206458106,0.35608091940996467,PD0325901|fold3
PD0325901,4,stacking,ridge,1.0,0.032040848205808437,163,40,0.5000755135037603,-0.09779005835411224,0.20360312460955332,0.418802075235742,PD0325901|fold4
PD0325901,5,stacking,ridge,1.0,-0.10334125884826384,163,40,0.7129719519374393,-0.03962636353830861,0.04346033552068867,0.5193314835888827,PD0325901|fold5
PD173074,1,stacking,ridge,1.0,-0.43039631898216246,162,41,0.7587604308686139,0.10384142435011699,0.13979760122890145,0.14936027256165849,PD173074|fold1
PD173074,2,stacking,ridge,1.0,-0.463717884531309,162,41,0.7420113531544351,0.1261898300093145,0.19157096830610962,0.10104491649262254,PD173074|fold2
PD173074,3,stacking,ridge,1.0,-0.25726660030980364,162,41,0.7392582709921137,0.03000943490349694,0.14188579533930853,0.16575471356114438,PD173074|fold3
PD173074,4,stacking,ridge,1.0,-0.06491393169257842,163,40,0.7378149672549584,-0.03522464952437474,0.013197961632325388,0.3124097856370986,PD173074|fold4
