omics,n_rows,n_nonnull,mean_weight,mean_abs_weight,median_weight,median_abs_weight,std_weight,min_weight,max_weight,n_positive,n_negative,n_zero
mrna,57,57,0.659093121816375,0.659093121816375,0.6869696730005515,0.6869696730005515,0.21050959667619548,0.02380826178733708,1.0650183265907032,57,0,0
mirna,57,57,0.14270895713608,0.25549668723893365,0.20946532252314556,0.25372389313550126,0.2668485031370392,-0.7370157427115331,0.577949907385371,39,18,0
cnv,57,57,0.11898401950352196,0.18747552758024486,0.09629674572698194,0.14710616147420186,0.20915679554728223,-0.40829130167164973,0.5516618156965348,42,15,0
meth,57,57,0.12731544020342503,0.18718331041224542,0.12724937168347436,0.16928350941572007,0.20012524611654472,-0.39725662095274,0.562598685427671,44,13,0
