drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
AFATINIB,1,stacking,ridge,1.0,-0.1288170659704042,162,41,0.46179498705822714,0.3769823770874288,-0.18308836452557595,0.42037855573350724,AFATINIB|fold1
AFATINIB,2,stacking,ridge,1.0,0.08993282250646906,162,41,0.44707810462933645,0.2450020808713189,-0.04021137877182463,0.3026348575485556,AFATINIB|fold2
AFATINIB,3,stacking,ridge,1.0,0.3053099585430048,162,41,0.5149409836321708,0.005586497585565222,-0.11673703976653253,0.41730770563136194,AFATINIB|fold3
AFATINIB,4,stacking,ridge,1.0,0.2017909246496925,163,40,0.585444445264162,-0.022212118231126926,-0.27080152676208985,0.5866583730339119,AFATINIB|fold4
AFATINIB,5,stacking,ridge,1.0,-0.14048847095811468,163,40,0.48402095960362895,0.2327370646652865,0.1024401507605997,0.29250898397242747,AFATINIB|fold5
AVAGACESTAT,1,stacking,ridge,1.0,-0.4943156806826208,162,41,0.6352140297282766,0.2526058646258673,0.11911925026596525,0.12002463258553217,AVAGACESTAT|fold1
AVAGACESTAT,2,stacking,ridge,1.0,-0.041416175288915724,162,41,0.5481553653499502,-0.0034918179479904725,0.12726206372049353,0.34034070666266836,AVAGACESTAT|fold2
AVAGACESTAT,3,stacking,ridge,1.0,-0.5746921258647344,162,41,0.6797419997763093,-0.02305018832790997,0.35606448489578174,0.11282228620085964,AVAGACESTAT|fold3
AVAGACESTAT,4,stacking,ridge,1.0,-0.11258650097559286,163,40,0.640826739750404,-0.0039392673837002675,0.10058721902574609,0.2879560211146967,AVAGACESTAT|fold4
AVAGACESTAT,5,stacking,ridge,1.0,0.03765912266021587,163,40,0.5566123349060699,0.044002728894543416,0.1394084778756932,0.2523072737956474,AVAGACESTAT|fold5
AXITINIB,1,stacking,ridge,1.0,-0.35243982884805813,162,41,0.3614983998486144,0.20305114402907437,0.5942425826501893,0.019043200177654734,AXITINIB|fold1
AXITINIB,2,stacking,ridge,1.0,-0.553997464345954,162,41,0.4506533821313179,0.20891217191519323,0.5693846080795351,0.006686412702218425,AXITINIB|fold2
AXITINIB,3,stacking,ridge,1.0,-0.8632900309055414,162,41,0.37069200611990255,0.09559724175233894,0.5448016446434815,0.3449372434698775,AXITINIB|fold3
AXITINIB,4,stacking,ridge,1.0,-0.4871004380002475,163,40,0.16414212980078194,0.38655772220768375,0.5732134340519985,0.12252173499723767,AXITINIB|fold4
AXITINIB,5,stacking,ridge,1.0,-0.3271752205023226,163,40,0.31215779428335083,0.16524077372194104,0.5897884659924687,0.11374487123702287,AXITINIB|fold5
AZD4547,1,stacking,ridge,1.0,-0.5670056739839495,162,41,0.4990285890392032,0.13608384781852081,0.175458750581991,0.4507510053713804,AZD4547|fold1
AZD4547,2,stacking,ridge,1.0,-0.5647369353846305,162,41,0.37412430624093695,-0.05012292402003335,0.09014462888286927,0.7999003395938051,AZD4547|fold2
AZD4547,3,stacking,ridge,1.0,-0.35575293526201435,162,41,0.42738781207297966,0.1690139709777639,0.0023715862302979176,0.5581290496770237,AZD4547|fold3
AZD4547,4,stacking,ridge,1.0,-0.24965571681278176,163,40,0.3270673604730971,0.16480698250796727,0.2750221421419771,0.3393361355418287,AZD4547|fold4
AZD4547,5,stacking,ridge,1.0,-0.523465795036957,163,40,0.3758836485537607,0.01981352934067044,0.25796839830667667,0.5862627872434154,AZD4547|fold5
AZD6738,1,stacking,ridge,1.0,-0.06692245699602095,162,41,0.40801139321113583,0.4572800183532992,-0.10860329670741767,0.3311540852634738,AZD6738|fold1
AZD6738,2,stacking,ridge,1.0,-0.2175662362581401,162,41,0.30539591139830824,0.5680395784295276,-0.09730051129090092,0.3812004068338235,AZD6738|fold2
AZD6738,3,stacking,ridge,1.0,-0.5548508364112759,162,41,0.37038799085101287,0.3908722281811072,0.06858903102881744,0.4376009091338603,AZD6738|fold3
AZD6738,4,stacking,ridge,1.0,-0.12503538605941023,163,40,0.446048945217554,0.5452110562570666,-0.14778544101135122,0.2725303384275169,AZD6738|fold4
AZD6738,5,stacking,ridge,1.0,-0.1851406727553193,163,40,0.4408232965090673,0.29480855215616103,-0.04878599514875554,0.433263662448867,AZD6738|fold5
AZD7762,1,stacking,ridge,1.0,0.11223204739258175,162,41,0.36036372532055116,0.19596595231149203,0.3160511873015203,0.20844345970932424,AZD7762|fold1
AZD7762,2,stacking,ridge,1.0,0.06016497067775928,162,41,0.4920721998133849,0.3113860706213933,0.06641049131749441,0.2422363164689237,AZD7762|fold2
AZD7762,3,stacking,ridge,1.0,0.08554880861106151,162,41,0.6521306531790122,0.1005527784580484,0.0789552123721229,0.41352935351471576,AZD7762|fold3
