drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
EHT-1864,1,stacking,ridge,1.0,-0.022410602462511697,162,41,mrna,0.9059980125487997
EHT-1864,2,stacking,ridge,1.0,0.8757669188238473,162,41,mrna,0.7709016179817069
EHT-1864,3,stacking,ridge,1.0,0.3635856800854169,162,41,mrna,0.6580717505249776
EHT-1864,4,stacking,ridge,1.0,-0.019808881356651042,163,40,mrna,0.915353128277342
EHT-1864,5,stacking,ridge,1.0,0.2749510700652147,163,40,mrna,0.893938394673638
FULVESTRANT,1,stacking,ridge,1.0,-0.8727980629590544,162,41,mrna,0.32748326441109726
FULVESTRANT,2,stacking,ridge,1.0,0.38728240002786674,162,41,mrna,0.3183877704311416
FULVESTRANT,3,stacking,ridge,1.0,-0.37253305084066923,162,41,mrna,0.33510283978631067
FULVESTRANT,4,stacking,ridge,1.0,-0.16445327863854464,163,40,mrna,0.39150311006231375
FULVESTRANT,5,stacking,ridge,1.0,0.15682684379942735,163,40,mrna,0.3140056302719066
GEFITINIB,1,stacking,ridge,1.0,0.41149747518012836,162,41,mrna,0.008293120516255203
GEFITINIB,2,stacking,ridge,1.0,0.8709729024294819,162,41,mrna,-0.1456748909092553
GEFITINIB,3,stacking,ridge,1.0,0.4296256428883445,162,41,mrna,0.08105376499719152
GEFITINIB,4,stacking,ridge,1.0,0.45722197561916,163,40,mrna,-0.15425022794057083
GEFITINIB,5,stacking,ridge,1.0,-0.4136559750729596,163,40,mrna,-0.15160676738596407
GEMCITABINE,1,stacking,ridge,1.0,0.09261404927020411,162,41,mrna,1.1842361516120685
GEMCITABINE,2,stacking,ridge,1.0,-0.04894719033414896,162,41,mrna,0.8781961300720191
GEMCITABINE,3,stacking,ridge,1.0,0.07242059713231574,162,41,mrna,1.0453693066973189
GEMCITABINE,4,stacking,ridge,1.0,0.3573568486914196,163,40,mrna,1.2034032471107838
GEMCITABINE,5,stacking,ridge,1.0,-0.03469248277230008,163,40,mrna,0.8914138400637647
GW441756,1,stacking,ridge,1.0,-0.19134948915936434,162,41,mrna,0.4273806101902189
GW441756,2,stacking,ridge,1.0,0.3567676378943303,162,41,mrna,0.6917542271399472
GW441756,3,stacking,ridge,1.0,-0.344328572975686,162,41,mrna,0.48716893383211074
GW441756,4,stacking,ridge,1.0,-0.44719705349693184,163,40,mrna,0.5195295652517473
GW441756,5,stacking,ridge,1.0,-0.05297859547406869,163,40,mrna,0.6686637958233473
JQ1,1,stacking,ridge,1.0,-0.10820562777413079,162,41,mrna,0.7119073364577443
JQ1,2,stacking,ridge,1.0,-0.07235647640792753,162,41,mrna,0.6754628305270222
JQ1,3,stacking,ridge,1.0,-0.061139653166984775,162,41,mrna,0.7813296202801391
JQ1,4,stacking,ridge,1.0,-0.09126433688111579,163,40,mrna,0.6415396346034505
JQ1,5,stacking,ridge,1.0,-0.0966559975360054,163,40,mrna,0.6902594010221297
KU-55933,1,stacking,ridge,1.0,-0.28934992990136,162,41,mrna,0.4306448319535634
KU-55933,2,stacking,ridge,1.0,-0.6999980148278055,162,41,mrna,0.35070349564205827
KU-55933,3,stacking,ridge,1.0,-0.6359352530589755,162,41,mrna,0.2186694812657053
KU-55933,4,stacking,ridge,1.0,-0.0957454534331168,163,40,mrna,0.30799025704285954
KU-55933,5,stacking,ridge,1.0,-0.2908246771578247,163,40,mrna,0.35455769430479545
LENALIDOMIDE,1,stacking,ridge,1.0,-0.49548140566900667,162,41,mrna,0.17902894099567498
LENALIDOMIDE,2,stacking,ridge,1.0,-0.6471635350224876,162,41,mrna,0.2545046594645326
LENALIDOMIDE,3,stacking,ridge,1.0,-0.9151001135648951,162,41,mrna,0.18929018856621255
LENALIDOMIDE,4,stacking,ridge,1.0,-0.43880687932584816,163,40,mrna,0.23761749119791095
LENALIDOMIDE,5,stacking,ridge,1.0,-0.9890189423116142,163,40,mrna,0.2022271368027238
LESTAURTINIB,1,stacking,ridge,1.0,0.09707907039500907,162,41,mrna,0.7354463634897385
LESTAURTINIB,2,stacking,ridge,1.0,0.07933615528628102,162,41,mrna,0.6833162648074893
LESTAURTINIB,3,stacking,ridge,1.0,0.06711826565407308,162,41,mrna,0.6905332839073752
LESTAURTINIB,4,stacking,ridge,1.0,0.09460030339265613,163,40,mrna,0.6665536836375353
LESTAURTINIB,5,stacking,ridge,1.0,0.08380325029832048,163,40,mrna,0.6830344319599871
METHOTREXATE,1,stacking,ridge,1.0,0.1485504793615514,162,41,mrna,0.3232938926554861
