feature,n_improve,n_worsen,n_nonmissing_total,coverage_rate_total,mean_improve,mean_worsen,median_improve,median_worsen,mean_diff_improve_minus_worsen,median_diff_improve_minus_worsen,cohen_d_improve_minus_worsen,abs_cohen_d,effect_direction,pvalue,single_feature_auc_abs,fdr_bh,minus_log10_p,lodo_runs_evaluable,lodo_median_effect,lodo_min_effect,lodo_max_effect,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,thresholds_evaluable,threshold_median_effect,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction,consensus_score
kd_best_pchembl,13,11,24,0.6666666666666666,8.833076923076923,7.540909090909093,9.12,7.4,1.2921678321678307,1.7199999999999989,1.1055303939566603,1.1055303939566603,higher_in_improve,0.012728682084519901,0.8041958041958042,0.4569792920821222,1.8952165604508675,36.0,1.1055303939566603,0.992433294905981,1.5559792353242774,higher_in_improve,1.0,1.0,3,1.1055303939566603,1.0,0.6666666666666666,0.0,higher_in_improve,6.098961315281015
Z_SCORE_abs_mean,20,16,36,1.0,0.787756461204584,0.8050194381402995,0.7942885214712221,0.8156331979323612,-0.017262976935715546,-0.021344676461139134,-0.6878632328516743,0.6878632328516743,higher_in_worsen,0.024805471018605443,0.721875,0.4569792920821222,1.6054525219501479,36.0,-0.6806127049005835,-0.9105793681684833,-0.6104946505396227,higher_in_worsen,1.0,1.0,3,-0.7224020318784378,1.0,0.6666666666666666,0.0,higher_in_worsen,6.057303674638756
black_box_warning,20,16,36,1.0,0.05,0.3125,0.0,0.0,-0.2625,0.0,-0.7307354917987486,0.7307354917987486,higher_in_worsen,0.040758575408561946,0.63125,0.4569792920821222,1.389781003836677,36.0,-0.7129058766488028,-0.9682458365518543,-0.6316067119866677,higher_in_worsen,1.0,0.8611111111111112,3,-0.5203673901352212,1.0,0.3333333333333333,0.0,higher_in_worsen,6.021489118849061
aromatic_rings,20,16,36,1.0,3.1,2.5,3.0,3.0,0.6000000000000001,0.0,0.5690426379538919,0.5690426379538919,higher_in_improve,0.09990901237490618,0.653125,0.5693586380922451,1.0003953341148448,36.0,0.5656083179981112,0.47765876390666373,0.7088325676932152,higher_in_improve,1.0,0.05555555555555555,3,0.40818068165284177,1.0,0.0,0.0,higher_in_improve,5.916625728465419
ic50_best_pchembl,19,15,34,0.9444444444444444,9.102105263157895,8.162666666666668,9.5,8.7,0.9394385964912271,0.8000000000000007,0.5922071987358397,0.5922071987358397,higher_in_improve,0.04569792920821222,0.7035087719298245,0.4569792920821222,1.340103479444873,36.0,0.5776326279458941,0.4735437306915982,0.820386906375277,higher_in_improve,1.0,0.4166666666666667,3,0.5922071987358397,1.0,0.6666666666666666,0.0,higher_in_improve,5.916231422443692
Z_SCORE_mean,20,16,36,1.0,0.032075954078274585,0.05016153899973491,0.04119757962256309,0.04843289881210297,-0.018085584921460326,-0.007235319189539881,-0.5746632639235498,0.5746632639235498,higher_in_worsen,0.1565736254753674,0.640625,0.5693586380922451,0.8052813921834702,36.0,-0.5807953421087722,-0.7012496071684461,-0.4868002553898213,higher_in_worsen,1.0,0.0,3,-0.5746632639235498,1.0,0.0,0.0,higher_in_worsen,5.911466197942662
TCGA_entropy,20,16,36,1.0,4.428018169497433,4.4252768063178,4.428528568367407,4.4261881158905565,0.0027413631796324722,0.002340452476850885,0.543573707785634,0.543573707785634,higher_in_improve,0.1564669504877465,0.640625,0.5693586380922451,0.8055773816738524,36.0,0.5325508284821752,0.3966413626231831,0.6801301041907334,higher_in_improve,1.0,0.0,3,0.6046397566939747,1.0,0.0,0.0,higher_in_improve,5.888149030839226
best_pchembl,19,15,34,0.9444444444444444,9.249473684210527,8.391333333333334,9.89,8.7,0.8581403508771928,1.1900000000000013,0.5103920456851365,0.5103920456851365,higher_in_improve,0.09563785863486472,0.6701754385964912,0.5693586380922451,1.019370156452888,36.0,0.4946987321815337,0.3857933539009634,0.7210072811198558,higher_in_improve,1.0,0.05555555555555555,3,0.5103920456851365,1.0,0.3333333333333333,0.0,higher_in_improve,5.829870057655665
act_pchembl_std,17,15,32,0.8888888888888888,1.1697852800598925,1.0055509257805972,1.1860817076318855,0.9682545358947443,0.16423435427929522,0.21782717173714117,0.5633752229133311,0.5633752229133311,higher_in_improve,0.13091338451881496,0.6588235294117647,0.5693586380922451,0.8830159491291212,36.0,0.5633752229133311,0.44498418878156876,0.7515748637257783,higher_in_improve,1.0,0.0,3,0.5633752229133311,1.0,0.0,0.0,higher_in_improve,5.805537953132711
Y_median,20,16,36,1.0,1.9766775273711463,2.880058890012845,2.26678275,2.75766375,-0.9033813626416989,-0.4908809999999999,-0.3918935516362144,0.3918935516362144,higher_in_worsen,0.1565736254753674,0.640625,0.5693586380922451,0.8052813921834702,36.0,-0.392709707401764,-0.6284025454426742,-0.2875349797960575,higher_in_worsen,1.0,0.0,3,-0.3918935516362144,1.0,0.0,0.0,higher_in_worsen,5.774388913727161
