feature,n,spearman,abs_spearman,pearson,abs_pearson,mean_feature
kd_best_pchembl,39,0.4448830876117629,0.4448830876117629,0.444420972419599,0.444420972419599,8.370256410256408
Z_SCORE_abs_mean,57,-0.3704952035260566,0.3704952035260566,-0.2942928085651245,0.2942928085651245,0.7944989339263142
ic50_best_pchembl,53,0.333959297135467,0.333959297135467,0.269278857480333,0.269278857480333,8.713584905660378
best_standard_value,54,-0.27657514023573504,0.27657514023573504,-0.059103180498044645,0.059103180498044645,567.824208888889
best_pchembl,54,0.27585558870468524,0.27585558870468524,0.22757199316631593,0.22757199316631593,8.899999999999999
black_box_warning,57,-0.2640799881165471,0.2640799881165471,-0.24766005306582328,0.24766005306582328,0.10526315789473684
TCGA_entropy,57,0.26051019758036253,0.26051019758036253,0.27382113273319714,0.27382113273319714,4.426660514778393
ec50_best_pchembl,29,0.2365989358529818,0.2365989358529818,0.3083386603799282,0.3083386603799282,7.887931034482758
first_approval,19,0.22065987359048436,0.22065987359048436,0.297138995673803,0.297138995673803,2004.2631578947369
Z_SCORE_std,57,-0.2041094114596837,0.2041094114596837,-0.21901485258789288,0.21901485258789288,1.008998316171862
aromatic_rings,57,0.19478857352474194,0.19478857352474194,0.1412675460410553,0.1412675460410553,2.8771929824561404
act_pchembl_std,51,0.18615384615384614,0.18615384615384614,0.10677369159434376,0.10677369159434376,1.0762153898958582
Y_median,57,-0.17500648172154523,0.17500648172154523,-0.20596934072058265,0.20596934072058265,2.3465549357642397
Y_iqr,57,0.1695618356235416,0.1695618356235416,0.1826979685401616,0.1826979685401616,1.9673812228247531
ki_best_pchembl,32,0.16205316495941996,0.16205316495941996,0.1680903255237842,0.1680903255237842,8.5503125
n_rows,57,0.14827658867932977,0.14827658867932977,0.16008356719381664,0.16008356719381664,1407.5964912280701
max_phase,37,-0.14405605195148147,0.14405605195148147,-0.017844082332258676,0.017844082332258676,3.189189189189189
curve_RMSE_std,57,0.13209748509204045,0.13209748509204045,0.13354371010198657,0.13354371010198657,0.04395256136910374
ac50_best_pchembl,14,0.13201328120416733,0.13201328120416733,0.18500734450589135,0.18500734450589135,6.183571428571429
Z_SCORE_mean,57,-0.130801140782992,0.130801140782992,-0.13912070595301387,0.13912070595301387,0.03622207961403393
Y_std,57,0.12490277417682137,0.12490277417682137,-0.15231244013108,0.15231244013108,5.266680429895089e+22
AUC_std,57,0.11705989110707805,0.11705989110707805,0.1796911836902631,0.1796911836902631,0.11809737726898183
alogp_xlogp,57,0.1140856941529525,0.1140856941529525,0.08051277100743794,0.08051277100743794,3.6205263157894736
AUC_mean,57,-0.10370754472387866,0.10370754472387866,-0.12565489681590442,0.12565489681590442,0.8742108605674791
qed_weighted,57,-0.0926937680480023,0.0926937680480023,-0.11605611246153297,0.11605611246153297,0.4687719298245614
act_pchembl_mean,54,0.07421383647798739,0.07421383647798739,0.015755139991144574,0.015755139991144574,5.889137673476408
median_pchembl,54,0.05633910196972556,0.05633910196972556,0.02574212908954239,0.02574212908954239,5.737222222222225
act_pchembl_median,54,0.05633910196972556,0.05633910196972556,0.02574212908954239,0.02574212908954239,5.737222222222225
hbd,57,-0.051771564192676596,0.051771564192676596,-0.04704871789281691,0.04704871789281691,2.1578947368421053
rtb,57,0.04890274667920995,0.04890274667920995,0.0494578480835837,0.0494578480835837,5.684210526315789
oral,57,-0.04843310740148646,0.04843310740148646,-0.02405147210549619,0.02405147210549619,0.2631578947368421
psa_tpsa,57,-0.03730291196548814,0.03730291196548814,-0.11405212658681844,0.11405212658681844,91.80859649122807
Y_mean,57,-0.03558465128338087,0.03558465128338087,-0.15231244013144865,0.15231244013144865,1.6394460077264093e+21
hba,57,-0.018637234391443148,0.018637234391443148,-0.047422214758161677,0.047422214758161677,5.912280701754386
heavy_atoms,57,0.011070006683138879,0.011070006683138879,-0.012056906623102333,0.012056906623102333,30.92982456140351
curve_RMSE_mean,57,0.002268602540834846,0.002268602540834846,0.07002081480141162,0.07002081480141162,0.08250788847338643
full_mwt,57,-0.0001944516463572725,0.0001944516463572725,-0.02714506005658502,0.02714506005658502,448.76754385964904
mech_direct_interaction_mean,33,,,,,1.0
mech_disease_efficacy_mean,33,,,,,1.0
mech_molecular_mechanism_mean,33,,,,,1.0
