feature,coef,odds_ratio
theme_PARP_DNA_REPAIR_CHECKPOINT,5.4049679634254035,222.509091940507
theme_SRC_LCK_NONRECEPTOR_TK,-4.056540007404671,0.017308803961681794
max_phase,-3.592001523134198,0.02754314697034323
psa_tpsa,3.5664589935112505,35.39105106866361
theme_SER_THR_KINASE_SIGNALING,3.1779709318947496,23.99801051958686
rtb,-2.9776865372861177,0.050910477221466834
heavy_atoms,-2.9741125269878586,0.051092757332812905
theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,2.789055821302584,16.26565486448407
hbd,-2.3759488047967237,0.0929262784711395
theme_JNK_P38_STRESS_MAPK,1.9892388655827502,7.309967776282995
theme_CELL_CYCLE_MITOSIS_KINASE,-1.8278661026058605,0.16075623935239558
qed_weighted,1.579432824495974,4.852202979971198
alogp_xlogp,1.4921016005776564,4.4464303270927825
theme_PROTEOSTASIS,1.4051018630514813,4.075941908002502
theme_APOPTOSIS_BCL2,-1.3465472640869165,0.2601368958354397
full_mwt,1.253829533916769,3.5037349704159886
theme_RTK_SIGNALING_BROAD,-1.1968835882729116,0.3021343212092921
theme_EPH_RECEPTOR_SIGNALING,-1.1489530480599321,0.3169684464537337
theme_DNA_REPLICATION_GENOME_INTEGRITY,-1.080056261219961,0.3395764201238281
aromatic_rings,-0.7253218005043098,0.4841687381393853
theme_MAP2K_MEK_ERK_RAF_CASCADE,-0.7032782002425115,0.49496006311576496
theme_PI3K_AKT_MTOR,-0.5739328048358768,0.5633057052696341
theme_MET_HGF_RTK,-0.5456613370067595,0.5794584392842353
theme_ERBB_EGFR_FAMILY_RTK,0.5006270902268062,1.649755491936835
theme_CHROMATIN_EPIGENETIC,-0.4149945370178188,0.6603438881420236
theme_ION_CHANNEL_TRANSPORTER,0.12451303147870235,1.1325967797748913
hba,0.07162590884187932,1.0742534001880846
