source,native,name,p_value,significant,term_size,query_size,intersection_size,intersection_genes
GO:MF,GO:0004713,protein tyrosine kinase activity,1.0,False,121,313,85,
GO:MF,GO:0004190,aspartic-type endopeptidase activity,1.0,False,1,313,1,
GO:MF,GO:0003700,DNA-binding transcription factor activity,1.0,False,18,313,10,
GO:MF,GO:0003707,nuclear steroid receptor activity,1.0,False,7,313,7,
GO:MF,GO:0003712,transcription coregulator activity,1.0,False,25,313,12,
GO:MF,GO:0003713,transcription coactivator activity,1.0,False,13,313,8,
GO:MF,GO:0003714,transcription corepressor activity,1.0,False,14,313,6,
GO:MF,GO:0003723,RNA binding,1.0,False,38,313,14,
GO:MF,GO:0003725,double-stranded RNA binding,1.0,False,2,313,1,
GO:MF,GO:0003729,mRNA binding,1.0,False,6,313,2,
GO:MF,GO:0003730,mRNA 3'-UTR binding,1.0,False,2,313,1,
GO:MF,GO:0003774,cytoskeletal motor activity,1.0,False,2,313,1,
GO:MF,GO:0003779,actin binding,1.0,False,15,313,11,
GO:MF,GO:0003785,actin monomer binding,1.0,False,3,313,2,
GO:MF,GO:0003824,catalytic activity,1.0,False,499,313,263,"ISS,IBA,TAS,IEA"
GO:MF,GO:0003887,DNA-directed DNA polymerase activity,1.0,False,1,313,1,
GO:MF,GO:0003916,DNA topoisomerase activity,1.0,False,2,313,1,
GO:MF,GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity",1.0,False,1,313,1,
GO:MF,GO:0003924,GTPase activity,1.0,False,10,313,7,
GO:MF,GO:0003950,NAD+ poly-ADP-ribosyltransferase activity,1.0,False,16,313,12,
GO:MF,GO:0003955,NAD(P)H dehydrogenase (quinone) activity,1.0,False,1,313,1,
GO:MF,GO:0003995,acyl-CoA dehydrogenase activity,1.0,False,1,313,1,
GO:MF,GO:0004001,adenosine kinase activity,1.0,False,1,313,1,
GO:MF,GO:0004031,aldehyde oxidase activity,1.0,False,1,313,1,
GO:MF,GO:0004111,creatine kinase activity,1.0,False,1,313,1,
GO:MF,GO:0004112,cyclic-nucleotide phosphodiesterase activity,1.0,False,4,313,2,
GO:MF,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",1.0,False,4,313,2,
GO:MF,GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",1.0,False,4,313,2,
GO:MF,GO:0004119,"3',5'-cGMP-inhibited cyclic-nucleotide phosphodiesterase activity",1.0,False,1,313,1,
GO:MF,GO:0004136,deoxyadenosine kinase activity,1.0,False,1,313,1,
GO:MF,GO:0004325,ferrochelatase activity,1.0,False,1,313,1,
GO:MF,GO:0004336,galactosylceramidase activity,1.0,False,1,313,1,
GO:MF,GO:0004348,glucosylceramidase activity,1.0,False,1,313,1,
GO:MF,GO:0004712,protein serine/threonine/tyrosine kinase activity,1.0,False,36,313,23,
GO:MF,GO:0004675,transmembrane receptor protein serine/threonine kinase activity,1.0,False,10,313,3,
GO:MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,1.0,False,49,313,38,
GO:MF,GO:0004407,histone deacetylase activity,1.0,False,13,313,3,
GO:MF,GO:0004430,1-phosphatidylinositol 4-kinase activity,1.0,False,1,313,1,
GO:MF,GO:0004435,"phosphatidylinositol-4,5-bisphosphate phospholipase C activity",1.0,False,4,313,4,
GO:MF,GO:0004497,monooxygenase activity,1.0,False,12,313,10,
GO:MF,GO:0004515,nicotinate-nucleotide adenylyltransferase activity,1.0,False,1,313,1,
GO:MF,GO:0004517,nitric-oxide synthase activity,1.0,False,4,313,2,
GO:MF,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",1.0,False,1,313,1,
GO:MF,GO:0004601,peroxidase activity,1.0,False,3,313,3,
GO:MF,GO:0004620,phospholipase activity,1.0,False,11,313,9,
GO:MF,GO:0004629,phospholipase C activity,1.0,False,6,313,6,
GO:MF,GO:0004666,prostaglandin-endoperoxide synthase activity,1.0,False,2,313,2,
GO:MF,GO:0004672,protein kinase activity,1.0,False,387,313,202,"ISS,IBA,TAS,IEA"
GO:MF,GO:0003690,double-stranded DNA binding,1.0,False,39,313,20,
GO:MF,GO:0004674,protein serine/threonine kinase activity,1.0,False,304,313,142,"ISS,IBA,TAS,IEA"
GO:MF,GO:0003697,single-stranded DNA binding,1.0,False,5,313,3,
GO:MF,GO:0004683,calcium/calmodulin-dependent protein kinase activity,1.0,False,21,313,14,
GO:MF,GO:0004687,myosin light chain kinase activity,1.0,False,4,313,4,
GO:MF,GO:0004689,phosphorylase kinase activity,1.0,False,3,313,2,
GO:MF,GO:0004693,cyclin-dependent protein serine/threonine kinase activity,1.0,False,20,313,5,
GO:MF,GO:0004694,eukaryotic translation initiation factor 2alpha kinase activity,1.0,False,4,313,1,
GO:MF,GO:0004697,diacylglycerol-dependent serine/threonine kinase activity,1.0,False,14,313,4,
GO:MF,GO:0004703,G protein-coupled receptor kinase activity,1.0,False,3,313,1,
GO:MF,GO:0004705,JUN kinase activity,1.0,False,3,313,3,
GO:MF,GO:0004706,JUN kinase kinase kinase activity,1.0,False,10,313,6,
GO:MF,GO:0004707,MAP kinase activity,1.0,False,16,313,9,
GO:MF,GO:0004708,MAP kinase kinase activity,1.0,False,13,313,7,
GO:MF,GO:0004709,MAP kinase kinase kinase activity,1.0,False,21,313,12,
GO:MF,GO:0004711,ribosomal protein S6 kinase activity,1.0,False,6,313,3,
GO:MF,GO:0004677,DNA-dependent protein kinase activity,1.0,False,2,313,2,
GO:MF,GO:0004715,non-membrane spanning protein tyrosine kinase activity,1.0,False,41,313,28,
GO:MF,GO:0005350,pyrimidine nucleobase transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0005488,binding,1.0,False,572,313,307,"IDA,IPI,IBA,IEA"
GO:MF,GO:0004722,protein serine/threonine phosphatase activity,1.0,False,4,313,4,
GO:MF,GO:0004723,calcium-dependent protein serine/threonine phosphatase activity,1.0,False,2,313,2,
GO:MF,GO:0004725,protein tyrosine phosphatase activity,1.0,False,1,313,1,
GO:MF,GO:0004769,steroid Delta-isomerase activity,1.0,False,1,313,1,
GO:MF,GO:0004796,thromboxane-A synthase activity,1.0,False,1,313,1,
GO:MF,GO:0004842,ubiquitin-protein transferase activity,1.0,False,5,313,2,
GO:MF,GO:0004857,enzyme inhibitor activity,1.0,False,12,313,5,
GO:MF,GO:0004860,protein kinase inhibitor activity,1.0,False,6,313,2,
GO:MF,GO:0004879,nuclear receptor activity,1.0,False,11,313,8,
GO:MF,GO:0004883,nuclear glucocorticoid receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004896,cytokine receptor activity,1.0,False,1,313,1,
GO:MF,GO:0004935,adrenergic receptor activity,1.0,False,8,313,7,
GO:MF,GO:0004936,alpha-adrenergic receptor activity,1.0,False,5,313,4,
