feature
AGAP2-AS1
NIPSNAP1
IFFO1
MGAT1
MIR142
GNMT
FBXO41
LINC01624
AGAP2
SLCO4A1-AS1
TSPOAP1
MYH14
MIR1469
SH2D3C
RUFY1
PCAT19
LOC105372397
MAP1LC3B2
OSM
CFAP45
TMEM177
MIR4259
HOPX
NPNT
NR2F2
PRRT3-AS1
LINC00528
CECR5
STK25
LINC00511
LARGE2
ITPKB-IT1
WTIP
CDH1
FAM189A2
GRAMD2
ETV4
NUP210L
MIR200C
RASEF
PLOD2
TTLL13P
MLPH
DRC1
ITGA3
RTKN
MIR6080
BOK
PLEK2
ATP9A
GPR39
LOC105369635
SYT12
CKB
PSMB8
MTSS1L
NUP85
EXOC3L2
MIR3202-2
EGFR
FAM184B
ZFPM2
TMC8
FAM155A
FAM150B
LRRC24
GAL3ST1
HOXD1
NADK
LOXL2
PALLD
TDRP
MIR141
FAM201B
TPX2
SSTR5-AS1
ZNF205
GPD2
ARHGAP25
ZC3H4
NRP1
MIR199B
SIX1
RPL24
AP1M2
NOL4
NOTCH3
SLCO2A1
TJP1
NKX2-1-AS1
NDUFS2
PPP1R13B
SGPP2
LAMB1
TINCR
ID4
PCDHAC1
DIP2C
PCDHAC2
MIR7704
MIR2277
C15orf38-AP3S2
PPP1R13L
ZBP1
VDR
FERMT3
CPT1C
C10orf71
SGCB
RGMB
CIART
CTGF
ARHGEF10
EFNB3
SH2D4A
LYPD1
FIGN
STEAP2-AS1
OTX1
NEBL
MTMR7
TCF3
SLC25A34
HELZ2
SLC25A25
MIR3154
TACSTD2
DPY19L2P4
FN3K
NLRC3
GULP1
MYO5C
ESRP2
ZNF595
SLC15A1
MTNR1A
ARPIN
NOVA1
SEPT10
C5orf38
MIR1249
TSPAN6
CR1L
PLPP2
PTPRZ1
LOC101929935
LINC00612
SGSH
SCTR
NGEF
COBL
C10orf107
CNTD2
SHC2
ERRFI1
CHDH
LINC00693
SH3YL1
TNFAIP8L2
TNFAIP8L2-SCNM1
FAT1
PCDH17
FDFT1
BMPR1B-AS1
HS3ST1
SLC4A4
DOCK2
IGSF9
FOXB1
ADGRG2
SYTL4
PLEKHD1
OVOL2
TRAM1L1
TACR1
FAM155B
TOX3
AFG3L1P
EPCAM
KRT19
NLRP14
RAP1GAP2
GPR158
A2M-AS1
MIR95
PTPN7
RASSF1
PPP1R16B
MIR99AHG
FEZF1
LINC00472
PTPN3
MLNR
BMPR1B
PDE10A
ZNF600
SASH3
HIST1H4I
NSUN4
GATAD2A
MAP4K4
SIX2
FRAS1
OGG1
MIR3195
CEP170B
CALCB
SNHG18
HAS3
LOC101929125
NALCN
LAMB2
ARHGDIB
LINC00437
FAM110C
LOC101928358
ITGA4
FAM189B
CELF4
QARS
LOC101927746
YARS2
CRIM1
DOCK1
ZNF613
SMIM22
NEBL-AS1
ZNF112
CBLC
C16orf54
MIR4683
HAGLR
CALCR
ZNF141
ZNF718
ZNF483
SOX9
TLCD2
ZNF467
ANK3
FAM83B
POU2F3
STAP2
LOC102723373
TGIF1
PRKCH
MIR203A
TTC6
KRT8
TMEM181
THSD7A
CIZ1
MIPOL1
SRSF12
GABRE
AOX3P-AOX2P
ZNF512B
FAM229A
RASGRF2
FZD8
DTX3
GBX2
IKBKG
WNK4
LINC01098
ARHGEF3
LRIG3
KCNK1
LDOC1
SASH1
COQ3
FAM127C
KDR
TXNRD3
SLC26A5
LINC01317
YRDC
MFSD6L
SLC4A2
ADPRHL1
DOCK9-AS1
TFF3
RAVER1
NR2C2AP
BAGE4
BAGE3
BAGE2
BAGE5
BAGE
STMN1
ZNF454
SHISA5
CCEPR
FFAR2
TRIM3
SLC34A2
ZNF101
CAV2
BDKRB2
RASGEF1A
JAK3
MIR6813
RAET1E-AS1
LIMCH1
STIM2
COLEC12
MID2
HRH1
LOC100049716
LOC100288748
RNF166
PRSS23
PLXNC1
SLC35B3
IPO5P1
COL12A1
S1PR4
STEAP2
LINC01626
SEC16A
LOC101927418
DEPDC7
PPIC
C21orf58
LAPTM4A
CACNA1D
ARSJ
SYBU
LOC729970
BOK-AS1
UHRF2
PTCHD1
MAPT-AS1
PCDH1
HOOK1
NMU
PKP2
KRTCAP3
PITPNM3
KCNC3
S100A1
PLEKHG3
TOLLIP
STAT5A
CST6
ERAL1
OSMR-AS1
CLDN4
SYCP2
LOX
AQP4
NLRP11
NKX2-1
FOXD3-AS1
LINC01167
ANKRD54
MIR658
TBCB
SPACA9
SMG6
S100A13
IRX2
LINC00674
MCC
GIGYF2
RAB4A
TBC1D10C
BEAN1
ERC2
CDH11
GRIA2
LOC389199
EPS8L2
KSR2
ENDOV
FAM83F
FOXQ1
PODXL2
PLBD1-AS1
TSSK3
DLGAP4
ZP1
SNED1
TDRD5
GINS2
NSUN7
CLEC2L
BCL9L
AMZ1
DGUOK
GCKR
PKHD1L1
LINC01402
EIF2AK4
PRR15L
TRIM67
SH3PXD2B
ISL1
TMEM74B
PHYHIPL
C12orf80
TMEM25
CELSR3-AS1
TMEM151A
SLITRK3
CYP20A1
TMEM179
ESRP1
LOC105371766
CNTN4
TMEM51-AS1
NPAS2
OSBPL1A
THRB
ILDR1
MIR663A
CYFIP1
MIR1193
NAPSB
SOWAHB
FRMD5
KITLG
MIR1224
DPYSL4
AK8
MRPL58
C1orf229
ADGRA3
LYNX1
B3GALT5-AS1
LNX1
LOC102724312
ATP8A2
PCSK2
RHPN2
SPSB1
MAP6D1
CDC42BPA
PDE11A
PGF
CILP2
LOC105371458
FAM20A
NFIB
ZFP2
GOLGA5
SH2D5
SIGLEC14
SLC25A51
SLC5A7
CT62
FOXA1
SEL1L2
B4GALNT4
SHROOM2
OPHN1
SCRN1
PAK6
ELAVL2
CNN3
RALBP1
LOC101928738
CCDC88B
TMEM108
AFDN
LYL1
MIRLET7BHG
B9D1
SQRDL
ATP8B1
ADGRV1
MIR375
ZNF232
ARHGAP29
TFAP2E
CCK
SLC22A18AS
CMTM8
CRACR2A
ANO8
GTF2A2
MEIS3P1
PTPRCAP
GALE
MMP24
TNS2
CNKSR1
KIAA1024
SCARF1
HS6ST3
RNF39
GLS2
WNT9B
SOWAHC
DOC2B
MYPOP
MIR3917
TMIGD2
LOC101054525
SVIL
LGALS8
SYNM
CPLX1
PDE1B
LOC100128398
FAM47E-STBD1
IQSEC3
SCN1B
CCBE1
LOC653602
HAPLN1
LRRC49
LOC105373878
LOC101929295
ST6GAL2
FGF12-AS3
RASSF10
SLC35F4
GRM2
EFCAB10
KDF1
RASGRF2-AS1
KCNK9
ELMO3
GGTA1P
LNPK
HEATR6
BARX2
GDAP1L1
TRABD2B
GDI1
SLC5A8
SPIRE1
RINL
LIPG
IRS4
MIR1225
GRHL1
HTRA1
MARVELD2
ACHE
UAP1
CTSL
MARVELD3
GALNT13
CHL1
PPP1R9A
LINC01116
C1orf115
SPRY4
LAD1
MYO3A
IL15
TSPAN5
DOK5
C11orf70
MIR4513
DPYSL3
RBPMS
B3GNT5
GANAB
NRK
PLSCR4
LRRN2
MIR7114
KCNJ5
ELF3
PPP2R2C
LINGO2
MIR6814
STK32A
MICU3
BRINP1
C8orf58
ERBB4
FAM196A
LOC100129917
SPIN3
LMX1B
TMEM51
GCC1
RNF180
P2RX2
PLK5
LRPAP1
RUNDC3B
SCNM1
ADAMTS16
LOC105372419
ELAVL3
CTF1
STMND1
PCGF2
TCONS_00029157
HCN2
MTHFSD
ACOT2
KLHL29
IRX6
AADAT
GALNT9
MZF1
GPC4
RRP15
ITGA9-AS1
ADGRE2
LOC100505622
SMG5
MAGI2-AS2
SMOC2
LOC105375429
TRAF3IP3
JUP
SIGLEC8
GALNT11
PCLO
LINC01117
FAM174B
KCNC1
AGBL4
EMC6
HYAL2
TOM1L1
ELFN2
FAM47E
PTRF
TPM4
B3GNT4
DUSP4
TNFAIP8L3
RUNX1T1
RNF224
RHEB
ICAM2
LOC105371049
NPTX2
MAGI1
YOD1
FERMT2
MIR5701-1
MIR5701-2
MIR5701-3
AS-PTPRE
ASNA1
ADGRG6
CD38
HSPA1L
PNPLA6
EXOC3
LOC729870
CGNL1
AMOTL2
FAT4
GLRB
LOC101929384
MIR203B
BLACAT1
NPB
EYA4
LOC105369971
SLC24A4
DACT2
BCAM
CDC42BPB
SORBS3
MIR663AHG
MIR1915
ZFHX3
HRASLS
TBX15
ATP8B4
CTNNA2
MAP7
MGC2889
PLLP
PFKP
SEMA5A
SOX21-AS1
SNX20
SLC26A9
TMC7
LOC101927043
OTOP1
CABYR
FOXA2
LRRC4B
TRNP1
OCLN
CCR7
GRB7
ADAMTS15
MIR1234
NWD1
COX19
CELSR3
FNBP1
LBX1-AS1
PSMC3
NHS
TRMT61A
TUG1
SHISA4
IGF2BP2
DNAH11
IGFBP3
TRPV5
HOXD11
FUCA1
XKR4
PPEF1
HSPA12A
RHOBTB1
SLC9A3
MYOCD
C1orf210
TMTC1
CNNM1
RSPO4
SEMA4C
LOC100128006
LAMA3
MISP
LONRF3
MIR145
BDNF
BCAS1
MIR4632
SSTR5
PTPN13
STARD8
CCDC178
CPEB1-AS1
EN2
TM6SF2
SLC12A7
FNDC4
FKBP9
ABO
FASTK
HMGA2
PTPRT
DUSP2
RGS17
NT5DC2
ROBO2
PRR36
SLC44A3
MIR6871
CADPS2
ABCB6
PHLDB3
ODF2
TBC1D9
PQLC2L
CCL22
IL1RAPL2
FAM217B
KAZALD1
DKK3
SYNGR3
IGFBPL1
CD48
CGB2
DPP10
ECT2L
HSPB8
ANKLE1
RAB13
MTA3
GRIK1
SLC22A31
ZNF790
SCRIB
BTC
LOC100996324
LINC00630
MPDZ
TPBG
LMNTD2
SCNN1A
LOC441086
PPP1R3C
MYO1B
NXPH1
FGF8
KLF4
LOC100289511
ACTN1
PROKR1
MOGAT1
KY
LRP2
EPHA5
FGR
ACSL1
TUBGCP2
GAS8
DMRT2
DOK3
ITGB2-AS1
SPIRE2
PSMG2
PTPRK
LOC100129083
ADAM8
NECTIN3
LINC00857
DPP10-AS1
MIR935
ACP1
SKP1
LAT
EFNA1
SLC26A4-AS1
PTPRS
PRSS12
LATS1
TMEM106A
LTBR
GMNC
EIF4G3
GCFC2
LCK
FLJ32255
SCUBE3
ZMYND10
MORC2
HCAR1
HPCAL4
CHODL
CHN2
ADCY5
GABBR2
NPDC1
TFCP2L1
MIR155HG
LINC01586
FARP1
MGLL
ENPP7P13
SOCS6
COL27A1
GRTP1
SULT2B1
SYT10
CLIP3
ADGRA1-AS1
CEP131
SAMD4A
MIR3147
PARM1
CACNA1H
SERP2
SLC10A6
SLC35F3
SH3BGRL2
RFX6
LOC643201
PARD3-AS1
COMP
LHFPL2
COL8A2
C3orf67
EPHA7
ZNF462
DIO3
CDC42EP1
GPX1
FAM213A
LOC400553
GRP
GALNT16
LOC100996583
DBNDD2
TRIM45
MIR1273F
KCNJ3
PTPRG
SLC52A1
NARR
SH3PXD2A
LOC101927934
PIK3CD-AS2
KIF26B
MIR4740
TEAD1
GPR83
MED31
ATOH1
ZNF223
CBX7
RDM1
SLC1A1
GGN
RASAL2-AS1
SH3D21
MIR3202-1
LOC284023
CBX4
GBAT2
IRF6
VPS53
ZNF239
RNF7
SULT4A1
BOC
ANKRD26P3
CBR3
ZNF671
WNT3A
LOC101928602
LOC105376955
MIR4425
LGI2
MIR4758
GPSM3
MOCS1
NRN1L
LINC00473
PALM2
WWC2-AS2
USP18
EDN3
LRRC73
TACR2
TMEM184A
PRKAA2
GSPT1
MNX1-AS1
CLDN3
ZC3HAV1L
IER5L
PHKG1
PGM3
SHH
VSTM2A
G0S2
LOC101927759
DPYSL2
HAGH
FAM64A
LOC148709
AXL
SPINT2
DSCAM
CCSER1
FAM131A
KCNJ1
MNX1
TEAD2
ZNF471
SPNS3
HES4
CPD
NTN4
EPB41L1
OCIAD2
BTBD2
MET
LIFR
DOCK9
LINC00673
GJD2
TOP2A
PAPLN
CADM1
LINC01193
PTPRN2
LOC100505797
CARNS1
POFUT2
TLX1NB
MAPK8IP2
ANAPC1P1
MYT1L
ST3GAL6
ZNF805
PARVB
RAD21L1
LINC00319
CAPN14
SERINC2
NETO1
CAMK1
TPRN
NRIP3
NLGN4X
LOC101928847
CACNA2D1
ARNT2
SUOX
NLRP5
LINC00399
MIR1247
SOX21
FXYD2
DOK1
LOC101929633
FAM110A
LAMC3
KCNH5
ASXL3
PPP1R26
GFER
MIR4761
CCZ1B
FLVCR2
COL25A1
LOC101929748
MLXIPL
IHH
PTCHD4
ALDH1L1
CHMP4C
CAMK2N2
RAB38
MIR3166
DLC1
KLF3-AS1
CTSV
DCAF12L2
CTD-2297D10.2
CTTNBP2
LOC101929089
LOC284080
NLRP2
FAR1
ICA1
ANKRD20A8P
LOC102724354
CAMK2N1
LINC01201
ENO4
APEX2
P3H2-AS1
JAKMIP1
AHNAK2
ADAMTS9
WWTR1-AS1
ROR1-AS1
FANK1
EPHA6
ZNF324
NXPH2
ZNF354C
SENP2
MKX
LOC101927877
RAI2
ADAL
TSPAN11
ST5
TTC23L
RILP
IRF2BPL
IGF2-AS
WNT2
PKD1P6-NPIPP1
SH3BP2
EPHA8
TUBA3C
WFIKKN2
TTC39A
ZNF625
ZNF625-ZNF20
ZNF667
DGKI
MCFD2
LOC101928174
PNCK
MARCH11
SOD3
ZNF436
PHLDB2
CLIC5
KCNIP4
DANT2
SIX4
PCDH19
MIR1289-1
TANC1
SLC17A7
PIP5KL1
RNF217
YAP1
ULK2
SNX8
TUB
LOC100996447
KCNQ4
DRAXIN
DNAJC5
ID2
RMDN1
MTA2
OPRD1
FAM201A
CHST14
IQCC
C17orf77
MIR4635
PLA2G16
ST3GAL6-AS1
LMOD1
MIR3621
RNF212
VAV3-AS1
EVA1A
GRIN2C
C2orf50
SLC35D3
WSCD1
TFAP2A-AS1
SLC22A3
WDR44
COL4A1
DIXDC1
ST8SIA5
CADM4
ADRA1D
GATA2-AS1
CTHRC1
PPARG
DUSP8
TRPM3
HMCN1
C3orf52
SLC35D2
SLC38A7
GABRB3
GHR
TCERG1L
PTPRG-AS1
IGFALS
LAG3
CYP1B1
MSI1
SMIM15
LOC101927809
CDK20
ENTPD3
MIR4492
WDR38
SMURF2
SUSD4
ANO5
SLC27A3
OTOS
TMEM91
LOC401442
ZNF501
RGCC
WDFY3-AS2
HRAT92
PRDM16
FUT9
CEMIP
WNT7A
NDNF
CCL5
FLJ36000
BRF1
SMTN
TMIE
TCTE1
MAP7D2
FAXC
GDF1
CERS1
TGFB1I1
GLRA3
AFAP1L1
ZNF569
ZFP30
EXOSC10
MMP16
NKX6-2
PDLIM4
SOWAHA
COBLL1
VENTX
KCNK2
MIR6771
B3GNT3
ENOX1
MAP1LC3A
OSMR
LINC01248
MIR4783
SGMS2
TAF9B
FSCN2
RBP4
PALM
PTPN14
DHX57
LOC105371795
LOC100287036
IFT74-AS1
C11orf74
LGALS7
PRICKLE3
FAM181A
CDS1
MYO15A
SIM2
DHH
OAS2
LOC285484
ITGA1
FRK
TMEM47
CRMP1
FOXI3
PRDM5
INF2
BLVRA
CNNM3
NKX2-4
CGREF1
TMEM44
FBXL4
LOC105378269
FAM84A
CTNND2
SSTR3
LOC101930114
SLC6A4
DAAM2
GPRIN2
GJB3
LYPD3
GPR27
DNAJC7
ITGA2
KLF11
DDAH1
LRAT
AGAP3
LOC101929122
VWA2
PTPRB
BATF2
ZNF300
ITGB5
PTK7
NAT1
RHBG
MYT1
PIWIL1
KRTAP5-AS1
KLK8
FAM189A1
ZNF667-AS1
REEP2
NAGPA-AS1
P2RY8
FLNA
DHX40
ABCC8
ZNF75A
NDOR1
PTGS1
CDCA8
LINC00475
PLA2R1
FAM150A
ABAT
MIOS
FSCN1
GABARAP
PTHLH
CCT4
PQLC1
GP9
BAIAP2-AS1
PFN2
PARD3
EPHA4
CELF6
CDCP1
ZNF346
N4BP1
CDK5R1
FRMD3
CYSRT1
PLD1
NOC2L
MKX-AS1
GAB2
CYP24A1
ENPP5
RFX8
ZNF702P
NPY1R
TERT
RFX5
TMEM121
PAWR
PCSK1N
GRIN1
GRIK4
OR8B8
PYGL
PCSK4
TBC1D1
LOC105378591
UGT8
SYCE3
LMF1
VSTM2L
ZNF395
GAMT
WWP1
WNK2
CACTIN-AS1
RC3H2
LOC101929998
NCAM2
LINC01314
LOC101926935
TFAP2C
PRTFDC1
RFPL2
AGAP1
AK4
GABRQ
NELFB
ANKRD18A
PER3
LOC100287846
SPHK1
C14orf79
PLD6
PTPA
FFAR4
DLG5-AS1
CTSZ
MIR4669
PLCB2
HKR1
NSUN2
P3H4
SFTA3
ANKRD39
KNSTRN
HSPB9
ACSL6
CCDC180
EVC
FGF19
NXPH3
ASPG
HPSE
STK19
DOK6
ANKRD19P
PNMA2
LOC100130451
ARHGEF26-AS1
IGSF3
TMEM155
PLEKHA5
PLPP4
NKX6-1
EFHD1
CNKSR3
ANKMY1
MOB3A
POU3F2
INHBB
PDZRN4
KDELR3
PDGFC
IFI30
MAPK15
CELSR1
NOTUM
COL8A1
PGR
PROSER2
FAN1
BAIAP2L2
SHE
OR6B2
MAGEL2
LNX1-AS2
LOC100192426
SAMD5
CCDC149
PITPNA
C19orf84
AQP11
CITED1
GABRG3
KCNV1
ALCAM
MIR130B
ZNF883
BCDIN3D
SLC25A1
MIR132
CES4A
WDFY3
MVP
BRINP2
FAM161A
SERPINB6
PNMAL1
LOC101928891
CFAP161
CSPG5
ARID3C
RNF208
CPM
MCF2L-AS1
SSH3
CLK4
PSMD4
PRKCE
GPR153
SCN4B
LOC729966
ZBTB8B
FIGLA
ADAP1
INHA
CCDC185
SPSB3
C11orf84
SNX7
CWH43
NEK2
TCEAL3
CDK11A
CCKBR
ATP6V1G1
ADM
MIR3132
SYDE1
SOX14
HS3ST6
WDR93
FOXD3
LOC101927391
RNF157
HOXC13
LMO7
PRKD1
MIR301B
GCOM1
MYZAP
CCRL2
LOC102724297
IER2
ONECUT2
ARFGAP3
GDNF-AS1
IGF2
MID1IP1
EPHB4
ZNF185
ARC
WNK3
PTPRD
PLEKHH1
