drug,blend,meta,alpha,intercept,n,w_mrna,w_cnv,w_meth,w_mirna
AZD7762,stacking,ridge,1.0,0.1203465803639937,203,0.37209448081006097,0.3023518620459574,0.4162900631293406,0.14906107759680134
GEMCITABINE,stacking,ridge,1.0,-0.07739632448883427,203,0.9278118944008317,-0.10399009495393038,0.0495351037948383,0.08858822151801214
JQ1,stacking,ridge,1.0,-0.021070848948653964,203,0.6392663369124757,-0.1096349658258454,0.21258708051341213,0.31548908134282466
NAVITOCLAX,stacking,ridge,1.0,-0.07812363076645301,203,0.6431295349391959,0.3811137084390306,0.3439754674309968,-0.29032640182188435
NUTLIN-3A (-),stacking,ridge,1.0,0.09211741741355306,203,0.8189891265190625,0.2745157642049669,0.22850691739931486,-0.3432942700143616
OLAPARIB,stacking,ridge,1.0,0.5098093578252256,203,0.6937338658441243,-0.022486348568509833,0.45539561122887917,-0.2762506125804936
PALBOCICLIB,stacking,ridge,1.0,-0.07873463291656435,203,0.8190632579354002,0.05274016255239157,-0.01359814786073011,0.16832595011900864
PD0325901,stacking,ridge,1.0,0.005531655177404615,203,0.7327956217856375,-0.01951526940046778,0.24603494571059573,0.0378264260793116
PLX-4720,stacking,ridge,1.0,-1.0788077090500288,203,0.558870583300558,0.4638821338591118,-0.043818075203132745,0.2956876342708647
REFAMETINIB,stacking,ridge,1.0,-0.2971248020282662,203,0.3284148761501467,-0.009185832536667918,0.4591377437047498,0.35994979044418823
SELUMETINIB,stacking,ridge,1.0,-0.02068632100505363,203,0.7487901336832887,0.07702334915482732,0.19296857828280684,-0.003391809167907348
SN-38,stacking,ridge,1.0,0.029918736442037464,203,0.9383292194414478,0.09514358223221528,0.15309292789746604,-0.17571228767752894
TALAZOPARIB,stacking,ridge,1.0,1.3689097454822263,203,0.8104120696411921,-0.3175443480454357,0.20587859378170567,-0.6004211990546353
TEMOZOLOMIDE,stacking,ridge,1.0,-0.6715349252082392,203,0.5558949729218761,0.23433970198696147,0.41966366180274717,-0.09008087864587314
TRAMETINIB,stacking,ridge,1.0,0.12483074008646666,203,0.8527230874783206,-0.36240102422486703,0.1245234815252785,0.11529176883700204
