標準化名稱,CCLE原始名稱,miRNA原始名稱
P31FUJ,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH522,NCIH522_LUNG,NCIH522LUNG
OCIM1,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIM1HAEMATOPOIETICANDLYMPHOIDTISSUE
KMH2,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMH2HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2085,NCIH2085_LUNG,NCIH2085LUNG
KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS422HAEMATOPOIETICANDLYMPHOIDTISSUE
SKMM2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKMM2HAEMATOPOIETICANDLYMPHOIDTISSUE
LOUNH91,LOUNH91_LUNG,LOUNH91LUNG
CORL88,CORL88_LUNG,CORL88LUNG
NCIH1092,NCIH1092_LUNG,NCIH1092LUNG
AMO1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO1HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH146,NCIH146_LUNG,NCIH146LUNG
NCIH209,NCIH209_LUNG,NCIH209LUNG
ME1,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ME1HAEMATOPOIETICANDLYMPHOIDTISSUE
HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HHHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1836,NCIH1836_LUNG,NCIH1836LUNG
BV173,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BV173HAEMATOPOIETICANDLYMPHOIDTISSUE
RERFLCKJ,RERFLCKJ_LUNG,RERFLCKJLUNG
NCIH1437,NCIH1437_LUNG,NCIH1437LUNG
ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALLSILHAEMATOPOIETICANDLYMPHOIDTISSUE
SW1271,SW1271_LUNG,SW1271LUNG
HCC827,HCC827_LUNG,HCC827LUNG
GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519HAEMATOPOIETICANDLYMPHOIDTISSUE
SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL10HAEMATOPOIETICANDLYMPHOIDTISSUE
SKLU1,SKLU1_LUNG,SKLU1LUNG
BEN,BEN_LUNG,BENLUNG
NCIH2110,NCIH2110_LUNG,NCIH2110LUNG
NCIH1650,NCIH1650_LUNG,NCIH1650LUNG
A3KAW,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3KAWHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH526,NCIH526_LUNG,NCIH526LUNG
NCIH2291,NCIH2291_LUNG,NCIH2291LUNG
HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM2HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1105,NCIH1105_LUNG,NCIH1105LUNG
NCIH460,NCIH460_LUNG,NCIH460LUNG
L363,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L363HAEMATOPOIETICANDLYMPHOIDTISSUE
HCC33,HCC33_LUNG,HCC33LUNG
JEKO1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JEKO1HAEMATOPOIETICANDLYMPHOIDTISSUE
PL21,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21HAEMATOPOIETICANDLYMPHOIDTISSUE
LXF289,LXF289_LUNG,LXF289LUNG
CORL311,CORL311_LUNG,CORL311LUNG
REH,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REHHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH82,NCIH82_LUNG,NCIH82LUNG
CHAGOK1,CHAGOK1_LUNG,CHAGOK1LUNG
IALM,IALM_LUNG,IALMLUNG
PF382,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF382HAEMATOPOIETICANDLYMPHOIDTISSUE
CALU3,CALU3_LUNG,CALU3LUNG
LU65,LU65_LUNG,LU65LUNG
SUDHL6,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL6HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH650,NCIH650_LUNG,NCIH650LUNG
MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL2HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH647,NCIH647_LUNG,NCIH647LUNG
CORL279,CORL279_LUNG,CORL279LUNG
L428,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L428HAEMATOPOIETICANDLYMPHOIDTISSUE
SKMES1,SKMES1_LUNG,SKMES1LUNG
KMS11,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS11HAEMATOPOIETICANDLYMPHOIDTISSUE
JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURLMK1HAEMATOPOIETICANDLYMPHOIDTISSUE
A549,A549_LUNG,A549LUNG
NCIH929,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH929HAEMATOPOIETICANDLYMPHOIDTISSUE
MOLM16,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM16HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2030,NCIH2030_LUNG,NCIH2030LUNG
CMLT1,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMLT1HAEMATOPOIETICANDLYMPHOIDTISSUE
LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA84HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1623,NCIH1623_LUNG,NCIH1623LUNG
EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM2HAEMATOPOIETICANDLYMPHOIDTISSUE
KNS62,KNS62_LUNG,KNS62LUNG
NCIH1436,NCIH1436_LUNG,NCIH1436LUNG
NCIH446,NCIH446_LUNG,NCIH446LUNG
NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4HAEMATOPOIETICANDLYMPHOIDTISSUE
CA46,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CA46HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH69,NCIH69_LUNG,NCIH69LUNG
HCC78,HCC78_LUNG,HCC78LUNG
HCC366,HCC366_LUNG,HCC366LUNG
MM1S,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MM1SHAEMATOPOIETICANDLYMPHOIDTISSUE
OCIAML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2172,NCIH2172_LUNG,NCIH2172LUNG
NCIH1435,NCIH1435_LUNG,NCIH1435LUNG
JVM3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM3HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1651,NCIH1651_LUNG,NCIH1651LUNG
RPMI8402,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8402HAEMATOPOIETICANDLYMPHOIDTISSUE
MOLP8,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP8HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1568,NCIH1568_LUNG,NCIH1568LUNG
HT,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HTHAEMATOPOIETICANDLYMPHOIDTISSUE
CAL12T,CAL12T_LUNG,CAL12TLUNG
SUDHL8,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL8HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1915,NCIH1915_LUNG,NCIH1915LUNG
GA10,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA10HAEMATOPOIETICANDLYMPHOIDTISSUE
NOMO1,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO1HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH727,NCIH727_LUNG,NCIH727LUNG
RCHACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCHACVHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1792,NCIH1792_LUNG,NCIH1792LUNG
NCIH2171,NCIH2171_LUNG,NCIH2171LUNG
NCIH1048,NCIH1048_LUNG,NCIH1048LUNG
COLO668,COLO668_LUNG,COLO668LUNG
SBC5,SBC5_LUNG,SBC5LUNG
NCIH292,NCIH292_LUNG,NCIH292LUNG
NCIH2227,NCIH2227_LUNG,NCIH2227LUNG
THP1,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1HAEMATOPOIETICANDLYMPHOIDTISSUE
NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NUDUL1HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2405,NCIH2405_LUNG,NCIH2405LUNG
CORL105,CORL105_LUNG,CORL105LUNG
CORL95,CORL95_LUNG,CORL95LUNG
KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812HAEMATOPOIETICANDLYMPHOIDTISSUE
KG1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG1HAEMATOPOIETICANDLYMPHOIDTISSUE
EJM,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EJMHAEMATOPOIETICANDLYMPHOIDTISSUE
DMS79,DMS79_LUNG,DMS79LUNG
NCIH2081,NCIH2081_LUNG,NCIH2081LUNG
MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC6HAEMATOPOIETICANDLYMPHOIDTISSUE
