Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
OCIM1,ACH-000751,PT-0HjWKA,OCI-M1,OCIM1,62.0,Commercial,SIDM00458,CVCL_2149,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Unknown,DSMZ,M6,ACC 529,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330985.0,,1679.0,,,MF-005-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,OCIM1,OCIM1
OPM2,ACH-000024,PT-codP7n,OPM-2,OPM2,56.0,Commercial,SIDM00457,CVCL_1625,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909249.0,,112.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,OPM2,OPM2
P12ICHIKAWA,ACH-000372,PT-n3wTBx,P12-ICHIKAWA,P12ICHIKAWA,7.0,Commercial,SIDM00463,CVCL_1630,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,t_cell,34,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909251.0,,2153.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,P12ICHIKAWA,P12ICHIKAWA
P31FUJ,ACH-000770,PT-7N6azV,P31/FUJ,P31FUJ,7.0,Commercial,SIDM00363,CVCL_1632,AML,Pediatric,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,HSRRB,M5,,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909253.0,,642.0,,,MF-001-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,P31/FUJ,P31FUJ
PF382,ACH-000937,PT-UEq5KV,PF-382,PF382,6.0,Commercial,SIDM00451,CVCL_1641,TLL,Pediatric,Suspension,,,pleural_effusion,Female,"DSMZ, Received from Kim Stegmaier (DFCI)",t_cell,38,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909260.0,,1043.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,PF382,PF382
PL21,ACH-000218,PT-ADoL4a,PL-21,PL21,24.0,Commercial,SIDM00450,CVCL_2161,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M3,ACC 539,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330991.0,,698.0,,,MF-001-020,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,PL21,PL21
RAJI,ACH-000654,PT-WEYO1e,Raji,RAJI,11.0,Commercial,SIDM00844,CVCL_0511,BL,Pediatric,Suspension,,Primary,bone,Male,ATCC,b_cell_burkitt,,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909262.0,,1762.0,,,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,RAJI,RAJI
RCHACV,ACH-000922,PT-0mdkef,RCH-ACV,RCHACV,8.0,Commercial,SIDM00449,CVCL_1851,BLL,Pediatric,Suspension,,,bone_marrow,Female,DSMZ,b_cell,ACC 548,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330994.0,,1160.0,,,MF-001-020,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,RCHACV,RCHACV
REH,ACH-000960,PT-N5YXV2,Reh,REH,15.0,Commercial,SIDM00447,CVCL_1650,BLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,b_cell,,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909696.0,,1272.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,REH,REH
RERFLCKJ,ACH-000482,PT-G8tjyE,RERF-LC-KJ,RERFLCKJ,78.0,Commercial,SIDM00356,CVCL_1654,LUAD,Adult,Adherent,,Primary,lung,Male,HSRRB,NSCLC_adenocarcinoma,JCRB0137,RERFLCKJ_LUNG,1298537.0,,960.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,RERFLCKJ,RERFLCKJ
