Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
697,ACH-000070,PT-0yrZJC,697,697,12.0,Commercial,SIDM01076,CVCL_0079,BLL,Pediatric,Suspension,,Primary,bone_marrow,Male,DSMZ,b_cell,ACC 42,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906800.0,,63.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,697,697
A3KAW,ACH-000697,PT-T19rUu,A3/KAW,A3KAW,68.0,Commercial,SIDM00495,CVCL_1062,DLBCLNOS,Adult,Suspension,,Primary,ascites,Female,HSRRB,DLBCL,JCRB0101,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910935.0,,1511.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,A3/KAW,A3KAW
A4FUK,ACH-000157,PT-jcPkpq,A4/Fuk,A4FUK,52.0,Commercial,SIDM00502,CVCL_1064,DLBCLNOS,Adult,Suspension,,Primary,ascites,Female,JCRB,DLBCL,JCRB0097,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910934.0,,186.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,A4/FUK,A4FUK
A549,ACH-000681,PT-cqv92I,A549,A549,58.0,Commercial,SIDM00903,CVCL_0023,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CCL-185,A549_LUNG,905949.0,,369.0,,,MF-002-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,A549,A549
ABC1,ACH-000528,PT-id2eBb,ABC-1,ABC1,47.0,Commercial,SIDM00494,CVCL_1066,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,HSRRB,NSCLC_adenocarcinoma,JCRB0815,ABC1_LUNG,906791.0,,1557.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,ABC1,ABC1
ALLSIL,ACH-000105,PT-MYSpL6,ALL-SIL,ALLSIL,17.0,Commercial,SIDM00994,CVCL_1805,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,t_cell,ACC 511,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1295740.0,,2263.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,ALLSIL,ALLSIL
AMO1,ACH-000838,PT-CmSm57,AMO-1,AMO1,64.0,Commercial,SIDM00993,CVCL_1806,PCM,Adult,Suspension,,Primary,ascites,Female,DSMZ,plasmacytoma,ACC 538,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1295741.0,,1204.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,AMO1,AMO1
BEN,ACH-000603,PT-BPHtVG,BEN,BEN,71.0,Commercial,SIDM00990,CVCL_1082,NSCLC,Adult,Adherent,,Metastatic,lymph_node,Male,DSMZ,,ACC 254,BEN_LUNG,753534.0,,971.0,,,,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,BEN,BEN
BL41,ACH-000245,PT-IrNAYx,BL-41,BL41,8.0,Commercial,SIDM00985,CVCL_1087,BL,Pediatric,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell_burkitt,,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910706.0,,737.0,,,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,BL41,BL41
BV173,ACH-000432,PT-6P3A35,BV-173,BV173,45.0,Commercial,SIDM00962,CVCL_0181,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,blast_crisis,ACC 20,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910710.0,,321.0,,,MF-001-021,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,BV173,BV173
CA46,ACH-000440,PT-1BkfPG,CA46,CA46,,Commercial,SIDM00907,CVCL_1101,BL,Unknown,Suspension,,Primary,ascites,Male,ATCC,b_cell_burkitt,CRL-1648,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910703.0,,1190.0,,Unknown,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,CA46,CA46
CAL12T,ACH-000826,PT-nAjtb0,CAL-12T,CAL12T,,Commercial,SIDM00939,CVCL_1105,NSCLC,Unknown,Adherent,,Primary,lung,Male,DSMZ,,ACC 443,CAL12T_LUNG,753540.0,,2252.0,,,MF-002-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,CAL12T,CAL12T
CALU3,ACH-000392,PT-v3MIz8,Calu-3,CALU3,25.0,Commercial,SIDM00922,CVCL_0609,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,HTB-55,CALU3_LUNG,687777.0,,219.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CALU3,CALU3
CALU6,ACH-000264,PT-T9nCW5,Calu-6,CALU6,61.0,Commercial,SIDM00921,CVCL_0236,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,,HTB-56,CALU6_LUNG,724859.0,,1844.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CALU6,CALU6
CHAGOK1,ACH-000867,PT-3nyeTa,ChaGo-K-1,CHAGOK1,45.0,Commercial,SIDM00924,CVCL_1121,NSCLC,Adult,Adherent,,Metastatic,lung,Male,ECACC,,96020948,CHAGOK1_LUNG,687596.0,,1605.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,CHAGOK1,CHAGOK1
CMK,ACH-000641,PT-XYdNvp,CMK,CMK,0.0,Commercial,SIDM00959,CVCL_0216,MLADS,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M7,,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910566.0,,734.0,,,MF-001-020,,MLADS,Myeloid Leukemia Associated with Down Syndrome,Acute Myeloid Leukemia,Myeloid,CMK,CMK
CMLT1,ACH-000920,PT-9UeFHL,CML-T1,CMLT1,36.0,Commercial,SIDM00958,CVCL_1126,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,blast_crisis,7,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910951.0,,160.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,CMLT1,CMLT1
COLO668,ACH-000803,PT-dQkCfQ,COLO 668,COLO668,47.0,Commercial,SIDM00143,CVCL_1128,SCLC,Adult,Suspension,,Metastatic,central_nervous_system,Female,ECACC,,87061209,COLO668_LUNG,910692.0,,1072.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,COLO668,COLO668
CORL105,ACH-000161,PT-G4xjbZ,COR-L105,CORL105,,Commercial,SIDM00513,CVCL_1138,LUAD,Unknown,Adherent,,Metastatic,pleural_effusion,Male,ECACC,NSCLC_adenocarcinoma,92031918,CORL105_LUNG,906805.0,,22.0,,,MF-001-018,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CORL105,CORL105
CORL23,ACH-000662,PT-S1tr6I,COR-L23,CORL23,62.0,Commercial,SIDM00512,CVCL_1139,LCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ECACC,NSCLC_large_cell,92031919,CORL23_LUNG,687780.0,,1313.0,,,MF-001-003,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,CORL23,CORL23
CORL279,ACH-000257,PT-7LsK3v,COR-L279,CORL279,63.0,Commercial,SIDM00511,CVCL_1140,SCLC,Adult,Mixed,,Metastatic,lymph_node,Male,ECACC,,96020724,CORL279_LUNG,910937.0,,1768.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL279,CORL279
CORL311,ACH-000187,PT-bfVDxm,COR-L311,CORL311,63.0,Commercial,SIDM00509,CVCL_2412,SCLC,Adult,Suspension,,Primary,lung,Male,ECACC,,,CORL311_LUNG,687980.0,,1167.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL311,CORL311
CORL88,ACH-000508,PT-YUXlCn,COR-L88,CORL88,55.0,Commercial,SIDM00506,CVCL_1141,SCLC,Adult,Mixed,,Metastatic,pleural_effusion,Male,ECACC,,92031917,CORL88_LUNG,906808.0,,774.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL88,CORL88
CORL95,ACH-000743,PT-WpdjRA,COR-L95,CORL95,64.0,Commercial,SIDM00521,CVCL_2418,SCLC,Adult,Suspension,,Primary,lung,Male,ECACC,,,CORL95_LUNG,1297439.0,,1769.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL95,CORL95
DAUDI,ACH-000786,PT-ieeLlY,Daudi,DAUDI,16.0,Commercial,SIDM00845,CVCL_0008,BL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,b_cell_burkitt,CCL-213,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906831.0,,1783.0,,Unknown,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,DAUDI,DAUDI
DB,ACH-000334,PT-mgfMcU,DB,DB,45.0,Commercial,SIDM00886,CVCL_1168,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,ATCC,DLBCL,CRL-2289,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906832.0,,1185.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,DB,DB
DMS114,ACH-000530,PT-Dxq8HG,DMS 114,DMS114,68.0,Commercial,SIDM00865,CVCL_1174,SCLC,Adult,Adherent,,Primary,lung,Male,ATCC,,CRL-2066,DMS114_LUNG,687983.0,,1495.0,,,MF-020-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS114,DMS114
DMS273,ACH-000749,PT-d1NyBL,DMS 273,DMS273,50.0,Commercial,SIDM00522,CVCL_1176,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Female,ECACC,,95062830,DMS273_LUNG,687985.0,,1862.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS273,DMS273
DMS53,ACH-000698,PT-ERlBcq,DMS 53,DMS53,54.0,Commercial,SIDM00523,CVCL_1177,SCLC,Adult,Adherent,,Primary,lung,Male,ATCC,,CRL-2062,DMS53_LUNG,907295.0,,580.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS53,DMS53
DMS79,ACH-000703,PT-BeO6a2,DMS 79,DMS79,65.0,Commercial,SIDM00524,CVCL_1178,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Male,ATCC,,CRL-2049,DMS79_LUNG,753551.0,,300.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS79,DMS79
DND41,ACH-000981,PT-zhUnhJ,DND-41,DND41,13.0,Commercial,SIDM00946,CVCL_2022,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,525,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1297446.0,,1035.0,,,MF-001-020,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,DND41,DND41
DOHH2,ACH-000056,PT-QeK3sM,DOHH-2,DOHH2,60.0,Commercial,SIDM00981,CVCL_1179,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,ACC 47,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906842.0,,1339.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,DOHH2,DOHH2
EBC1,ACH-000563,PT-YTpbR2,EBC-1,EBC1,69.0,Commercial,SIDM00486,CVCL_2891,LUSC,Adult,Adherent,,Metastatic,skin,Male,RIKEN,NSCLC_squamous,RCB1965,EBC1_LUNG,753554.0,,1665.0,,,MF-006-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,EBC1,EBC1
EHEB,ACH-000038,PT-LoXnDo,EHEB,EHEB,69.0,Commercial,SIDM01049,CVCL_1194,BLL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906854.0,,39.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,EHEB,EHEB
EJM,ACH-000821,PT-G4TwMh,EJM,EJM,58.0,Commercial,SIDM01048,CVCL_2030,PCM,Adult,Mixed,,Primary,ascites,Female,DSMZ,,ACC-560,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1297447.0,,567.0,,,MF-005-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,EJM,EJM
EM2,ACH-000295,PT-PfwDZx,EM-2,EM2,5.0,Commercial,SIDM01047,CVCL_1196,CMLBCRABL1,Pediatric,Suspension,,,bone_marrow,Female,DSMZ,blast_crisis,ACC 135,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906855.0,,901.0,,,MF-001-001,,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid,EM2,EM2
EPLC272H,ACH-000585,PT-HU0uli,EPLC-272H,EPLC272H,57.0,Commercial,SIDM01044,CVCL_1197,LUSC,Adult,Adherent,,Primary,lung,Male,DSMZ,NSCLC_squamous,,EPLC272H_LUNG,753556.0,,404.0,,,MF-001-020,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,EPLC272H,EPLC272H
GA10,ACH-000162,PT-MGPf78,GA-10,GA10,41.0,Commercial,SIDM00854,CVCL_1222,BL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,b_cell_burkitt,CRL-2392,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1303896.0,,1008.0,,,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,GA10,GA10
GDM1,ACH-000081,PT-OtgTTm,GDM-1,GDM1,66.0,Commercial,SIDM01057,CVCL_1230,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,,CRL-2627,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906870.0,,164.0,,,MF-001-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,GDM1,GDM1
GRANTA519,ACH-000073,PT-wktVrL,GRANTA-519,GRANTA519,58.0,Commercial,SIDM01058,CVCL_1818,MCL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell_mantle_cell,ACC 342,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1303897.0,,1776.0,,,MF-002-003,,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,GRANTA519,GRANTA519
HARA,ACH-000843,PT-gQzNzd,HARA,HARA,57.0,Commercial,SIDM00598,CVCL_2914,LUSC,Adult,Adherent,,Metastatic,pleural_effusion,Male,HSRRB,NSCLC_squamous,JCRB1080.0,HARA_LUNG,1240142.0,,350.0,,,MF-001-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,HARA,HARA
HCC15,ACH-000878,PT-WMdXaj,HCC-15,HCC15,47.0,Commercial,SIDM01072,CVCL_2057,LUSC,Adult,Adherent,,Primary,lung,Male,DSMZ,NSCLC_squamous,ACC 496,HCC15_LUNG,1240143.0,,1368.0,,,MF-001-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,HCC15,HCC15
HCC33,ACH-000515,PT-BuE22y,HCC-33,HCC33,52.0,Commercial,SIDM01071,CVCL_2058,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,,ACC-487,HCC33_LUNG,1303901.0,,353.0,,,MF-001-020,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,HCC33,HCC33
HCC366,ACH-000840,PT-1JVU53,HCC-366,HCC366,80.0,Commercial,SIDM01070,CVCL_2059,LUAS,Adult,Adherent,,Primary,lung,Female,DSMZ,NSCLC_adenosquamous,,HCC366_LUNG,1240144.0,,638.0,,,MF-001-001,,LUAS,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung,HCC366,HCC366
HCC44,ACH-000667,PT-uY17tx,HCC-44,HCC44,54.0,Commercial,SIDM01069,CVCL_2060,LUAD,Adult,Adherent,,Primary,lung,Female,DSMZ,NSCLC_adenocarcinoma,ACC 534,HCC44_LUNG,1240145.0,,1247.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,HCC44,HCC44
HCC78,ACH-000562,PT-TdkTP0,HCC-78,HCC78,65.0,Commercial,SIDM01068,CVCL_2061,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,DSMZ,NSCLC_adenocarcinoma,ACC 563,HCC78_LUNG,1290908.0,,639.0,,,,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,HCC78,HCC78
HCC827,ACH-000012,PT-NdspH5,HCC-827,HCC827,39.0,Commercial,SIDM01067,CVCL_2063,LUAD,Adult,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-2868,HCC827_LUNG,1240146.0,,354.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,HCC827,HCC827
HDLM2,ACH-000267,PT-YdqP9d,HDLM-2,HDLM2,74.0,Commercial,SIDM01064,CVCL_0009,HL,Adult,Suspension,,,pleural_effusion,Male,DSMZ,,,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,924110.0,,1510.0,,,MF-001-001,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid,HDLM2,HDLM2
HEL,ACH-000004,PT-q4K2cp,HEL,HEL,30.0,Commercial,SIDM00594,CVCL_0001,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M6,ACC 11,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907053.0,,783.0,,Post-treatment,MF-001-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,HEL,HEL
HH,ACH-000061,PT-hDGIfb,HH,HH,61.0,Commercial,SIDM00671,CVCL_1280,MTNN,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,t_cell_cutaneous,CRL-2105,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907056.0,,310.0,,,MF-001-001,,MTNN,Mature T and NK Neoplasms,Non-Hodgkin Lymphoma,Lymphoid,HH,HH
HL60,ACH-000002,PT-5qa3uk,HL-60,HL60,36.0,Commercial,SIDM00829,CVCL_0002,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,M3,CCL-240,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,905938.0,,55.0,,,MF-005-001,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,HL60,HL60
HT,ACH-000914,PT-zrYGap,HT,HT,70.0,Commercial,SIDM00661,CVCL_1290,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,ATCC,b_cell,CRL-2260,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907063.0,,745.0,,Unknown,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,HT,HT
IALM,ACH-000672,PT-C7amr4,IA-LM,IALM,68.0,Commercial,SIDM00306,CVCL_1302,LCLC,Adult,Adherent,,Metastatic,skin,Male,RIKEN,NSCLC_large_cell,RCB0554,IALM_LUNG,910779.0,,1792.0,,,MF-004-001,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,IALM,IALM
JEKO1,ACH-000357,PT-97FBgP,JeKo-1,JEKO1,78.0,Commercial,SIDM01038,CVCL_1865,MCL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell_mantle_cell,ACC 553,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1327765.0,,2118.0,,,MF-001-020,,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,JEKO1,JEKO1
JM1,ACH-000151,PT-t7KWtB,JM1,JM1,,Commercial,SIDM00689,CVCL_3532,BLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,b_cell,CEL-10423,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1327768.0,,2096.0,,,MF-005-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,JM1,JM1
JURKAT,ACH-000995,PT-lj83Ht,JURKAT,JURKAT,14.0,Commercial,SIDM01016,CVCL_0065,TLL,Pediatric,Adherent,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,t_cell,282,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,998184.0,,1210.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,JURKAT,JURKAT
JURLMK1,ACH-000326,PT-mEKuqA,JURL-MK1,JURLMK1,73.0,Commercial,SIDM01015,CVCL_2086,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,blast_crisis,ACC 532,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1327771.0,,1807.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,JURLMK1,JURLMK1
JVM2,ACH-000106,PT-JfG7uC,JVM-2,JVM2,63.0,Commercial,SIDM01013,CVCL_1319,MCL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell_mantle_cell,,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907269.0,,764.0,,,MF-001-001,,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,JVM2,JVM2
JVM3,ACH-000346,PT-Qpiidf,JVM-3,JVM3,73.0,Commercial,SIDM01012,CVCL_1320,BPLL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell,ACC 18,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907270.0,,1632.0,,,MF-001-001,,BPLL,B-Cell Prolymphocytic Leukemia,Non-Hodgkin Lymphoma,Lymphoid,JVM3,JVM3
K562,ACH-000551,PT-y8u0p3,K-562,K562,53.0,Commercial,SIDM00791,CVCL_0004,CMLBCRABL1,Adult,Suspension,,Metastatic,pleural_effusion,Female,ATCC,blast_crisis,CCL-243,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,905940.0,,2098.0,,,MF-005-001,,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid,K562,K562
KARPAS422,ACH-000315,PT-lrPA2x,KARPAS-422,KARPAS422,73.0,Commercial,SIDM01008,CVCL_1325,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Female,DSMZ,DLBCL,ACC 32,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907274.0,,1973.0,,,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,KARPAS422,KARPAS422
KCL22,ACH-000983,PT-AcI1bM,KCL-22,KCL22,32.0,Commercial,SIDM01004,CVCL_2091,CML,Adult,Suspension,,,pleural_effusion,Female,DSMZ,blast_crisis,ACC 519,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330931.0,,1513.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,KCL22,KCL22
KG1,ACH-000386,PT-7cCzYA,KG-1,KG1,59.0,Commercial,SIDM00785,CVCL_0374,AML,Adult,Suspension,,Primary,bone_marrow,Male,ATCC,,CCL-246,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907278.0,,193.0,,,MF-005-004,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,KG1,KG1
KMH2,ACH-000815,PT-6Uzxpn,KM-H2,KMH2,37.0,Commercial,SIDM01018,CVCL_1330,HL,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,,ACC 8,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909976.0,,313.0,,,,,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid,KMH2,KMH2
KMS11,ACH-000714,PT-KR5FTA,KMS-11,KMS11,67.0,Commercial,SIDM00608,CVCL_2989,PCM,Adult,Suspension,,Primary,pleural_effusion,Female,HSRRB,,JCRB1179,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1659817.0,,1308.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,KMS11,KMS11
KMS12BM,ACH-000380,PT-n47XwC,KMS-12-BM,KMS12BM,64.0,Commercial,SIDM01020,CVCL_1334,PCM,Adult,Suspension,,Primary,bone_marrow,Female,DSMZ,,ACC 551,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907281.0,,2087.0,,,MF-001-020,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,KMS12BM,KMS12BM
KNS62,ACH-000858,PT-obWM4y,KNS-62,KNS62,49.0,Commercial,SIDM00606,CVCL_1335,LUSC,Adult,Adherent,,Metastatic,central_nervous_system,Male,ATCC,NSCLC_squamous,Cannot find on ATCC website,KNS62_LUNG,753569.0,,1369.0,,,MF-003-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,KNS62,KNS62
