expression_name,target_name,standardized
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG1,KG1
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LOUCY,LOUCY
NCIH1648_LUNG,NCIH1648,NCIH1648
NCIH23_LUNG,NCIH23,NCIH23
NCIH1623_LUNG,NCIH1623,NCIH1623
NCIH1836_LUNG,NCIH1836,NCIH1836
RERFLCKJ_LUNG,RERFLCKJ,RERFLCKJ
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG01,MEG01
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REH,REH
DMS114_LUNG,DMS114,DMS114
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ST486,ST486
CALU3_LUNG,CALU3,CALU3
NCIH1435_LUNG,NCIH1435,NCIH1435
NCIH2009_LUNG,NCIH2009,NCIH2009
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812,KU812
SHP77_LUNG,SHP77,SHP77
NCIH841_LUNG,NCIH841,NCIH841
NCIH1944_LUNG,NCIH1944,NCIH1944
NCIH2405_LUNG,NCIH2405,NCIH2405
BEN_LUNG,BEN,BEN
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8402,RPMI8402
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL1,SUDHL1
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12ICHIKAWA,P12ICHIKAWA
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM3,JVM3
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO1,NOMO1
NCIH727_LUNG,NCIH727,NCIH727
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL22,KCL22
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM2,EM2
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM2,OPM2
LCLC103H_LUNG,LCLC103H,LCLC103H
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURKAT,JURKAT
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,697
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL2,MHHCALL2
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L428,L428
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT16,MOLT16
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,NB4
LCLC97TM1_LUNG,LCLC97TM1,LCLC97TM1
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM2,JVM2
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L363,L363
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMH2,KMH2
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NUDUL1,NUDUL1
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL6,SUDHL6
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIM1,OCIM1
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIGM5,SIGM5
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL5,SUDHL5
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCHACV,RCHACV
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM16,MOLM16
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EJM,EJM
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,WSUDLCL2,WSUDLCL2
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO1,AMO1
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP8,MOLP8
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519,GRANTA519
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC6,MONOMAC6
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT13,MOLT13
HCC827_LUNG,HCC827,HCC827
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALLSIL,ALLSIL
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DND41,DND41
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ME1,ME1
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JEKO1,JEKO1
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,OCIAML3
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL10,SUDHL10
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL4,SUDHL4
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY19,OCILY19
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKMM2,SKMM2
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA84,LAMA84
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMLT1,CMLT1
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB,EHEB
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BV173,BV173
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH2,DOHH2
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM6,NALM6
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP1,LP1
LXF289_LUNG,LXF289,LXF289
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,PL21
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF382,PF382
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,OCIAML2
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURLMK1,JURLMK1
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,OCIAML5
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS422,KARPAS422
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L540,L540
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM2,HDLM2
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KOPN8,KOPN8
NCIH2110_LUNG,NCIH2110,NCIH2110
CHAGOK1_LUNG,CHAGOK1,CHAGOK1
DMS273_LUNG,DMS273,DMS273
CORL311_LUNG,CORL311,CORL311
NCIH2081_LUNG,NCIH2081,NCIH2081
