drug,theme_APOPTOSIS_BCL2,theme_CELL_CYCLE_MITOSIS_KINASE,theme_CHROMATIN_EPIGENETIC,theme_DNA_REPLICATION_GENOME_INTEGRITY,theme_EPH_RECEPTOR_SIGNALING,theme_ERBB_EGFR_FAMILY_RTK,theme_ION_CHANNEL_TRANSPORTER,theme_JNK_P38_STRESS_MAPK,theme_MAP2K_MEK_ERK_RAF_CASCADE,theme_MET_HGF_RTK,theme_PARP_DNA_REPAIR_CHECKPOINT,theme_PI3K_AKT_MTOR,theme_PROTEOSTASIS,theme_RTK_SIGNALING_BROAD,theme_SER_THR_KINASE_SIGNALING,theme_SRC_LCK_NONRECEPTOR_TK,theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK
AS601245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS605240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AST-1306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ASTEMIZOLE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT-7519,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT13148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AT7867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AV-412,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVL-292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AXITINIB,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
AZ-628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AZ628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
