drug,source,field,token_original,token_norm,feature
ERLOTINIB,drug_sample,PUTATIVE_TARGET,EGFR,EGFR,rawtok_EGFR
ERLOTINIB,drug_sample,PUTATIVE_TARGET,NR1I2,NR1I2,rawtok_NR1I2
ERLOTINIB,drug_sample,PATHWAY_NAME,EGFR signaling,EGFR SIGNALING,rawtok_EGFR_SIGNALING
RAPAMYCIN,drug_sample,PUTATIVE_TARGET,MTORC1,MTORC1,rawtok_MTORC1
RAPAMYCIN,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
RAPAMYCIN,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
SUNITINIB,drug_sample,PUTATIVE_TARGET,CSF1R,CSF1R,rawtok_CSF1R
SUNITINIB,drug_sample,PUTATIVE_TARGET,FGFR1,FGFR1,rawtok_FGFR1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT1,FLT1,rawtok_FLT1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT4,FLT4,rawtok_FLT4
SUNITINIB,drug_sample,PUTATIVE_TARGET,KDR,KDR,rawtok_KDR
SUNITINIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFR,PDGFR,rawtok_PDGFR
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRA,PDGFRA,rawtok_PDGFRA
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
SUNITINIB,drug_sample,PUTATIVE_TARGET,RET,RET,rawtok_RET
SUNITINIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR,rawtok_VEGFR
SUNITINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
PHA-665752,drug_sample,PUTATIVE_TARGET,MET,MET,rawtok_MET
PHA-665752,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
MG-132,drug_sample,PUTATIVE_TARGET,CAPN1,CAPN1,rawtok_CAPN1
MG-132,drug_sample,PUTATIVE_TARGET,PSMB1,PSMB1,rawtok_PSMB1
MG-132,drug_sample,PUTATIVE_TARGET,Proteasome,PROTEASOME,rawtok_PROTEASOME
MG-132,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEIN STABILITY AND DEGRADATION,rawtok_PROTEIN_STABILITY_AND_DEGRADATION
PACLITAXEL,drug_sample,PUTATIVE_TARGET,BCL2,BCL2,rawtok_BCL2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP2,MAP2,rawtok_MAP2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP4,MAP4,rawtok_MAP4
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAPT,MAPT,rawtok_MAPT
PACLITAXEL,drug_sample,PUTATIVE_TARGET,Microtubule stabiliser,MICROTUBULE STABILISER,rawtok_MICROTUBULE_STABILISER
PACLITAXEL,drug_sample,PUTATIVE_TARGET,NR1I2,NR1I2,rawtok_NR1I2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TLR4,TLR4,rawtok_TLR4
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TUBB,TUBB,rawtok_TUBB
PACLITAXEL,drug_sample,PUTATIVE_TARGET,TUBB1,TUBB1,rawtok_TUBB1
PACLITAXEL,drug_sample,PATHWAY_NAME,Mitosis,MITOSIS,rawtok_MITOSIS
CYCLOPAMINE,drug_sample,PUTATIVE_TARGET,SMO,SMO,rawtok_SMO
AZ628,drug_sample,PUTATIVE_TARGET,BRAF,BRAF,rawtok_BRAF
AZ628,drug_sample,PATHWAY_NAME,ERK MAPK signaling,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING
SORAFENIB,drug_sample,PUTATIVE_TARGET,BRAF,BRAF,rawtok_BRAF
SORAFENIB,drug_sample,PUTATIVE_TARGET,DDR2,DDR2,rawtok_DDR2
SORAFENIB,drug_sample,PUTATIVE_TARGET,FGFR1,FGFR1,rawtok_FGFR1
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT1,FLT1,rawtok_FLT1
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT4,FLT4,rawtok_FLT4
SORAFENIB,drug_sample,PUTATIVE_TARGET,KDR,KDR,rawtok_KDR
SORAFENIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
SORAFENIB,drug_sample,PUTATIVE_TARGET,PDGFR,PDGFR,rawtok_PDGFR
SORAFENIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
SORAFENIB,drug_sample,PUTATIVE_TARGET,RAF,RAF,rawtok_RAF
SORAFENIB,drug_sample,PUTATIVE_TARGET,RAF1,RAF1,rawtok_RAF1
SORAFENIB,drug_sample,PUTATIVE_TARGET,RET,RET,rawtok_RET
SORAFENIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR,rawtok_VEGFR
SORAFENIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
SORAFENIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKA,AURKA,rawtok_AURKA
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKB,AURKB,rawtok_AURKB
TOZASERTIB,drug_sample,PUTATIVE_TARGET,AURKC,AURKC,rawtok_AURKC
TOZASERTIB,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
TOZASERTIB,drug_sample,PUTATIVE_TARGET,others,OTHERS,rawtok_OTHERS
TOZASERTIB,drug_sample,PATHWAY_NAME,Mitosis,MITOSIS,rawtok_MITOSIS
IMATINIB,drug_sample,PUTATIVE_TARGET,ABL,ABL,rawtok_ABL
IMATINIB,drug_sample,PUTATIVE_TARGET,ABL1,ABL1,rawtok_ABL1
IMATINIB,drug_sample,PUTATIVE_TARGET,CSF1R,CSF1R,rawtok_CSF1R
IMATINIB,drug_sample,PUTATIVE_TARGET,DDR1,DDR1,rawtok_DDR1
IMATINIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
IMATINIB,drug_sample,PUTATIVE_TARGET,NTRK1,NTRK1,rawtok_NTRK1
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFR,PDGFR,rawtok_PDGFR
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFRA,PDGFRA,rawtok_PDGFRA
IMATINIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
IMATINIB,drug_sample,PUTATIVE_TARGET,RET,RET,rawtok_RET
IMATINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
NVP-TAE684,drug_sample,PUTATIVE_TARGET,ALK,ALK,rawtok_ALK
NVP-TAE684,drug_sample,PUTATIVE_TARGET,INSR,INSR,rawtok_INSR
NVP-TAE684,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,ALK,ALK,rawtok_ALK
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,MET,MET,rawtok_MET
CRIZOTINIB,drug_sample,PUTATIVE_TARGET,ROS1,ROS1,rawtok_ROS1
CRIZOTINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
SARACATINIB,drug_sample,PUTATIVE_TARGET,ABL,ABL,rawtok_ABL
SARACATINIB,drug_sample,PUTATIVE_TARGET,ABL1,ABL1,rawtok_ABL1
SARACATINIB,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
SARACATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC,rawtok_SRC
SARACATINIB,drug_sample,PUTATIVE_TARGET,YES1,YES1,rawtok_YES1
SARACATINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
S-TRITYL-L-CYSTEINE,drug_sample,PUTATIVE_TARGET,KIF11,KIF11,rawtok_KIF11
S-TRITYL-L-CYSTEINE,drug_sample,PATHWAY_NAME,Mitosis,MITOSIS,rawtok_MITOSIS
Z-LLNLE-CHO,drug_sample,PUTATIVE_TARGET,gamma-secretase,GAMMA-SECRETASE,rawtok_GAMMA_SECRETASE
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL,ABL,rawtok_ABL
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL1,ABL1,rawtok_ABL1
DASATINIB,drug_sample,PUTATIVE_TARGET,ABL2,ABL2,rawtok_ABL2
DASATINIB,drug_sample,PUTATIVE_TARGET,BLK,BLK,rawtok_BLK
DASATINIB,drug_sample,PUTATIVE_TARGET,EPHA2,EPHA2,rawtok_EPHA2
DASATINIB,drug_sample,PUTATIVE_TARGET,Ephrins,EPHRINS,rawtok_EPHRINS
DASATINIB,drug_sample,PUTATIVE_TARGET,FGR,FGR,rawtok_FGR
DASATINIB,drug_sample,PUTATIVE_TARGET,FRK,FRK,rawtok_FRK
DASATINIB,drug_sample,PUTATIVE_TARGET,FYN,FYN,rawtok_FYN
DASATINIB,drug_sample,PUTATIVE_TARGET,HCK,HCK,rawtok_HCK
DASATINIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
DASATINIB,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
DASATINIB,drug_sample,PUTATIVE_TARGET,LYN,LYN,rawtok_LYN
DASATINIB,drug_sample,PUTATIVE_TARGET,PDGFR,PDGFR,rawtok_PDGFR
DASATINIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
DASATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC,rawtok_SRC
DASATINIB,drug_sample,PUTATIVE_TARGET,SRMS,SRMS,rawtok_SRMS
DASATINIB,drug_sample,PUTATIVE_TARGET,STAT5B,STAT5B,rawtok_STAT5B
DASATINIB,drug_sample,PUTATIVE_TARGET,YES1,YES1,rawtok_YES1
DASATINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
DASATINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
GNF-2,drug_sample,PUTATIVE_TARGET,BCR-ABL,BCR-ABL,rawtok_BCR_ABL
GNF-2,drug_sample,PATHWAY_NAME,ABL signaling,ABL SIGNALING,rawtok_ABL_SIGNALING
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK1,CDK1,rawtok_CDK1
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK2,CDK2,rawtok_CDK2
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK5,CDK5,rawtok_CDK5
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK7,CDK7,rawtok_CDK7
CGP-60474,drug_sample,PUTATIVE_TARGET,CDK9,CDK9,rawtok_CDK9
CGP-60474,drug_sample,PUTATIVE_TARGET,PKC,PKC,rawtok_PKC
CGP-60474,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
CGP-082996,drug_sample,PUTATIVE_TARGET,CDK4,CDK4,rawtok_CDK4
CGP-082996,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
A-770041,drug_sample,PUTATIVE_TARGET,FYN,FYN,rawtok_FYN
A-770041,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
A-770041,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
WH-4-023,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
WH-4-023,drug_sample,PUTATIVE_TARGET,SRC,SRC,rawtok_SRC
WH-4-023,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
WZ-1-84,drug_sample,PUTATIVE_TARGET,BMX,BMX,rawtok_BMX
WZ-1-84,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
BI-2536,drug_sample,PUTATIVE_TARGET,BRD4,BRD4,rawtok_BRD4
BI-2536,drug_sample,PUTATIVE_TARGET,PLK1,PLK1,rawtok_PLK1
BI-2536,drug_sample,PUTATIVE_TARGET,PLK2,PLK2,rawtok_PLK2
BI-2536,drug_sample,PUTATIVE_TARGET,PLK3,PLK3,rawtok_PLK3
BI-2536,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
BMS-536924,drug_sample,PUTATIVE_TARGET,IGF1R,IGF1R,rawtok_IGF1R
BMS-536924,drug_sample,PUTATIVE_TARGET,IR,IR,rawtok_IR
BMS-536924,drug_sample,PATHWAY_NAME,IGF1R signaling,IGF1R SIGNALING,rawtok_IGF1R_SIGNALING
BMS-509744,drug_sample,PUTATIVE_TARGET,ITK,ITK,rawtok_ITK
BMS-509744,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
CMK,drug_sample,PUTATIVE_TARGET,RSK2,RSK2,rawtok_RSK2
CMK,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,DHFR,DHFR,rawtok_DHFR
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,Dihydrofolate reductase (DHFR),DIHYDROFOLATE REDUCTASE (DHFR),rawtok_DIHYDROFOLATE_REDUCTASE_DHFR
PYRIMETHAMINE,drug_sample,PUTATIVE_TARGET,SLC47A1,SLC47A1,rawtok_SLC47A1
JW-7-52-1,drug_sample,PUTATIVE_TARGET,MTOR,MTOR,rawtok_MTOR
JW-7-52-1,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
JW-7-52-1,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
A-443654,drug_sample,PUTATIVE_TARGET,AKT1,AKT1,rawtok_AKT1
A-443654,drug_sample,PUTATIVE_TARGET,AKT2,AKT2,rawtok_AKT2
A-443654,drug_sample,PUTATIVE_TARGET,AKT3,AKT3,rawtok_AKT3
A-443654,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
A-443654,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
GW843682X,drug_sample,PUTATIVE_TARGET,PLK1,PLK1,rawtok_PLK1
GW843682X,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC1,HDAC1,rawtok_HDAC1
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC2,HDAC2,rawtok_HDAC2
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC3,HDAC3,rawtok_HDAC3
ENTINOSTAT,drug_sample,PUTATIVE_TARGET,HDAC9,HDAC9,rawtok_HDAC9
ENTINOSTAT,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
PARTHENOLIDE,drug_sample,PUTATIVE_TARGET,HDAC1,HDAC1,rawtok_HDAC1
PARTHENOLIDE,drug_sample,PATHWAY_NAME,Chromatin histone acetylation,CHROMATIN HISTONE ACETYLATION,rawtok_CHROMATIN_HISTONE_ACETYLATION
GSK319347A,drug_sample,PUTATIVE_TARGET,IKK,IKK,rawtok_IKK
GSK319347A,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
TGX221,drug_sample,PUTATIVE_TARGET,PI3Kbeta,PI3KBETA,rawtok_PI3KBETA
TGX221,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
TGX221,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA1,PSMA1,rawtok_PSMA1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA2,PSMA2,rawtok_PSMA2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA3,PSMA3,rawtok_PSMA3
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA4,PSMA4,rawtok_PSMA4
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA5,PSMA5,rawtok_PSMA5
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA6,PSMA6,rawtok_PSMA6
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA7,PSMA7,rawtok_PSMA7
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMA8,PSMA8,rawtok_PSMA8
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB1,PSMB1,rawtok_PSMB1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB10,PSMB10,rawtok_PSMB10
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB11,PSMB11,rawtok_PSMB11
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB2,PSMB2,rawtok_PSMB2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB3,PSMB3,rawtok_PSMB3
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB4,PSMB4,rawtok_PSMB4
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB5,PSMB5,rawtok_PSMB5
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB6,PSMB6,rawtok_PSMB6
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB7,PSMB7,rawtok_PSMB7
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB8,PSMB8,rawtok_PSMB8
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMB9,PSMB9,rawtok_PSMB9
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMD1,PSMD1,rawtok_PSMD1
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,PSMD2,PSMD2,rawtok_PSMD2
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,Proteasome,PROTEASOME,rawtok_PROTEASOME
BORTEZOMIB,drug_sample,PUTATIVE_TARGET,RELA,RELA,rawtok_RELA
BORTEZOMIB,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEIN STABILITY AND DEGRADATION,rawtok_PROTEIN_STABILITY_AND_DEGRADATION
XMD8-85,drug_sample,PUTATIVE_TARGET,BET,BET,rawtok_BET
XMD8-85,drug_sample,PUTATIVE_TARGET,ERK5,ERK5,rawtok_ERK5
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK2,CDK2,rawtok_CDK2
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK7,CDK7,rawtok_CDK7
SELICICLIB,drug_sample,PUTATIVE_TARGET,CDK9,CDK9,rawtok_CDK9
SELICICLIB,drug_sample,PATHWAY_NAME,Cell cycle,CELL CYCLE,rawtok_CELL_CYCLE
SALUBRINAL,drug_sample,PUTATIVE_TARGET,EIF2A,EIF2A,rawtok_EIF2A
LAPATINIB,drug_sample,PUTATIVE_TARGET,EGFR,EGFR,rawtok_EGFR
LAPATINIB,drug_sample,PUTATIVE_TARGET,ERBB2,ERBB2,rawtok_ERBB2
LAPATINIB,drug_sample,PATHWAY_NAME,EGFR signaling,EGFR SIGNALING,rawtok_EGFR_SIGNALING
LAPATINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
GSK269962A,drug_sample,PUTATIVE_TARGET,ROCK1,ROCK1,rawtok_ROCK1
GSK269962A,drug_sample,PUTATIVE_TARGET,ROCK2,ROCK2,rawtok_ROCK2
GSK269962A,drug_sample,PATHWAY_NAME,Cytoskeleton,CYTOSKELETON,rawtok_CYTOSKELETON
DOXORUBICIN,drug_sample,PUTATIVE_TARGET,Anthracycline,ANTHRACYCLINE,rawtok_ANTHRACYCLINE
DOXORUBICIN,drug_sample,PUTATIVE_TARGET,TOP2A,TOP2A,rawtok_TOP2A
DOXORUBICIN,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2,TOP2,rawtok_TOP2
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2A,TOP2A,rawtok_TOP2A
ETOPOSIDE,drug_sample,PUTATIVE_TARGET,TOP2B,TOP2B,rawtok_TOP2B
ETOPOSIDE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
GEMCITABINE,drug_sample,PUTATIVE_TARGET,CMPK1,CMPK1,rawtok_CMPK1
GEMCITABINE,drug_sample,PUTATIVE_TARGET,Pyrimidine antimetabolite,PYRIMIDINE ANTIMETABOLITE,rawtok_PYRIMIDINE_ANTIMETABOLITE
GEMCITABINE,drug_sample,PUTATIVE_TARGET,RRM1,RRM1,rawtok_RRM1
GEMCITABINE,drug_sample,PUTATIVE_TARGET,RRM2,RRM2,rawtok_RRM2
GEMCITABINE,drug_sample,PUTATIVE_TARGET,TYMS,TYMS,rawtok_TYMS
GEMCITABINE,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
MITOMYCIN-C,drug_sample,PUTATIVE_TARGET,DNA crosslinker,DNA CROSSLINKER,rawtok_DNA_CROSSLINKER
MITOMYCIN-C,drug_sample,PATHWAY_NAME,DNA replication,DNA REPLICATION,rawtok_DNA_REPLICATION
VINORELBINE,drug_sample,PUTATIVE_TARGET,Microtubule destabiliser,MICROTUBULE DESTABILISER,rawtok_MICROTUBULE_DESTABILISER
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1A,TUBA1A,rawtok_TUBA1A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1B,TUBA1B,rawtok_TUBA1B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA1C,TUBA1C,rawtok_TUBA1C
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3C,TUBA3C,rawtok_TUBA3C
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3D,TUBA3D,rawtok_TUBA3D
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA3E,TUBA3E,rawtok_TUBA3E
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBA4A,TUBA4A,rawtok_TUBA4A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB,TUBB,rawtok_TUBB
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB1,TUBB1,rawtok_TUBB1
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB2A,TUBB2A,rawtok_TUBB2A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB2B,TUBB2B,rawtok_TUBB2B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB3,TUBB3,rawtok_TUBB3
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB4A,TUBB4A,rawtok_TUBB4A
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB4B,TUBB4B,rawtok_TUBB4B
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB6,TUBB6,rawtok_TUBB6
VINORELBINE,drug_sample,PUTATIVE_TARGET,TUBB8,TUBB8,rawtok_TUBB8
VINORELBINE,drug_sample,PATHWAY_NAME,Mitosis,MITOSIS,rawtok_MITOSIS
NSC-87877,drug_sample,PUTATIVE_TARGET,SHP-1 (PTPN6),SHP-1 (PTPN6),rawtok_SHP_1_PTPN6
NSC-87877,drug_sample,PUTATIVE_TARGET,SHP-2 (PTPN11),SHP-2 (PTPN11),rawtok_SHP_2_PTPN11
BICALUTAMIDE,drug_sample,PUTATIVE_TARGET,AR,AR,rawtok_AR
BICALUTAMIDE,drug_sample,PATHWAY_NAME,Hormone-related,HORMONE-RELATED,rawtok_HORMONE_RELATED
QS11,drug_sample,PUTATIVE_TARGET,ARFGAP1,ARFGAP1,rawtok_ARFGAP1
CP466722,drug_sample,PUTATIVE_TARGET,ATM,ATM,rawtok_ATM
CP466722,drug_sample,PATHWAY_NAME,Genome integrity,GENOME INTEGRITY,rawtok_GENOME_INTEGRITY
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT1,FLT1,rawtok_FLT1
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PKC,PKC,rawtok_PKC
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PPK,PPK,rawtok_PPK
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,PRKCG,PRKCG,rawtok_PRKCG
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,c-FGR,C-FGR,rawtok_C_FGR
MIDOSTAURIN,drug_sample,PUTATIVE_TARGET,others,OTHERS,rawtok_OTHERS
CHIR-99021,drug_sample,PUTATIVE_TARGET,CDK1,CDK1,rawtok_CDK1
CHIR-99021,drug_sample,PUTATIVE_TARGET,GSK3A,GSK3A,rawtok_GSK3A
CHIR-99021,drug_sample,PUTATIVE_TARGET,GSK3B,GSK3B,rawtok_GSK3B
CHIR-99021,drug_sample,PUTATIVE_TARGET,MAPK1,MAPK1,rawtok_MAPK1
CHIR-99021,drug_sample,PATHWAY_NAME,WNT signaling,WNT SIGNALING,rawtok_WNT_SIGNALING
PONATINIB,drug_sample,PUTATIVE_TARGET,ABL,ABL,rawtok_ABL
PONATINIB,drug_sample,PUTATIVE_TARGET,ABL1,ABL1,rawtok_ABL1
PONATINIB,drug_sample,PUTATIVE_TARGET,BCR,BCR,rawtok_BCR
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR1,FGFR1,rawtok_FGFR1
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR2,FGFR2,rawtok_FGFR2
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR3,FGFR3,rawtok_FGFR3
PONATINIB,drug_sample,PUTATIVE_TARGET,FGFR4,FGFR4,rawtok_FGFR4
PONATINIB,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
PONATINIB,drug_sample,PUTATIVE_TARGET,KDR,KDR,rawtok_KDR
PONATINIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
PONATINIB,drug_sample,PUTATIVE_TARGET,LCK,LCK,rawtok_LCK
PONATINIB,drug_sample,PUTATIVE_TARGET,LYN,LYN,rawtok_LYN
PONATINIB,drug_sample,PUTATIVE_TARGET,PDGFRA,PDGFRA,rawtok_PDGFRA
PONATINIB,drug_sample,PUTATIVE_TARGET,RET,RET,rawtok_RET
PONATINIB,drug_sample,PUTATIVE_TARGET,SRC,SRC,rawtok_SRC
PONATINIB,drug_sample,PUTATIVE_TARGET,TEK,TEK,rawtok_TEK
PONATINIB,drug_sample,PUTATIVE_TARGET,TIE2,TIE2,rawtok_TIE2
PONATINIB,drug_sample,PUTATIVE_TARGET,VEGFR2,VEGFR2,rawtok_VEGFR2
PONATINIB,drug_sample,PATHWAY_NAME,kinases,KINASES,rawtok_KINASES
AZD6482,drug_sample,PUTATIVE_TARGET,PI3Kbeta,PI3KBETA,rawtok_PI3KBETA
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CA,PIK3CA,rawtok_PIK3CA
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CB,PIK3CB,rawtok_PIK3CB
AZD6482,drug_sample,PUTATIVE_TARGET,PIK3CD,PIK3CD,rawtok_PIK3CD
