feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_ITGB2,ITGB2,1,1,drug_sample,PUTATIVE_TARGET,ITGB2
rawtok_IV,IV,1,1,drug_sample,PUTATIVE_TARGET,IV
rawtok_JNK,JNK,1,1,drug_sample,PUTATIVE_TARGET,JNK
rawtok_KCNA10,KCNA10,1,1,drug_sample,PUTATIVE_TARGET,KCNA10
rawtok_KCNA2,KCNA2,1,1,drug_sample,PUTATIVE_TARGET,KCNA2
rawtok_KCNA7,KCNA7,1,1,drug_sample,PUTATIVE_TARGET,KCNA7
rawtok_KCNH5,KCNH5,1,1,drug_sample,PUTATIVE_TARGET,KCNH5
rawtok_KCNJ10,KCNJ10,1,1,drug_sample,PUTATIVE_TARGET,KCNJ10
rawtok_KCNJ12,KCNJ12,1,1,drug_sample,PUTATIVE_TARGET,KCNJ12
rawtok_KCNJ8,KCNJ8,1,1,drug_sample,PUTATIVE_TARGET,KCNJ8
rawtok_KCNK18,KCNK18,1,1,drug_sample,PUTATIVE_TARGET,KCNK18
rawtok_KCNK4,KCNK4,1,1,drug_sample,PUTATIVE_TARGET,KCNK4
rawtok_KCNN1,KCNN1,1,1,drug_sample,PUTATIVE_TARGET,KCNN1
rawtok_KCNN2,KCNN2,1,1,drug_sample,PUTATIVE_TARGET,KCNN2
rawtok_KCNQ1,KCNQ1,1,1,drug_sample,PUTATIVE_TARGET,KCNQ1
rawtok_KCNQ2,KCNQ2,1,1,drug_sample,PUTATIVE_TARGET,KCNQ2
rawtok_KCNQ4,KCNQ4,1,1,drug_sample,PUTATIVE_TARGET,KCNQ4
rawtok_KCNQ5,KCNQ5,1,1,drug_sample,PUTATIVE_TARGET,KCNQ5
rawtok_KCNT2,KCNT2,1,1,drug_sample,PUTATIVE_TARGET,KCNT2
rawtok_KDM1,KDM1,1,1,drug_sample,PUTATIVE_TARGET,KDM1
rawtok_KDM3A,KDM3A,1,1,drug_sample,PUTATIVE_TARGET,KDM3A
rawtok_KDM4A,KDM4A,1,1,drug_sample,PUTATIVE_TARGET,KDM4A
rawtok_KDM4C,KDM4C,1,1,drug_sample,PUTATIVE_TARGET,KDM4C
rawtok_KDM6A,KDM6A,1,1,drug_sample,PUTATIVE_TARGET,KDM6A
rawtok_KRAS,KRAS,1,1,drug_sample,PUTATIVE_TARGET,KRAS
rawtok_KRAS_G12C,KRAS (G12C),1,1,drug_sample,PUTATIVE_TARGET,KRAS (G12C)
rawtok_KRT7,KRT7,1,1,drug_sample,PUTATIVE_TARGET,KRT7
rawtok_KS6B1_P70S6K,KS6B1 (P70S6K),1,1,drug_sample,PUTATIVE_TARGET,KS6B1 (p70S6K)
rawtok_KSP,KSP,1,1,drug_sample,PUTATIVE_TARGET,KSP
rawtok_KSP11,KSP11,1,1,drug_sample,PUTATIVE_TARGET,KSP11
rawtok_L3MBTL3,L3MBTL3,1,1,drug_sample,PUTATIVE_TARGET,L3MBTL3
rawtok_LAP3,LAP3,1,1,drug_sample,PUTATIVE_TARGET,LAP3
rawtok_LDLR,LDLR,1,1,drug_sample,PUTATIVE_TARGET,LDLR
rawtok_LEUKOTRIENE_A_4_HYDROLASE,LEUKOTRIENE A-4 HYDROLASE,1,1,targets,single_protein_pref_name,Leukotriene A-4 hydrolase
rawtok_LIM_DOMAIN_KINASE_2,LIM DOMAIN KINASE 2,1,1,targets,single_protein_pref_name,LIM domain kinase 2
rawtok_LPAR3,LPAR3,1,1,drug_sample,PUTATIVE_TARGET,LPAR3
rawtok_LSD1,LSD1,1,1,drug_sample,PUTATIVE_TARGET,LSD1
rawtok_LSM6,LSM6,1,1,drug_sample,PUTATIVE_TARGET,LSM6
rawtok_LTA4H,LTA4H,1,1,drug_sample,PUTATIVE_TARGET,LTA4H
rawtok_LTK,LTK,1,1,drug_sample,PUTATIVE_TARGET,LTK
rawtok_LXR,LXR,1,1,drug_sample,PUTATIVE_TARGET,LXR
rawtok_LYSINE_SPECIFIC_DEMETHYLASE_4B,LYSINE-SPECIFIC DEMETHYLASE 4B,1,1,targets,single_protein_pref_name,Lysine-specific demethylase 4B
rawtok_LYSINE_SPECIFIC_DEMETHYLASE_4C,LYSINE-SPECIFIC DEMETHYLASE 4C,1,1,targets,single_protein_pref_name,Lysine-specific demethylase 4C
rawtok_LYSINE_SPECIFIC_DEMETHYLASE_4E,LYSINE-SPECIFIC DEMETHYLASE 4E,1,1,targets,single_protein_pref_name,Lysine-specific demethylase 4E
rawtok_LYSINE_SPECIFIC_DEMETHYLASE_5A,LYSINE-SPECIFIC DEMETHYLASE 5A,1,1,targets,single_protein_pref_name,Lysine-specific demethylase 5A
rawtok_LYSINE_SPECIFIC_DEMETHYLASE_6B,LYSINE-SPECIFIC DEMETHYLASE 6B,1,1,targets,single_protein_pref_name,Lysine-specific demethylase 6B
rawtok_LYSOSOMAL_ACID_GLUCOSYLCERAMIDASE,LYSOSOMAL ACID GLUCOSYLCERAMIDASE,1,1,targets,single_protein_pref_name,Lysosomal acid glucosylceramidase
rawtok_M6PR,M6PR,1,1,drug_sample,PUTATIVE_TARGET,M6PR
rawtok_MAN1B1,MAN1B1,1,1,drug_sample,PUTATIVE_TARGET,MAN1B1
rawtok_MAN2A1,MAN2A1,1,1,drug_sample,PUTATIVE_TARGET,MAN2A1
rawtok_MAP_KINASE_P38_ALPHA_INHIBITOR,MAP KINASE P38 ALPHA INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,MAP kinase p38 alpha inhibitor
rawtok_MAP_KINASE_ACTIVATED_PROTEIN_KINASE_5,MAP KINASE-ACTIVATED PROTEIN KINASE 5,1,1,targets,single_protein_pref_name,MAP kinase-activated protein kinase 5
rawtok_MAP2K5,MAP2K5,1,1,drug_sample,PUTATIVE_TARGET,MAP2K5
rawtok_MAP2K7,MAP2K7,1,1,drug_sample,PUTATIVE_TARGET,MAP2K7
rawtok_MAP3K1,MAP3K1,1,1,drug_sample,PUTATIVE_TARGET,MAP3K1
rawtok_MAP4K2,MAP4K2,1,1,drug_sample,PUTATIVE_TARGET,MAP4K2
rawtok_MAP4K5,MAP4K5,1,1,drug_sample,PUTATIVE_TARGET,MAP4K5
rawtok_MAPK3,MAPK3,1,1,drug_sample,PUTATIVE_TARGET,MAPK3
rawtok_MARK3,MARK3,1,1,drug_sample,PUTATIVE_TARGET,MARK3
rawtok_MCL_1,MCL-1,1,1,drug_sample,PUTATIVE_TARGET,MCL-1
rawtok_MCT1,MCT1,1,1,drug_sample,PUTATIVE_TARGET,MCT1
rawtok_MCT4,MCT4,1,1,drug_sample,PUTATIVE_TARGET,MCT4
rawtok_MDM4,MDM4,1,1,drug_sample,PUTATIVE_TARGET,MDM4
rawtok_MEDIATOR_OF_RNA_POLYMERASE_II_TRANSCRIPTION_SUBUNIT_23,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 23,1,1,targets,single_protein_pref_name,Mediator of RNA polymerase II transcription subunit 23
rawtok_MEK5,MEK5,1,1,drug_sample,PUTATIVE_TARGET,MEK5
rawtok_MELANOCORTIN_RECEPTOR_5,MELANOCORTIN RECEPTOR 5,1,1,targets,single_protein_pref_name,Melanocortin receptor 5
rawtok_MELK,MELK,1,1,drug_sample,PUTATIVE_TARGET,MELK
rawtok_MEMBRANE_ASSOCIATED_TYROSINE_AND_THREONINE_SPECIFIC_CDC2_INHIBITORY_KINA,MEMBRANE-ASSOCIATED TYROSINE- AND THREONINE-SPECIFIC CDC2-INHIBITORY KINASE,1,1,targets,single_protein_pref_name,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
rawtok_METABO,METABO,1,1,drug_sample,PUTATIVE_TARGET,Metabo
rawtok_MGAM,MGAM,1,1,drug_sample,PUTATIVE_TARGET,MGAM
rawtok_MGLL,MGLL,1,1,drug_sample,PUTATIVE_TARGET,MGLL
rawtok_MITOCHONDRIA,MITOCHONDRIA,1,1,drug_sample,PUTATIVE_TARGET,Mitochondria
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE 3,1,1,targets,single_protein_pref_name,Mitogen-activated protein kinase 3
