feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_PEPTIDYL_ARGININE_DEAMINASE_PAD,PEPTIDYL ARGININE DEAMINASE (PAD),1,1,drug_sample,PUTATIVE_TARGET,Peptidyl arginine deaminase (PAD)
rawtok_PERK,PERK,1,1,drug_sample,PUTATIVE_TARGET,PERK
rawtok_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_GAMMA,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,1,1,targets,single_protein_pref_name,Peroxisome proliferator-activated receptor gamma
rawtok_PFKFB3,PFKFB3,1,1,drug_sample,PUTATIVE_TARGET,PFKFB3
rawtok_PGD,PGD,1,1,drug_sample,PUTATIVE_TARGET,PGD
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATORY_SUBUNIT_BETA,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY SUBUNIT BETA,1,1,targets,single_protein_pref_name,Phosphatidylinositol 3-kinase regulatory subunit beta
rawtok_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_4_KINASE_TYPE_2_ALPHA,PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE TYPE-2 ALPHA,1,1,targets,single_protein_pref_name,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
rawtok_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_4_KINASE_TYPE_2_BETA,PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE TYPE-2 BETA,1,1,targets,single_protein_pref_name,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
rawtok_PI3_KINASE_P110_BETA_SUBUNIT_INHIBITOR,PI3-KINASE P110-BETA SUBUNIT INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,PI3-kinase p110-beta subunit inhibitor
rawtok_PI3_KINASE_P110_DELTA_SUBUNIT_INHIBITOR,PI3-KINASE P110-DELTA SUBUNIT INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,PI3-kinase p110-delta subunit inhibitor
rawtok_PIK3R1,PIK3R1,1,1,drug_sample,PUTATIVE_TARGET,PIK3R1
rawtok_PIKFYVE,PIKFYVE,1,1,drug_sample,PUTATIVE_TARGET,PIKFYVE
rawtok_PIRIN,PIRIN,1,1,targets,single_protein_pref_name,Pirin
rawtok_PK3CG,PK3CG,1,1,drug_sample,PUTATIVE_TARGET,PK3CG
rawtok_PKCB,PKCB,1,1,drug_sample,PUTATIVE_TARGET,PKCB
rawtok_PKD,PKD,1,1,drug_sample,PUTATIVE_TARGET,PKD
rawtok_PKD2,PKD2,1,1,drug_sample,PUTATIVE_TARGET,PKD2
