feature,pvalue,fdr_bh,abs_cohen_d,single_feature_auc_abs,cohen_d_improve_minus_worsen,effect_direction,threshold
best_pchembl,0.09563785863486472,0.5693586380922451,0.5103920456851365,0.6701754385964912,0.5103920456851365,higher_in_improve,0.01
alogp_xlogp,0.2651102490499522,0.6170995088404809,0.4101714284200417,0.6109375,0.4101714284200417,higher_in_improve,0.01
Y_median,0.1565736254753674,0.5693586380922451,0.3918935516362144,0.640625,-0.3918935516362144,higher_in_worsen,0.01
Y_mean,0.4936796070723848,0.6170995088404809,0.37638632635396624,0.56875,-0.37638632635396624,higher_in_worsen,0.01
Y_std,0.3159451110985233,0.6170995088404809,0.3763863263537933,0.6,-0.3763863263537933,higher_in_worsen,0.01
Z_SCORE_std,0.2720592897486446,0.6170995088404809,0.33422023495855624,0.609375,-0.33422023495855624,higher_in_worsen,0.01
ki_best_pchembl,0.44802241781132157,0.6170995088404809,0.3111943193543782,0.6,0.3111943193543782,higher_in_improve,0.01
rtb,0.49149700889256376,0.6170995088404809,0.3087188186199534,0.56875,0.3087188186199534,higher_in_improve,0.01
psa_tpsa,0.7623171183380947,0.8712195638149653,0.29964714840716195,0.53125,-0.29964714840716195,higher_in_worsen,0.01
max_phase,0.32591734892942026,0.6170995088404809,0.2912212244119565,0.6153846153846154,-0.2912212244119565,higher_in_worsen,0.01
qed_weighted,0.43510974202227315,0.6170995088404809,0.28456366145597106,0.578125,-0.28456366145597106,higher_in_worsen,0.01
first_approval,0.6678058142504256,0.7856538991181479,0.2710451263085774,0.5833333333333333,0.2710451263085774,higher_in_improve,0.01
oral,0.43669816952381335,0.6170995088404809,0.26614532371118854,0.5625,-0.26614532371118854,higher_in_worsen,0.01
hbd,0.4236829105821295,0.6170995088404809,0.2636355044964843,0.578125,-0.2636355044964843,higher_in_worsen,0.01
AUC_std,0.4169000671394101,0.6170995088404809,0.25581447384013073,0.58125,0.25581447384013073,higher_in_improve,0.01
n_rows,0.2789754660538888,0.6170995088404809,0.24378757296177553,0.6078125,0.24378757296177553,higher_in_improve,0.01
Y_iqr,0.34765171013757123,0.6170995088404809,0.21478661767309046,0.59375,0.21478661767309046,higher_in_improve,0.01
best_standard_value,0.09563785863486472,0.5693586380922451,0.20554816689904248,0.6701754385964913,-0.20554816689904248,higher_in_worsen,0.01
heavy_atoms,0.4728908234131225,0.6170995088404809,0.19262475615215927,0.571875,0.19262475615215927,higher_in_improve,0.01
hba,0.9101729989318859,0.9839708096560928,0.17555236956979847,0.5125,-0.17555236956979847,higher_in_worsen,0.01
full_mwt,0.4543759676970297,0.6170995088404809,0.17319004248474792,0.575,0.17319004248474792,higher_in_improve,0.01
AUC_mean,0.4354054072346276,0.6170995088404809,0.1629191189830229,0.578125,-0.1629191189830229,higher_in_worsen,0.01
